t,z_ref_qutip,ADAPTIVE,DOUBLEADAPTIVE,DOUBLEFIXED,FIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,0,-2.237114317075738e-17,-2.237114317075738e-17,0,0,0,-2.237114317075738e-17
0.1,-6.830473686658678e-17,-1.110223024625157e-16,3.33066907387547e-16,7.771561172376096e-16,5.551115123125783e-16,-7.216449660063518e-16,-7.771561172376096e-16
0.2,-2.970713952610282e-17,3.33066907387547e-16,5.551115123125783e-16,1.661380477635532e-09,1.110223024625157e-16,-1.110223024625157e-16,3.941291737419306e-15
0.3,-5.637851296924623e-17,-4.440892098500626e-16,-1.221245327087672e-15,8.599935708009099e-09,1.221245327087672e-15,-2.220446049250313e-16,8.659739592076221e-15
0.4,4.293440603042598e-17,-1.221245327087672e-15,-1.221245327087672e-15,7.402028046055165e-09,4.996003610813204e-15,-5.551115123125783e-16,-1.298960938811433e-14
0.5,-1.756407519426517e-17,1.77635683940025e-15,2.720046410331634e-15,-1.070752986276347e-09,1.887379141862766e-15,7.771561172376096e-16,-2.653433028854124e-14
0.6,-3.491130995403324e-17,2.386979502944087e-15,4.329869796038111e-15,-2.346626504223792e-09,-9.992007221626409e-16,1.221245327087672e-15,-2.686739719592879e-14
0.7,-5.746271514173174e-17,-3.497202527569243e-15,-1.221245327087672e-15,-6.044552303130502e-09,4.274358644806853e-15,1.998401444325282e-15,-2.747801985947262e-14
0.8,-7.567731163948821e-17,-2.55351295663786e-15,-5.717648576819556e-15,-4.668279540709364e-09,1.482147737874584e-14,1.332267629550188e-15,-6.550315845288424e-15
0.9,-1.127570259384925e-17,1.071365218763276e-14,-3.33066907387547e-16,1.006910194112365e-08,-8.326672684688674e-15,6.106226635438361e-16,4.418687638008123e-14
1,-1.860490927985126e-16,1.032507412901396e-14,2.997602166487923e-15,2.831297996053211e-08,-1.298960938811433e-14,-3.33066907387547e-16,5.040412531798211e-14
1.1,-2.112025832001763e-16,-2.059463710679665e-14,-7.049916206369744e-15,3.809988069480868e-08,-6.938893903907228e-15,-1.831867990631508e-15,3.913536161803677e-14
1.2,-2.411265631607762e-16,-2.936539900133539e-14,-1.149080830487037e-14,3.503299322860082e-08,1.643130076445232e-14,-2.664535259100376e-15,1.121325254871408e-14
1.3,-1.231653667943533e-16,2.681188604469753e-14,3.33066907387547e-16,2.621788430800962e-08,3.841371665203042e-14,-2.664535259100376e-15,-1.126876369994534e-14
1.4,3.068292148133978e-16,5.995204332975845e-14,9.048317650695026e-15,1.956235257116141e-08,3.336220188998595e-14,-2.664535259100376e-15,-1.981748098955904e-14
1.5,1.578381522704397e-15,2.786659791809143e-14,1.143529715363911e-14,1.438875629755536e-08,1.465494392505207e-14,-2.164934898019055e-15,-8.160139230994901e-15
1.6,3.671325396470415e-15,-2.142730437526552e-14,1.587618925213974e-14,1.109912300955856e-08,-1.176836406102666e-14,-8.326672684688674e-16,2.253752739989068e-14
1.7,1.428761622901398e-15,-6.52811138479592e-14,1.69864122767649e-14,1.031372437454194e-08,-3.214095656289828e-14,-1.443289932012704e-15,3.719247132494274e-14
1.8,1.391898749036891e-15,-8.087974734394265e-14,1.210143096841421e-14,1.183991737986757e-08,-3.574918139293004e-14,-2.886579864025407e-15,3.541611448554249e-14
1.9,1.46974446502135e-15,-6.122879980807738e-14,2.220446049250313e-16,1.598629811861781e-08,-2.098321516541546e-14,-4.773959005888173e-15,2.980948821118545e-14
2,1.23935150336818e-15,-1.709743457922741e-14,-1.837419105754634e-14,2.184040298613632e-08,4.662936703425657e-15,-4.274358644806853e-15,5.495603971894525e-15
2.1,1.908846344877979e-15,2.758904216193514e-14,-3.314015728506092e-14,2.872484911037726e-08,2.781108676686017e-14,-3.219646771412954e-15,-1.254552017826427e-14
2.2,1.60960654527198e-15,5.073719222536965e-14,-3.796962744218035e-14,3.911603657642494e-08,2.708944180085382e-14,-1.609823385706477e-15,-1.365574320288943e-14
