step,Z_site1,Z_site4,Z_site8,Z_site15,Z_site16
0,1.0,-1.0,-1.0,1.0,-1.0
1,0.9604311616717053,-0.9604311616717048,-0.9604311616717041,0.9604311616717044,-0.9604311616717037
2,0.847924898548971,-0.8479248985488387,-0.8479248985488057,0.8479248985488568,-0.8479248985489528
3,0.6797563691569184,-0.6797563691558973,-0.6797563691553119,0.6797563691562678,-0.679756369156824
4,0.4806617309994627,-0.4806617309965833,-0.480661730992802,0.48066173099771536,-0.480661730998858
5,0.2778981276073887,-0.27789812760533805,-0.27789812759018107,0.27789812760599,-0.2778981276047824
6,0.0962165872380957,-0.09621658724173482,-0.0962165872033998,0.09621658724187848,-0.09621658723769469
7,-0.046117434126777435,0.046117434334853824,0.04611743418269377,-0.04611743416766889,0.04611743393133414
8,-0.1395219680589223,0.13952197118722426,0.13952196750668938,-0.13952196853793175,0.1395219649010174
9,-0.18331079414628387,0.18331082768478002,0.18331079271276843,-0.18331079888070245,0.18331075716285458
10,-0.18420383325442638,0.18420417201758355,0.18420392581352885,-0.18420397169445957,0.1842035786153276
11,-0.15374742561112176,0.1537496867037162,0.153748457126983,-0.1537485468419325,0.1537460208644618
12,-0.10537643313880565,0.1053874367910449,0.10538251008155165,-0.10538218833785806,0.10537007126373016
13,-0.051776132567874555,0.05181791479355735,0.05180249195415687,-0.05179810421207831,0.05175215352493425
14,-0.002997089786901485,0.0031226275140975868,0.003085797480818505,-0.0030605119505550116,0.002921274456432642
15,0.034479103431649255,-0.03417549822322696,-0.03424135746422738,0.03433267133226642,-0.034681385077875944
16,0.05777177741440722,-0.057174685102501954,-0.05725248115526601,0.05748911512440896,-0.0582260553981102
17,0.06697051981575557,-0.06600677531840526,-0.06602321199035291,0.06650198542469588,-0.06782931645441072
18,0.06417756615235642,-0.06290722487962758,-0.06268663852784905,0.06349529379227137,-0.06555739937338963
19,0.052570262740162375,-0.05125930671099793,-0.05045756612240034,0.05168214126193371,-0.05447440753518674
20,0.035689745508134814,-0.034824516676977335,-0.032882439010613766,0.034633218686002776,-0.03792202695386759
21,0.01694719498819807,-0.017154452636689244,-0.01338809069931602,0.015794705871827075,-0.019115047753668766
22,-0.0007367922000757751,-0.0011461953180328943,0.005022472758146308,-0.0018758388350259003,-0.0009330597872073713
23,-0.01519145574090334,0.01117008853658169,0.020080566140313342,-0.01619676049509622,0.014419720838031488
24,-0.025123454601696165,0.01868374389697225,0.030433817748008234,-0.025853677030686917,0.02560601684126552
25,-0.029978800312404585,0.021161684384195856,0.03558549731814409,-0.03032786943285065,0.032046576147376514
26,-0.02986676175492824,0.01916814352214552,0.03563676031793991,-0.02981877719241588,0.03370710339033156
27,-0.025497094939996228,0.013867022774940174,0.031212422531408802,-0.025065274386944003,0.03099943760867261
28,-0.017961572722734225,0.006798224095138694,0.02336545718884392,-0.01722976854029512,0.024719064363276207
29,-0.008594888267130767,-0.000429211756884762,0.013365215823781518,-0.007714032693687256,0.01594715333561998
30,0.0012080316000664501,-0.006495867867467142,0.0026596548660041968,0.002074843197191145,0.005931841710109496
