Time,Z_1,Z_3,Z_6
0.0,1.0,1.0,1.0
0.05,0.9987544172022084,0.9987575269067003,0.9987544172022084
0.1,0.9950455706282267,0.9950948528393865,0.9950455706282266
0.15,0.9889379097919732,0.9891838825077746,0.9889379097919732
0.2,0.9805250221516901,0.9812878981094781,0.980525022151694
0.25,0.9699280850243478,0.9717473558962924,0.9699280850243482
0.3,0.957293976813462,0.9609619553708285,0.9572939768134655
0.35,0.9427930620716191,0.9496688896805376,0.9427930838196596
0.4,0.9266168181270489,0.9376574809181757,0.9266168374833732
0.45,0.9088942612055616,0.9255986988974791,0.9089748974049485
0.5,0.8900489853130257,0.9145518662704158,0.8900927765173884
0.55,0.8704133514299237,0.904109170599328,0.8702078093399988
0.6,0.8495005455265177,0.895071082282717,0.8494487548247323
0.65,0.828342871488391,0.8872760708654657,0.828285500075197
0.7,0.8069356008168603,0.8810716278169678,0.806600108310745
0.75,0.7859592435359735,0.8765587556128924,0.7854597268205871
0.8,0.765783119701378,0.8737083435782735,0.7643016806957607
0.85,0.7452288715959122,0.872458292635409,0.744151583104098
0.9,0.7253839725756479,0.8720008581105607,0.7242409924108597
0.95,0.70705372211725,0.8733854482350324,0.7052799542147159
1.0,0.6882033894924289,0.8747872581768563,0.6865040332144399
1.05,0.6727699261671374,0.8793441620166973,0.6699430532329804
1.1,0.6563352173172484,0.8815621727498422,0.6555503023152794
1.15,0.6444312889643536,0.8864924088131254,0.6421098697179027
1.2,0.6308512551292604,0.8889448524204923,0.6296557475152099
1.25,0.623610531859705,0.8920879571631738,0.6210772088217014
1.3,0.6155856773218025,0.8965319310675564,0.6102486227625814
1.35,0.6077266762397869,0.8980055996724718,0.6063017049308902
1.4,0.5988314429460497,0.8970560458058312,0.6036781828099702
1.45,0.5959417820458429,0.898194223398056,0.601356190635858
1.5,0.5952870646805252,0.8965768479860037,0.5995844523010357
1.55,0.5950253412704049,0.8944676434374021,0.5995026419292613
1.6,0.6000679937250099,0.8949071248807244,0.6047390321127021
1.65,0.6060496667486177,0.8928762455397959,0.6101504691851545
1.7,0.6118934413093116,0.8907251161763564,0.6161786001561523
1.75,0.619061589483035,0.8873952786634675,0.6206081917560301
1.8,0.6264625488134905,0.883485614558163,0.6293791009592616
1.85,0.6341891255968819,0.8806880026243148,0.6388410156068591
1.9,0.6459804727554106,0.8767426157636901,0.6495482678053831
1.95,0.6577660790862958,0.8720524132259219,0.6599874082769995
2.0,0.6685192922872436,0.865372945087556,0.6706445755244552
