Time,Z_First,Z_Last,Z_Middle
0.0,1.0,1.0,1.0
0.05,0.9987544172022091,0.9987544172022091,0.9987575269066997
0.1,0.9950455706282254,0.9950455706282253,0.9950948528393859
0.15,0.988937909791975,0.988937909791975,0.989183882507775
0.2,0.980525022151691,0.9805250221516918,0.9812878981094784
0.25,0.9699280850243462,0.9699280850243475,0.9717473558962937
0.3,0.9572939768134638,0.9572939768134644,0.9609619553708296
0.35,0.9427930838075943,0.9427515743910014,0.9493699820792156
0.4,0.926616837500154,0.9266168375001577,0.9374268239251491
0.45,0.9089750157486798,0.9089750157486911,0.9255818274605864
0.5,0.8900928398577845,0.8900928398578263,0.9142581584033381
0.55,0.8702078993459917,0.8702078993461524,0.9038333124590032
0.6,0.8495669370415792,0.8495669370421411,0.894623301588856
0.65,0.8284225292988355,0.8284225293006168,0.8868705727404418
0.7,0.8070296997067211,0.8070296997092918,0.8807362637283653
0.75,0.7856425210896224,0.7856425210928002,0.876297114096964
0.8,0.7645107177066748,0.7645107177108141,0.8735469018257903
0.85,0.7438763546483855,0.7438763546540301,0.8724022261634229
0.9,0.7239706477350799,0.723970647742974,0.8727120749728883
0.95,0.7050082863082976,0.7049420479174366,0.8721568223982976
1.0,0.6887590773929552,0.6871216747637823,0.8745358049773961
1.05,0.6707099967368145,0.6706292154608997,0.8777517488886392
1.1,0.6540695537991281,0.6554608791318995,0.8756927425806498
1.15,0.6388201463748127,0.6378157078523554,0.878948625164805
1.2,0.6288662491474846,0.6304153519359303,0.8830330966931561
1.25,0.6121724333690217,0.622481139792295,0.8833685519119908
1.3,0.6058609081625002,0.6126430821389177,0.8863052924333802
1.35,0.6034614893762773,0.6010509931752968,0.8876282757543891
1.4,0.6010272142681181,0.5968537518508411,0.8892882817973243
1.45,0.6004404051180792,0.5945628865803758,0.8902362532825705
1.5,0.5996355337842729,0.594138705598948,0.8907908471069658
1.55,0.5948458306333941,0.5955163726261721,0.8877249466153226
1.6,0.5973776161115643,0.598615505534663,0.8870005067893775
1.65,0.6012836761523633,0.6013677801966472,0.8814068997098525
1.7,0.6069676754704305,0.6095401728554661,0.883984718980274
1.75,0.6172995047336232,0.6149791245693512,0.8751204699018764
1.8,0.6144481991710832,0.6258775720011938,0.8738744051167384
1.85,0.6293225523820021,0.6310223386328169,0.8675185429423036
1.9,0.6391065692063456,0.6417586578567734,0.8641971018088725
1.95,0.6510356488080794,0.6531284669548056,0.8561159091045785
2.0,0.6634049132867823,0.6611918209345334,0.8507432818183318
