Time,Z_First,Z_Middle,Z_Last
0.0,1.0,1.0,1.0
0.05,0.9987509894349461,0.9987541078426626,0.9987509894349408
0.1,0.9850494578116169,0.9950678620223375,0.9850494578113452
0.15000000000000002,0.9789273313670293,0.9890946677058777,0.9789273313662568
0.2,0.9704653441298658,0.9810810133953036,0.970465344110369
0.25,0.9499256620123337,0.9713534097505849,0.9597660807845966
0.30000000000000004,0.9274285308339759,0.9603027635430635,0.9469595140597504
0.35000000000000003,0.9128746216830349,0.9386272522828117,0.932202435589234
0.4,0.8869751317198952,0.9263332408053286,0.9156750341517581
0.45,0.859748194800534,0.9140686875324385,0.8975783542751382
0.5,0.8408713316693602,0.9022586517007685,0.8781314193663076
0.55,0.8209463121442273,0.8912839640046903,0.8575720695797971
0.6000000000000001,0.8002107735846135,0.8814640645998569,0.8361224322554938
0.65,0.7789097460157549,0.8730447625588299,0.8140445096383805
0.7000000000000001,0.7572922243999136,0.8661896693776352,0.7915967505916908
0.75,0.7178424351621261,0.8609807398090896,0.7691028373409482
0.8,0.7053547742248518,0.8574011794840731,0.7466274852472088
0.8500000000000001,0.6758360673283939,0.8555607768089664,0.7246157471749137
0.9,0.6557555956469061,0.8550104006775556,0.7032424795661014
0.9500000000000001,0.6363997337451831,0.8554831729964981,0.682738358473894
1.0,0.6180809265624632,0.856846005102696,0.6633172807042391
