t,chi_tdvp,chi_bug,z_exact_1,z_tdvp_1,z_bug_1,err2_tdvp_1,err2_bug_1,z_exact_4,z_tdvp_4,z_bug_4,err2_tdvp_4,err2_bug_4,z_exact_8,z_tdvp_8,z_bug_8,err2_tdvp_8,err2_bug_8
0.16,2.0,2.0,0.9752290125049612,0.9752290125049933,0.9752294344859195,1.0294758072650645e-27,1.7806792915704383e-13,-0.9758516745775506,-0.9758516745775809,-0.9758520781829574,9.186408500815123e-28,1.6289732436786706e-13,-0.9752290125049612,-0.9752290125049937,-0.9752294408286073,1.0581706226924788e-27,1.8346114581411735e-13
0.17,2.0,2.0,0.972081687250125,0.9720816872501564,0.9720821622298284,9.871731412225877e-28,2.256057185911616e-13,-0.9728720665845224,-0.97287206658455,-0.972872516660451,7.642213278844993e-28,2.0256834153885304e-13,-0.9720816872501249,-0.9720816872501559,-0.9720821690144917,9.594644019266997e-28,2.320969051608096e-13
0.18,2.0,2.0,0.9687549571756796,0.9687549571757138,0.9687554879829303,1.1692890767638447e-27,2.817563374055749e-13,-0.9697441768080902,-0.969744176808117,-0.9697446750556873,7.159035974397123e-28,2.482506679854323e-13,-0.9687549571756796,-0.9687549571757134,-0.9687554952165094,1.139115147139141e-27,2.894879345086018e-13
0.19,2.0,2.0,0.9652507914062948,0.9652507914063271,0.9652513808021819,1.0437739111721953e-27,3.4738751172587747e-13,-0.9664733661079603,-0.9664733661079762,-0.96647391406146,2.5205338516975735e-28,3.0025303781759287e-13,-0.9652507914062946,-0.9652507914063283,-0.9652513884918517,1.139115147139141e-27,3.565111625069989e-13
0.2,2.0,2.0,0.9615712624009803,0.9615712624010084,0.9615719130755211,7.889718387858085e-28,4.233773580492355e-13,-0.9630652081714015,-0.9630652081713963,-0.9630658071934007,2.7228027181768986e-29,3.5882735555646306e-13,-0.9615712624009802,-0.9615712624010094,-0.9615719212286763,8.525737492692526e-28,4.3405393310240484e-13
0.21,2.0,2.0,0.9577185444527542,0.9577185444527776,0.9577192590216144,5.487636931460104e-28,5.106086559588703e-13,-0.9595254752226076,-0.9595254752225619,-0.9595261265000429,2.082112077669352e-27,4.2416229775064413e-13,-0.9577185444527538,-0.9577185444527768,-0.9577192676458649,5.281547019971115e-28,5.230082758889046e-13
0.22,2.0,2.0,0.9536949121154703,0.9536949121154876,0.9536956931167728,2.9996435921028974e-28,6.099630345362218e-13,-0.9558601232928555,-0.9558601232927421,-0.9558608278336729,1.2874259277013489e-26,4.963777633169729e-13,-0.9536949121154704,-0.9536949121154891,-0.9536957022199284,3.478876592024662e-28,6.242650545049588e-13
0.23,2.0,2.0,0.9495027385590584,0.9495027385590679,0.9495035884502594,8.905500062846579e-29,7.223150534885103e-13,-0.9520752770982093,-0.9520752770979722,-0.9520760357287409,5.618446093282885e-26,5.7552028350075e-13,-0.9495027385590581,-0.9495027385590695,-0.9495035980403236,1.3076602099202679e-28,7.387080457310834e-13
0.24,2.0,2.0,0.9451444938545404,0.9451444938545267,0.9451454150094061,1.8647932242326074e-28,8.485262866367222e-13,-0.9481772145725772,-0.9481772145721122,-0.9481780279356317,2.1618910601285503e-25,6.61559458366647e-13,-0.9451444938545398,-0.945144493854526,-0.945145425094562,1.8952383247934809e-28,8.672079789584654e-13
0.25,2.0,2.0,0.9406227431901557,0.9406227431901074,0.9406237378958179,2.332378199850718e-27,9.894393543565326e-13,-0.9441723511046438,-0.9441723511037937,-0.9441732196583218,7.226662184832842e-25,7.543854915318134e-13,-0.9406227431901552,-0.9406227431901081,-0.9406237484844208,2.215910282765822e-27,1.0106165604688437e-12
