step,chi_max
0,2
1,4
2,52
3,114
4,188
5,246
6,254
7,256
8,256
9,256
10,256
11,256
12,256
13,256
14,256
15,256
16,256
17,256
18,256
19,256
20,256
21,256
22,256
23,256
24,256
25,256
26,256
27,256
28,256
29,256
30,256
