t,norm_ref,norm_tdvp,norm_bug,err_state_tdvp,err_state_bug,err_state_normed_tdvp,err_state_normed_bug,max_abs_err_z_tdvp,max_abs_err_z_bug,max_bond_dim_tdvp,max_bond_dim_bug,z_ref_1,z_ref_2,z_ref_3,z_ref_4,z_ref_5,z_ref_6,z_ref_7,z_ref_8,z_ref_9,z_ref_10,z_tdvp_1,z_tdvp_2,z_tdvp_3,z_tdvp_4,z_tdvp_5,z_tdvp_6,z_tdvp_7,z_tdvp_8,z_tdvp_9,z_tdvp_10,z_bug_1,z_bug_2,z_bug_3,z_bug_4,z_bug_5,z_bug_6,z_bug_7,z_bug_8,z_bug_9,z_bug_10
0.0000000000,1.0000000000000000e+00,9.9999999999999922e-01,9.9999999999999922e-01,7.7715611723760958e-16,7.7715611723760958e-16,0.0000000000000000e+00,0.0000000000000000e+00,2.2371143170757382e-17,2.2371143170757382e-17,1,1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17
0.0500000000,9.5146815783750704e-01,9.5146815783744632e-01,9.5127702118253399e-01,1.3693839810442518e-07,1.3050190181717997e-01,1.4392325899301364e-07,1.3717208582892362e-01,5.2334265393527701e-12,9.1294921544594863e-03,2,2,9.0874371346014171e-03,9.1294490865227347e-03,9.1294921544593077e-03,9.1294921297877842e-03,9.1294921297386273e-03,9.1294921297385874e-03,9.1294921297878032e-03,9.1294921544593753e-03,9.1294490865224745e-03,9.0874371346021006e-03,9.0874371310102810e-03,9.1294490834075148e-03,9.1294921511007598e-03,9.1294921246047323e-03,9.1294921245052008e-03,9.1294921245052008e-03,9.1294921245672622e-03,9.1294921528125572e-03,9.1294490844048282e-03,9.0874371327222276e-03,4.0178242863281747e-16,1.0490048115166406e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,2.2204460492503131e-16,-1.1102230246251565e-16,2.2204460492503131e-16,4.5289547846181335e-03
0.1000000000,9.0575628167374589e-01,9.0575628165172617e-01,9.0501879156519682e-01,1.0672913778215185e-06,2.4627043091058520e-01,1.1783427829338494e-06,2.7200434854203731e-01,2.0060532748833459e-09,2.1450438860226934e-02,3,2,1.6657468297759603e-02,1.6956967078793600e-02,1.6958195755294989e-02,1.6958192944672164e-02,1.6958192922257601e-02,1.6958192922257705e-02,1.6958192944672171e-02,1.6958195755295134e-02,1.6956967078793291e-02,1.6657468297759818e-02,1.6657467295907589e-02,1.6956966074921857e-02,1.6958194744416344e-02,1.6958190957905295e-02,1.6958190916246563e-02,1.6958190916204430e-02,1.6958190956803509e-02,1.6958194746662270e-02,1.6956966075716364e-02,1.6657467298193205e-02,-8.3659183392191625e-18,-4.4934717814333336e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-1.1102230246251565e-16,2.2204460492503131e-16,8.2217834065718264e-03
0.1500000000,8.6271157915623653e-01,8.6271157895677042e-01,8.6109713229238916e-01,1.7603402752096042e-06,3.4677794679800322e-01,2.0404736723622506e-06,4.0233506012512338e-01,7.6095565335054793e-09,2.6251287979237904e-02,4,2,2.3088763778510490e-02,2.3980200713695977e-02,2.3988437347111459e-02,2.3988395075631969e-02,2.3988394319528809e-02,2.3988394319528962e-02,2.3988395075632038e-02,2.3988437347111438e-02,2.3980200713695873e-02,2.3088763778510948e-02,2.3088759981784543e-02,2.3980196898706951e-02,2.3988433479755933e-02,2.3988387590265392e-02,2.3988386709972276e-02,2.3988386710331322e-02,2.3988387596198812e-02,2.3988433490064409e-02,2.3980196907081475e-02,2.3088759992355136e-02,-5.4705631816520462e-17,-2.2710872655419267e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.1217373601231624e-02
0.2000000000,8.2220489365392480e-01,8.2220489300723798e-01,8.1939112887216337e-01,1.6769446088096282e-06,4.3202355571954704e-01,2.0395700606042129e-06,5.2633537277382780e-01,1.5127455066377138e-08,3.5943792462442406e-02,4,2,2.8667597434739012e-02,3.0511272679161219e-02,3.0541614362870988e-02,3.0541338673739100e-02,3.0541329944901330e-02,3.0541329944901448e-02,3.0541338673739198e-02,3.0541614362871138e-02,3.0511272679161337e-02,2.8667597434739372e-02,2.8667589870024841e-02,3.0511265084817052e-02,3.0541606618727568e-02,3.0541323922788854e-02,3.0541314817446263e-02,3.0541314817874088e-02,3.0541323928791497e-02,3.0541606629687856e-02,3.0511265093600581e-02,2.8667589881561852e-02,-5.6464816476691837e-16,-5.4325197832811867e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,1.3631271903469459e-02
0.2500000000,7.8412431340373034e-01,7.8412431197054733e-01,7.7978664147567178e-01,1.5986897596412821e-06,5.0251773619898121e-01,2.0388210024456355e-06,6.4262091904869623e-01,2.3557470300861194e-08,3.6794183547345934e-02,4,2,3.3606985377470311e-02,3.6714025697754671e-02,3.6794183547345649e-02,3.6793051752418426e-02,3.6792996058717990e-02,3.6792996058718136e-02,3.6793051752418551e-02,3.6794183547345934e-02,3.6714025697754830e-02,3.3606985377470658e-02,3.3606973505174977e-02,3.6714013839029225e-02,3.6794171403790821e-02,3.6793029017881229e-02,3.6792972501247689e-02,3.6792972501756616e-02,3.6793029023934221e-02,3.6794171414946342e-02,3.6714013847978677e-02,3.3606973517356538e-02,-2.2995134792161398e-16,9.1088297996815282e-03,0.0000000000000000e+00,-2.2204460492503131e-16,-2.2204460492503131e-16,2.2204460492503131e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.5559431330620974e-02
0.3000000000,7.4836928679637504e-01,7.4836928419684090e-01,7.4217585100166805e-01,1.5253769328238566e-06,5.5921260283322194e-01,2.0382647274947719e-06,7.5030687474841806e-01,3.2236600083779265e-08,4.4714608705862295e-02,4,2,3.8062176659530378e-02,4.2640370314230396e-02,4.2811365580255466e-02,4.2807912787730329e-02,4.2807669638249474e-02,4.2807669638249661e-02,4.2807912787730579e-02,4.2811365580255722e-02,4.2640370314230493e-02,3.8062176659530572e-02,3.8062160165409933e-02,4.2640354008973036e-02,4.2811348859388421e-02,4.2807882038003342e-02,4.2807637401649390e-02,4.2807637402247134e-02,4.2807882044062995e-02,4.2811348870341104e-02,4.2640354017864202e-02,3.8062160177946218e-02,-3.8639979007216585e-16,-2.0742383916318996e-03,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,1.7081415937892485e-02
0.3500000000,7.1484541160022430e-01,7.1484540743751945e-01,7.0645683880417465e-01,1.4583206630112683e-06,6.0339201093852657e-01,2.0400420880699295e-06,8.4900197126457966e-01,4.0642101711840795e-08,7.5721100042902889e-02,4,2,4.2143121862550398e-02,4.8264079924761220e-02,4.8577861942402059e-02,4.8569309962529700e-02,4.8568495898459740e-02,4.8568495898459907e-02,4.8569309962529991e-02,4.8577861942402205e-02,4.8264079924761089e-02,4.2143121862550550e-02,4.2143100525273099e-02,4.8264059173325990e-02,4.8577840706506892e-02,4.8569271670693304e-02,4.8568455256358029e-02,4.8568455257054638e-02,4.8569271676666664e-02,4.8577840716930887e-02,4.8264059181970576e-02,4.2143100537899589e-02,-6.2138433142080412e-17,1.2398517996766412e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,0.0000000000000000e+00,1.8263131100848515e-02
0.4000000000,6.8346003983801362e-01,6.8346003371012087e-01,6.7253319802589795e-01,1.4123412204218457e-06,6.3654028968699983e-01,2.0664381974872483e-06,9.3874680877765659e-01,4.8571573610378671e-08,5.4025120742294402e-02,4,2,4.5924457684803494e-02,5.3510775668562216e-02,5.4025120742294132e-02,5.4006990821322889e-02,5.4004753460253949e-02,5.4004753460254171e-02,5.4006990821323181e-02,5.4025120742294402e-02,5.3510775668562161e-02,4.5924457684803480e-02,4.5924431070411866e-02,5.3510750340053231e-02,5.4025094979937183e-02,5.4006945577168869e-02,5.4004704888680338e-02,5.4004704889500460e-02,5.4006945582871613e-02,5.4025094989624295e-02,5.3510750348368635e-02,4.5924431082915114e-02,-1.9855670432454704e-16,3.0804988168660952e-02,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-3.3306690738754696e-16,1.9159140850125950e-02
0.4500000000,6.5411881191267918e-01,6.5411880338832262e-01,6.4031367453190291e-01,1.4855443462192176e-06,6.6020971341596213e-01,2.2710245774839062e-06,1.0199109064087490e+00,5.6493635769427897e-08,3.1812849517787278e-01,4,2,4.9453470695952517e-02,5.8283288566945181e-02,5.9054866464340043e-02,5.9020828899538885e-02,5.9015554098179296e-02,5.9015554098179594e-02,5.9020828899539350e-02,5.9054866464340335e-02,5.8283288566945361e-02,4.9453470695952538e-02,4.9453437455245525e-02,5.8283257674309114e-02,5.9054835348611195e-02,5.9020776604873704e-02,5.9015497604543526e-02,5.9015497605560768e-02,5.9020776609996078e-02,5.9054835357603530e-02,5.8283257682540696e-02,4.9453437467609225e-02,-7.7558912671220012e-17,3.7641178374481798e-01,-1.1102230246251565e-16,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2204460492503131e-16,1.9814626773172944e-02
