qubit_qiskit,qubit_pp,z_ref,z_pp,abs_error,pp_terms,pp_time_s
0,1,9.8793936635654978e-01,9.9996250982019175e-01,1.2023143463641972e-02,34303,19.6763
1,2,9.8793936635654978e-01,9.9996251167457961e-01,1.2023145318029838e-02,34303,15.5893
2,3,9.7078414903417942e-01,9.9611182195034687e-01,2.5327672916167443e-02,177663,62.6629
3,4,9.7078414903417942e-01,9.9611182190630010e-01,2.5327672872120677e-02,177663,57.8828
4,5,9.7078414903420673e-01,9.9528646977161339e-01,2.4502320737406658e-02,160255,0.3496
5,6,9.7078414903420673e-01,9.9528646977161406e-01,2.4502320737407324e-02,160255,0.3703
6,7,9.9158294329206076e-01,9.9972063223660224e-01,8.1376889445414768e-03,166527,36.9352
7,8,9.9158294329206076e-01,9.9972063223660146e-01,8.1376889445406997e-03,166527,283.3908
8,9,9.8660397080025886e-01,9.9997962922229444e-01,1.3375658422035586e-02,166527,172.7554
9,10,9.8660397080025886e-01,9.9997962922229544e-01,1.3375658422036585e-02,166527,44.1989
10,11,9.9178611379691406e-01,9.9975277026108700e-01,7.9666564641729387e-03,166527,39.5874
11,12,9.9178611379691406e-01,9.9975277026108544e-01,7.9666564641713844e-03,16179,3.8448
12,13,9.7473098104991862e-01,9.9692274686156479e-01,2.2191765811646169e-02,177663,58.8417
13,14,9.7473098104991862e-01,9.9692274693914107e-01,2.2191765889222448e-02,177663,59.6124
14,15,9.7473098104970080e-01,9.9509403050163903e-01,2.0363049451938231e-02,160255,1.4825
15,16,9.7473098104970080e-01,9.9509403050164025e-01,2.0363049451939452e-02,160255,1.0905
16,17,9.4882779885858592e-01,9.7607609545328811e-01,2.7248296594702182e-02,177663,140.6896
17,18,9.4882779885858592e-01,9.7607609545328944e-01,2.7248296594703514e-02,177663,207.6360
18,19,9.8227203537786145e-01,9.9739687597616189e-01,1.5124840598300437e-02,177663,67.1077
19,20,9.8227203537786145e-01,9.9739687596425353e-01,1.5124840586392074e-02,16179,5.5849
20,21,9.8227203537786367e-01,9.9594892868875351e-01,1.3676893310889837e-02,160255,0.4836
21,22,9.8227203537786367e-01,9.9594892868875284e-01,1.3676893310889171e-02,16179,0.1398
