qubit_qiskit,qubit_pp,z_ref,z_pp,abs_error,pp_terms,pp_time_s
0,1,9.8794858853490153e-01,9.9944897130948085e-01,1.1500382774579321e-02,44415,5.4044
1,2,9.8794858853490153e-01,9.9944897133903254e-01,1.1500382804131015e-02,44415,4.1639
2,3,9.7062845508125517e-01,9.9506977808333508e-01,2.4441323002079907e-02,8575,0.2795
3,4,9.7062845508125517e-01,9.9506977808333419e-01,2.4441323002079018e-02,8575,0.2983
4,5,9.7062845508125783e-01,9.9506973410255040e-01,2.4441279021292561e-02,8575,0.5378
5,6,9.7062845508125783e-01,9.9506973410255073e-01,2.4441279021292894e-02,8575,0.5197
6,7,9.9163172430628554e-01,9.9902175425371287e-01,7.3900299474273234e-03,8575,0.9912
7,8,9.9163172430628554e-01,9.9902175425371298e-01,7.3900299474274345e-03,8575,1.0160
8,9,9.8649891227658748e-01,9.9797474609677894e-01,1.1475833820191461e-02,44415,4.0170
9,10,9.8649891227658748e-01,9.9797474606746672e-01,1.1475833790879242e-02,44415,5.3124
10,11,9.9182605585109451e-01,9.9902283124647018e-01,7.1967753953756652e-03,8575,1.0492
11,12,9.9182605585109451e-01,9.9902283124647051e-01,7.1967753953759983e-03,8575,1.0740
12,13,9.7479530644913992e-01,9.9719860591029241e-01,2.2403299461152493e-02,8575,0.5210
13,14,9.7479530644913992e-01,9.9719860591029275e-01,2.2403299461152826e-02,8575,0.5128
14,15,9.7479530644913859e-01,9.9719863090552230e-01,2.2403324456383711e-02,8575,0.2959
15,16,9.7479530644913859e-01,9.9719863090552230e-01,2.2403324456383711e-02,8575,0.3253
16,17,9.4836724324740196e-01,9.8829258095401662e-01,3.9925337706614661e-02,44415,0.1200
17,18,9.4836724324740196e-01,9.8829258095401951e-01,3.9925337706617547e-02,44415,0.1008
18,19,9.8228918550559841e-01,9.9731198899694684e-01,1.5022803491348435e-02,1907,0.9135
19,20,9.8228918550559841e-01,9.9731198899694740e-01,1.5022803491348991e-02,1907,0.1976
20,21,9.8228918550559974e-01,9.9730700772269110e-01,1.5017822217091359e-02,1907,0.0896
21,22,9.8228918550559974e-01,9.9730700772268954e-01,1.5017822217089805e-02,1907,0.1289
22,23,8.4957862616098034e-01,8.8247065273320258e-01,3.2892026572222233e-02,44415,0.1328
23,24,8.4957862616098034e-01,8.8247065273320024e-01,3.2892026572219901e-02,44415,0.1251
24,25,-9.6978547626492184e-01,-9.9827427016837245e-01,2.8488793903450604e-02,4044,0.4551
25,26,-9.6978547626492184e-01,-9.9827427019791781e-01,2.8488793932995971e-02,4044,0.4630
26,27,-8.5367430966782609e-01,-8.8232847211284626e-01,2.8654162445020170e-02,4044,0.0228
27,28,-8.5367430966782609e-01,-8.8232847211284626e-01,2.8654162445020170e-02,4044,0.7761
28,29,-9.5698547353810803e-01,-9.8843476157437316e-01,3.1449288036265122e-02,4044,0.0418
29,30,-9.5698547353810803e-01,-9.8843476157437304e-01,3.1449288036265011e-02,4044,0.0296
30,31,-9.5269611210024174e-01,-9.8957541671154925e-01,3.6879304611307506e-02,1907,0.0876
31,32,-9.5269611210024174e-01,-9.8957541671154803e-01,3.6879304611306285e-02,1907,0.1175
32,33,-9.5269611210024485e-01,-9.8958032900979076e-01,3.6884216909545908e-02,1907,0.1850
33,34,-9.5269611210024485e-01,-9.8958032900979087e-01,3.6884216909546019e-02,1907,0.1733
34,35,-9.6417176899505552e-01,-9.9914944723790233e-01,3.4977678242846810e-02,4044,0.4780
35,36,-9.6417176899505552e-01,-9.9914944720856824e-01,3.4977678213512720e-02,4044,0.4614
36,37,-9.9327329003490572e-01,-1.0000000000000000e+00,6.7267099650942797e-03,3,0.7742
37,38,-9.9327329003490572e-01,-1.0000000000000000e+00,6.7267099650942797e-03,3,0.0078
38,39,-9.9309766179494585e-01,-9.9900621396969813e-01,5.9085521747522796e-03,1907,0.3713
39,40,-9.9309766179494585e-01,-9.9900621396969824e-01,5.9085521747523906e-03,1907,0.3387
40,41,-9.9309766179494563e-01,-1.0000000000000000e+00,6.9023382050543702e-03,3,0.0031
41,42,-9.9309766179494563e-01,-1.0000000000000000e+00,6.9023382050543702e-03,3,0.0029
42,43,-9.9399200775962604e-01,-1.0000000000000000e+00,6.0079922403739605e-03,3,0.0019
43,44,-9.9399200775962604e-01,-1.0000000000000000e+00,6.0079922403739605e-03,3,0.0018
44,45,-9.9399200775962626e-01,-9.9903837153048514e-01,5.0463637708588749e-03,1907,0.2840
45,46,-9.9399200775962626e-01,-9.9903837153048491e-01,5.0463637708586528e-03,1907,1.0693
46,47,-9.9623775783778501e-01,-1.0000000000000000e+00,3.7622421622149904e-03,3,0.0021
47,48,-9.9623775783778501e-01,-1.0000000000000000e+00,3.7622421622149904e-03,3,0.0018
48,49,-9.9895611622562819e-01,-1.0000000000000000e+00,1.0438837743718121e-03,3,0.0017
49,50,-9.9895611622562819e-01,-1.0000000000000000e+00,1.0438837743718121e-03,3,0.0154
50,51,-9.9869139696026243e-01,-1.0000000000000000e+00,1.3086030397375659e-03,3,0.0028
51,52,-9.9869139696026243e-01,-1.0000000000000000e+00,1.3086030397375659e-03,3,0.0064
52,53,-9.9998943524923400e-01,-1.0000000000000000e+00,1.0564750765995612e-05,3,0.0034
53,54,-9.9998943524923400e-01,-1.0000000000000000e+00,1.0564750765995612e-05,3,0.0028
54,55,-9.9999054762820339e-01,-1.0000000000000000e+00,9.4523717966144005e-06,3,0.7620
55,56,-9.9999054762820339e-01,-1.0000000000000000e+00,9.4523717966144005e-06,3,0.0035
56,57,-9.9998843394353387e-01,-1.0000000000000000e+00,1.1566056466127961e-05,3,0.0038
57,58,-9.9998843394353387e-01,-1.0000000000000000e+00,1.1566056466127961e-05,3,0.0043
58,59,-9.9998843394353409e-01,-1.0000000000000000e+00,1.1566056465905916e-05,3,0.0052
59,60,-9.9998843394353409e-01,-1.0000000000000000e+00,1.1566056465905916e-05,3,0.0019
60,61,-9.9998921312838407e-01,-1.0000000000000000e+00,1.0786871615930949e-05,3,0.0019
61,62,-9.9998921312838407e-01,-1.0000000000000000e+00,1.0786871615930949e-05,3,0.0018
62,63,-9.9998921312838429e-01,-1.0000000000000000e+00,1.0786871615708904e-05,3,0.0018
63,64,-9.9998921312838429e-01,-1.0000000000000000e+00,1.0786871615708904e-05,3,0.7742
64,65,-9.9999750323545977e-01,-1.0000000000000000e+00,2.4967645402274030e-06,3,0.0021
65,66,-9.9999750323545977e-01,-1.0000000000000000e+00,2.4967645402274030e-06,3,0.0019
66,67,-9.9999711533048408e-01,-1.0000000000000000e+00,2.8846695159234770e-06,3,0.0018
67,68,-9.9999711533048408e-01,-1.0000000000000000e+00,2.8846695159234770e-06,3,0.0018
68,69,-9.9999999802299078e-01,-1.0000000000000000e+00,1.9770092229975944e-09,3,0.0128
69,70,-9.9999999802299078e-01,-1.0000000000000000e+00,1.9770092229975944e-09,3,0.0021
70,71,-9.9999999800452044e-01,-1.0000000000000000e+00,1.9954795593690733e-09,3,0.0030
71,72,-9.9999999800452044e-01,-1.0000000000000000e+00,1.9954795593690733e-09,3,0.0025
