qubit_qiskit,qubit_pp,z_ref,z_pp,abs_error,pp_terms,pp_time_s
0,1,9.8794817788559530e-01,9.9987923662480482e-01,1.1931058739209521e-02,710655,3415.2835
1,2,9.8794817788559530e-01,9.9987923636102960e-01,1.1931058475434297e-02,710655,794.2929
2,3,9.7062828963033654e-01,9.9196261823492193e-01,2.1334328604585395e-02,710655,4.2662
3,4,9.7062828963033654e-01,9.9196261806987707e-01,2.1334328439540529e-02,710655,4.0928
4,5,9.7062828963033787e-01,9.9284988445536382e-01,2.2221594825025948e-02,710655,4.2464
5,6,9.7062828963033787e-01,9.9284988445240285e-01,2.2221594822064983e-02,710655,3.9688
6,7,9.9163168041091077e-01,9.9894108463886022e-01,7.3094042279494564e-03,710655,515.5618
7,8,9.9163168041091077e-01,9.9894108463885745e-01,7.3094042279466809e-03,710655,511.3101
8,9,9.8649836932559121e-01,9.9989249370692068e-01,1.3394124381329475e-02,710655,2535.9451
9,10,9.8649836932559121e-01,9.9989249363062160e-01,1.3394124305030397e-02,710655,3413.3224
10,11,9.9182591105113660e-01,9.9894221909561820e-01,7.1163080444816007e-03,710655,534.0373
11,12,9.9182591105113660e-01,9.9894221909561987e-01,7.1163080444832660e-03,710655,521.6105
12,13,9.7479508052214314e-01,9.9499262172331548e-01,2.0197541201172342e-02,710655,3.8842
13,14,9.7479508052214314e-01,9.9499262193651417e-01,2.0197541414371023e-02,710655,4.0996
14,15,9.7479508052214425e-01,9.9970142088794889e-01,2.4906340365804636e-02,710655,513.6232
15,16,9.7479508052214425e-01,9.9970142088794811e-01,2.4906340365803858e-02,710655,514.5735
16,17,9.4836567971465568e-01,9.7302036111896506e-01,2.4654681404309375e-02,710655,2028.0829
17,18,9.4836567971465568e-01,9.7302036111896573e-01,2.4654681404310042e-02,710655,259.0006
18,19,9.8228873292392993e-01,9.9978414685993733e-01,1.7495413936007398e-02,64719,2685.1998
19,20,9.8228873292392993e-01,9.9974528252539974e-01,1.7456549601469806e-02,64719,55.1320
20,21,9.8228873292392993e-01,9.9604542048757683e-01,1.3756687563646897e-02,64719,2.1771
21,22,9.8228873292392993e-01,9.9607711802960186e-01,1.3788385105671930e-02,64719,2.1401
22,23,8.4957993742990412e-01,8.7250308582986791e-01,2.2923148399963789e-02,710655,260.6264
23,24,8.4957993742990412e-01,8.7250308582986691e-01,2.2923148399962789e-02,710655,259.4025
24,25,-9.6978462961882606e-01,-9.9786702912883152e-01,2.8082399510005462e-02,710655,272.7469
25,26,-9.6978462961882606e-01,-9.9786702912883019e-01,2.8082399510004130e-02,710655,270.9055
26,27,-8.5367567591090199e-01,-8.7307591975573262e-01,1.9400243844830634e-02,64719,25.6085
