qubit_qiskit,qubit_pp,z_ref,z_pp,abs_error,pp_terms,pp_time_s
0,1,9.8794847500105087e-01,9.9999997800867668e-01,1.2051503007625808e-02,111,1.4306
1,2,9.8794847500105087e-01,9.9999997800867668e-01,1.2051503007625808e-02,111,0.0009
2,3,9.7062860263396089e-01,1.0000000000000000e+00,2.9371397366039109e-02,1,0.0002
3,4,9.7062860263396089e-01,9.9999999998091360e-01,2.9371397346952710e-02,31,0.0003
4,5,9.7062860263395379e-01,1.0000000000000000e+00,2.9371397366046215e-02,1,0.0002
5,6,9.7062860263395379e-01,9.9999999998047751e-01,2.9371397346523720e-02,31,0.0002
6,7,9.9163166277360359e-01,1.0000000000000000e+00,8.3683372263964051e-03,1,0.0002
7,8,9.9163166277360359e-01,1.0000000000000000e+00,8.3683372263964051e-03,1,0.0001
8,9,9.8649908767081251e-01,9.9867232553423912e-01,1.2173237863426611e-02,111,0.0002
9,10,9.8649908767081251e-01,9.9867232553423924e-01,1.2173237863426722e-02,111,0.0002
10,11,9.9182628275376994e-01,9.9975215221516800e-01,7.9258694613980607e-03,24,0.0002
11,12,9.9182628275376994e-01,9.9975215221516789e-01,7.9258694613979497e-03,28,0.0003
12,13,9.7479588173989751e-01,1.0000000000000000e+00,2.5204118260102493e-02,1,0.0001
13,14,9.7479588173989751e-01,9.9999999993477429e-01,2.5204118194876779e-02,31,0.0003
14,15,9.7479588173989418e-01,9.9999346912345888e-01,2.5197587383564701e-02,31,0.0003
15,16,9.7479588173989418e-01,9.9999999994069855e-01,2.5204118200804371e-02,31,0.0002
16,17,9.4836807093753073e-01,9.9480411881827979e-01,4.6436047880749065e-02,111,0.0004
17,18,9.4836807093753073e-01,9.9480411881827968e-01,4.6436047880748954e-02,111,0.0004
18,19,9.8228961373108692e-01,9.9924453413114911e-01,1.6954920400062190e-02,24,0.0003
19,20,9.8228961373108692e-01,9.9924453413114911e-01,1.6954920400062190e-02,28,0.0002
20,21,9.8228961373108825e-01,1.0000000000000002e+00,1.7710386268911971e-02,31,0.0003
21,22,9.8228961373108825e-01,1.0000000000000000e+00,1.7710386268911749e-02,21,0.0003
22,23,8.4957499106749268e-01,8.9713218770103320e-01,4.7557196633540522e-02,111,0.0003
23,24,8.4957499106749268e-01,8.9713218770103309e-01,4.7557196633540411e-02,111,0.0003
24,25,-9.6978602720909024e-01,-9.9867232553423912e-01,2.8886298325148885e-02,58,0.0003
25,26,-9.6978602720909024e-01,-9.9867232553423924e-01,2.8886298325148996e-02,58,0.0002
26,27,-8.5367034518617391e-01,-8.9713218770103320e-01,4.3461842514859295e-02,58,0.0002
27,28,-8.5367034518617391e-01,-8.9713218770103320e-01,4.3461842514859295e-02,58,0.0002
28,29,-9.5698649880313991e-01,-9.9480411881827979e-01,3.7817620015139886e-02,58,0.0003
29,30,-9.5698649880313991e-01,-9.9480411881827979e-01,3.7817620015139886e-02,58,0.0003
30,31,-9.5269675564583134e-01,-1.0000000000000000e+00,4.7303244354168661e-02,21,0.0002
31,32,-9.5269675564583134e-01,-9.9999999992117616e-01,4.7303244275344825e-02,24,0.0002
32,33,-9.5269675564583289e-01,-1.0000000000000000e+00,4.7303244354167107e-02,21,0.0002
33,34,-9.5269675564583289e-01,-9.9999999991568800e-01,4.7303244269855105e-02,24,0.0002
34,35,-9.6417214463468215e-01,-9.9924453413114911e-01,3.5072389496466960e-02,27,0.0003
35,36,-9.6417214463468215e-01,-9.9924453413114911e-01,3.5072389496466960e-02,27,0.0003
36,37,-9.9327335665592320e-01,-1.0000000000000000e+00,6.7266433440767992e-03,3,0.0001
37,38,-9.9327335665592320e-01,-1.0000000000000000e+00,6.7266433440767992e-03,3,0.0002
38,39,-9.9309775512229226e-01,-1.0000000000000000e+00,6.9022448777077416e-03,3,0.0002
