step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12,Z_site13,Z_site14,Z_site15,Z_site16,Z_site17,Z_site18,Z_site19,Z_site20,Z_site21,Z_site22,Z_site23,Z_site24,Z_site25,Z_site26,Z_site27,Z_site28,Z_site29,Z_site30,Z_site31,Z_site32,Z_site33,Z_site34,Z_site35,Z_site36
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9801163698825164,-0.960381618383237,0.9604311616717024,-0.9604311616717018,0.9604311616717022,-0.9604311616717023,0.9604311616717013,-0.9604311616717016,0.9604311616717028,-0.9604311616717028,0.9604311616717024,-0.9604311616717025,0.9604311616717018,-0.9604311616717018,0.9604311616717023,-0.9604311616717021,0.9604311616717016,-0.9604311616717023,0.9604311616717017,-0.9604311616717015,0.9604311616717018,-0.9604311616717021,0.9604311616717016,-0.9604311616717015,0.9604311616717004,-0.9604311616717006,0.9604311616717007,-0.9604311616717011,0.9604311616717016,-0.9604311616717021,0.9604311616717015,-0.9604311616717016,0.9604311616717023,-0.9604311616717016,0.9603816183832363,-0.9801163698825152
2,0.9222334220657468,-0.8464060993146344,0.84792982283384,-0.8479329635070477,0.8479186768968511,-0.8479329167536185,0.8479186769845518,-0.847932916753618,0.8479186769845574,-0.8479329167536197,0.8479186769845539,-0.8479329167536185,0.8479186769845573,-0.8479329167536199,0.8479186769845556,-0.8479329167536191,0.8479186769845537,-0.8479329167536174,0.8479186769845527,-0.8479329167536165,0.8479186769845535,-0.8479329167536167,0.8479186769845517,-0.8479329167536145,0.8479186769845535,-0.8479329167536171,0.8479186769845527,-0.8479329167536159,0.847918676984553,-0.847932916753617,0.8479186769845536,-0.8479329165759698,0.8479186881943634,-0.8479424405105438,0.8463989066044577,-0.9222389566821668
3,0.8314435716741598,-0.6719319216765871,0.6798894840155804,-0.6797957393683933,0.679725160215775,-0.6797964867459734,0.6797251588965878,-0.6797964865880128,0.6797251588969051,-0.6797964865880097,0.6797251588969055,-0.6797964865880177,0.6797251588969071,-0.6797964865880131,0.6797251588969119,-0.6797964865880186,0.679725158896904,-0.679796486588012,0.6797251588969034,-0.6797964865880083,0.6797251588969015,-0.6797964865880117,0.6797251588969043,-0.6797964865880074,0.679725158896902,-0.6797964865880115,0.6797251588969051,-0.6797964865880113,0.679725158896905,-0.6797964865871231,0.679725158939026,-0.6797964789934601,0.6797240056965355,-0.6799541699046214,0.6718954786767231,-0.8314729469168122
4,0.7155606669900088,-0.4576106321742503,0.4815158042619825,-0.4807490604329879,0.4805818176539753,-0.48076437373758796,0.48058166527807233,-0.48076437080601003,0.4805816652992953,-0.48076437080509826,0.480581665299301,-0.48076437080509976,0.4805816652993041,-0.48076437080509143,0.4805816652993078,-0.48076437080510087,0.4805816652992981,-0.4807643708050944,0.48058166529929736,-0.48076437080509327,0.4805816652992889,-0.48076437080508383,0.48058166529929325,-0.4807643708050812,0.48058166529929536,-0.4807643708050914,0.48058166529929436,-0.4807643708050799,0.4805816652997472,-0.48076437073551326,0.4805816653595882,-0.4807644332591341,0.4805647742417734,-0.48168769336807854,0.4575158180667839,-0.7156428734997943
5,0.5842135278087601,-0.22772400819748367,0.28108293725298994,-0.27797176060615203,0.2777603212878892,-0.2780768644051837,0.2777583489468161,-0.2780768559327531,0.2777583491558867,-0.278076855900248,0.27775834915625464,-0.2780768559002277,0.2777583491562614,-0.2780768559002197,0.2777583491562744,-0.27807685590024667,0.27775834915625564,-0.2780768559002206,0.2777583491562502,-0.2780768559002261,0.27775834915624764,-0.27807685590021397,0.2777583491562493,-0.27807685590021036,0.27775834915625924,-0.27807685590022196,0.27775834915626807,-0.27807685589964337,0.27775834917128317,-0.2780768548586466,0.2777583331471107,-0.27807843781843483,0.27765057408395466,-0.28140007304536624,0.22755566126601334,-0.5843766674160228
