t,z_ref_qutip,DOUBLEADAPTIVE,DOUBLEFIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,1,1,1,1,1
0.05,0.9593290064350518,0.9595234191192825,0.9593219377262577,0.9593290303862629,0.9593290302670041
0.1,0.8440499418656346,0.844808286958713,0.8443176467397148,0.8440501066888321,0.8440501063674004
0.15,0.6728327308145016,0.6743537774903987,0.6734313533067209,0.6728332234814887,0.6728332229403481
0.2,0.4721288875982957,0.474360550893406,0.4735537264537515,0.4721300949574753,0.4721300938758053
0.25,0.2705631219717249,0.2731976458707924,0.2727675614107177,0.2705653469038926,0.2705653451533352
0.3,0.0933616522915471,0.09595166701857716,0.09588222192384011,0.09336497224274221,0.09336497055422061
0.35,-0.04184535184925795,-0.03975319620797813,-0.03940788268574691,-0.04184089898160021,-0.0418409003941636
0.4,-0.1270368533083357,-0.1257959172334758,-0.1250700405075461,-0.1270315291862224,-0.1270315294174302
0.45,-0.1635030883895844,-0.1632799680718896,-0.1623620433929115,-0.1634971458304193,-0.163497140635296
0.5,-0.1597100754545171,-0.1604595781708613,-0.1596155570048821,-0.159704008536856,-0.1597039788870001
0.55,-0.1281699879229511,-0.1296649245194916,-0.1291574557985308,-0.1281642348644164,-0.1281641045069964
0.6,-0.08222882277000067,-0.08412957817846756,-0.08414721742604664,-0.08222406983865482,-0.08222358815506531
0.65,-0.03350638917264599,-0.03544726108606777,-0.03606231499883961,-0.0335035323376236,-0.03350204723958466
0.7,0.009611909054298666,0.007944389588713519,0.00677682198069296,0.009611413917478662,0.009615176943357007
0.75,0.04238826515738855,0.04120483264900665,0.03961613106086026,0.042382946838386,0.04239047320268097
0.8,0.06329172535318517,0.06268403647759835,0.06085625076184842,0.06328261328701601,0.06329298986607301
0.85,0.07308499115152105,0.07303862174322762,0.07118448604589872,0.07308220511902069,0.0730855390577268
0.9,0.07381800936401883,0.07424191083080706,0.07259706040786013,0.07385091168906649,0.07381810537394867
0.95,0.06799706397653865,0.06875634061541835,0.06756125569813787,0.06812491905579321,0.06799696473524097
1,0.05804641161618298,0.05899087387136837,0.05844969483016749,0.05836394229008829,0.05804632816713456
1.05,0.04604633663789066,0.04703340910983927,0.04727167524078157,0.04667822879159367,0.04604641265888532
1.1,0.03365623874802055,0.03456841491526619,0.03562983849857732,0.03473873539431932,0.03365655997610251
1.15,0.02212113206760088,0.02287721626780098,0.02476609725180146,0.02377526375218852,0.02212174644662773
1.2,0.01229488221206889,0.01285472513311747,0.01558120338621038,0.01459843096926522,0.01229582607597357
1.25,0.004661227977982227,0.005024838766501005,0.008608064589099018,0.007620067321248536,0.004662544182318928
1.3,-0.0006342289170933592,-0.0004331533326055181,0.003993950600734875,0.002876546100507471,-0.0006324933753754092
1.35,-0.003723045997971045,-0.003630696409242684,0.001550207124436598,9.018816979361466e-05,-0.003720858959123829
1.4,-0.004921983382531477,-0.004884248485850395,0.0008827317875859109,-0.001190481413858246,-0.004919356093126215
1.45,-0.004628571047243476,-0.004608872282936827,0.001541036591650946,-0.001410958032473264,-0.004625588836891625
1.5,-0.003232703135049606,-0.003219007490188608,0.00309073044263386,-0.0009021337458055001,-0.003229521685396863
1.55,-0.001066260083843987,-0.001068917550713533,0.005296176373442596,9.988926828841116e-05,-0.001063093031074325
