qubit_qiskit,qubit_pp,abs_error,z_pp,z_tebd
0,1,4.9993794086514509e-01,9.9999999999998712e-01,5.0006205913484203e-01
1,2,2.5999974895274391e-07,9.9996931143587420e-01,9.9996957143562315e-01
2,3,4.1584295327523613e-05,9.9547896912954692e-01,9.9552055342487444e-01
3,4,4.0386587562335485e-05,9.9547896914989331e-01,9.9551935573745565e-01
4,5,6.2513760270443974e-05,9.9547896906509759e-01,9.9554148282536803e-01
5,6,6.0473460680388058e-05,9.9547896915338985e-01,9.9553944261407024e-01
6,7,5.3025610666335155e-05,9.9977728482628692e-01,9.9983031043695325e-01
7,8,5.3025411104745679e-05,9.9977728482628692e-01,9.9983031023739166e-01
8,9,9.9999999999861411e-01,9.9999999999857081e-01,-4.3325387074190305e-14
9,10,1.5000000517183056e+00,1.0000000000000000e+00,-5.0000005171830553e-01
10,11,5.8367210371557121e-05,9.9974987466815113e-01,9.9980824187852269e-01
11,12,5.8367417168248004e-05,9.9974987466815157e-01,9.9980824208531982e-01
12,13,2.2806575345701852e-05,9.9754384387621930e-01,9.9756665045156501e-01
13,14,8.3839721609635376e-08,9.9754384387611794e-01,9.9754392771583955e-01
14,15,3.4327005173806491e-05,9.9754384380707728e-01,9.9757817081225109e-01
15,16,2.3159237826475554e-05,9.9754384380663763e-01,9.9756700304446411e-01
16,17,2.7619602014583577e-05,9.9720417936944661e-01,9.9717655976743202e-01
17,18,3.3533761574111587e-05,9.9878067739133081e-01,9.9874714362975670e-01
18,19,9.3781789144968597e-01,1.0000000000000000e+00,6.2182108550313989e-02
19,20,9.9999999999995715e-01,1.0000000000000000e+00,4.2803399132120966e-14
20,21,4.9999480100417804e-01,9.9999560567391288e-01,5.0000080466973484e-01
21,22,5.0001587118603252e-01,1.0000000000000000e+00,4.9998412881396742e-01
22,23,7.2812418066114937e-05,8.9107514708338820e-01,8.9114795950145431e-01
23,24,1.1455807740690105e-04,8.8830631688499317e-01,8.8842087496240008e-01
24,25,4.9994542914058282e-01,-9.9999999999857092e-01,-5.0005457085798810e-01
25,26,1.0886029655488016e-07,-9.9875026895185304e-01,-9.9875037781214959e-01
26,27,9.3227736082890367e-05,-8.9107514708338820e-01,-8.9116837481947109e-01
27,28,1.0867654574686636e-04,-8.8830631688499295e-01,-8.8841499343073982e-01
28,29,1.5663422943013039e-05,-9.9720417936944694e-01,-9.9721984279238995e-01
29,30,1.4005523740756587e-07,-9.9999985994477281e-01,-1.0000000000000102e+00
30,31,3.7158821850735713e-05,-9.9302281304645212e-01,-9.9305997186830286e-01
31,32,3.6026224191854084e-05,-9.9302281304642359e-01,-9.9305883927061545e-01
32,33,9.7629309018354427e-05,-9.9302281296075601e-01,-9.9312044226977436e-01
33,34,9.8142357474406694e-05,-9.9302281304861140e-01,-9.9312095540608580e-01
34,35,1.0658141036401503e-14,-1.0000000000000000e+00,-1.0000000000000107e+00
35,36,1.4006297788249356e-07,-9.9999985993057949e-01,-9.9999999999355738e-01
36,37,1.0880185641326534e-14,-1.0000000000000000e+00,-1.0000000000000109e+00
37,38,1.1324274851176597e-14,-1.0000000000000000e+00,-1.0000000000000113e+00
38,39,1.1102230246251565e-14,-1.0000000000000000e+00,-1.0000000000000111e+00
39,40,1.1102230246251565e-14,-1.0000000000000000e+00,-1.0000000000000111e+00
40,41,1.1102230246251565e-14,-1.0000000000000000e+00,-1.0000000000000111e+00
41,42,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
42,43,4.9993746322391142e-01,-9.9999560567391266e-01,-5.0005814245000124e-01
43,44,1.5000000000000024e+00,-1.0000000000000000e+00,5.0000000000000244e-01
44,45,1.1139302784468619e-04,-9.9952715949443860e-01,-9.9963855252228329e-01
45,46,1.1139302784479721e-04,-9.9952715949443860e-01,-9.9963855252228340e-01
46,47,1.4999999999999960e+00,-9.9999999999998712e-01,5.0000000000000888e-01
47,48,1.1324274851176597e-14,-1.0000000000000002e+00,-1.0000000000000115e+00
48,49,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
49,50,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
50,51,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
51,52,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
52,53,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
53,54,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
54,55,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
55,56,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
56,57,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
57,58,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
58,59,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
59,60,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
60,61,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
61,62,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
62,63,1.1546319456101628e-14,-1.0000000000000000e+00,-1.0000000000000115e+00
