qubit_qiskit,qubit_pp,err_pp_tebd,err_ref_native_tebd,err_ref_qiskit_tebd,z_pp,z_ref_native,z_ref_qiskit,z_tebd
0,1,9.7161168000070575e-12,1.9999999760231950e+00,1.2051503017341925e-02,9.9999997800867668e-01,-9.9999999800480210e-01,9.8794847500105087e-01,9.9999997801839280e-01
1,2,9.7158947554021324e-12,1.9999999760231946e+00,1.2051503017341703e-02,9.9999997800867668e-01,-9.9999999800480210e-01,9.8794847500105087e-01,9.9999997801839258e-01
2,3,1.1102230246251565e-16,1.9999999980227670e+00,2.9371397366038998e-02,1.0000000000000000e+00,-9.9999999802276707e-01,9.7062860263396089e-01,9.9999999999999989e-01
3,4,7.1942451995710144e-14,1.9999999980037526e+00,2.9371397347024653e-02,9.9999999998091360e-01,-9.9999999802276707e-01,9.7062860263396089e-01,9.9999999998098554e-01
4,5,2.2204460492503131e-16,1.9999971153650273e+00,2.9371397366046437e-02,1.0000000000000000e+00,-9.9999711536502722e-01,9.7062860263395379e-01,1.0000000000000002e+00
5,6,7.3940853440035426e-14,1.9999971153455787e+00,2.9371397346597661e-02,9.9999999998047751e-01,-9.9999711536502722e-01,9.7062860263395379e-01,9.9999999998055145e-01
6,7,0.0000000000000000e+00,1.9999975032101336e+00,8.3683372263964051e-03,1.0000000000000000e+00,-9.9999750321013370e-01,9.9163166277360359e-01,1.0000000000000000e+00
7,8,2.2204460492503131e-16,1.9999975032101336e+00,8.3683372263961830e-03,1.0000000000000000e+00,-9.9999750321013370e-01,9.9163166277360359e-01,9.9999999999999978e-01
8,9,6.5413230387889598e-12,1.9986615380711192e+00,1.2173237869967934e-02,9.9867232553423912e-01,-9.9998921253033879e-01,9.8649908767081251e-01,9.9867232554078045e-01
9,10,6.5412120164864973e-12,1.9986615380711192e+00,1.2173237869967934e-02,9.9867232553423924e-01,-9.9998921253033879e-01,9.8649908767081251e-01,9.9867232554078045e-01
10,11,5.9733329393907297e-12,1.9997413647514801e+00,7.9258694673713936e-03,9.9975215221516800e-01,-9.9998921253033879e-01,9.9182628275376994e-01,9.9975215222114133e-01
11,12,5.9733329393907297e-12,1.9997413647514799e+00,7.9258694673712826e-03,9.9975215221516789e-01,-9.9998921253033879e-01,9.9182628275376994e-01,9.9975215222114122e-01
12,13,2.2204460492503131e-16,1.9999884346106973e+00,2.5204118260102271e-02,1.0000000000000000e+00,-9.9998843461069742e-01,9.7479588173989751e-01,9.9999999999999978e-01
13,14,2.4524826613969708e-13,1.9999884345457168e+00,2.5204118195122027e-02,9.9999999993477429e-01,-9.9998843461069742e-01,9.7479588173989751e-01,9.9999999993501953e-01
14,15,7.2449823917963840e-12,1.9999819037414011e+00,2.5197587390809684e-02,9.9999346912345888e-01,-9.9998843461069720e-01,9.7479588173989418e-01,9.9999346913070386e-01
15,16,2.2315482794965646e-13,1.9999884345516188e+00,2.5204118201027526e-02,9.9999999994069855e-01,-9.9998843461069720e-01,9.7479588173989418e-01,9.9999999994092170e-01
16,17,1.3166912005146969e-11,1.9947946600921198e+00,4.6436047893915977e-02,9.9480411881827979e-01,-9.9999054126067299e-01,9.4836807093753073e-01,9.9480411883144670e-01
17,18,1.3167023027449432e-11,1.9947946600921198e+00,4.6436047893915977e-02,9.9480411881827968e-01,-9.9999054126067299e-01,9.4836807093753073e-01,9.9480411883144670e-01
18,19,4.2200687389026825e-12,1.9992339758147735e+00,1.6954920404282259e-02,9.9924453413114911e-01,-9.9998944167940429e-01,9.8228961373108692e-01,9.9924453413536918e-01
19,20,4.2197356719952950e-12,1.9992339758147732e+00,1.6954920404281926e-02,9.9924453413114911e-01,-9.9998944167940429e-01,9.8228961373108692e-01,9.9924453413536884e-01
20,21,2.2204460492503131e-16,1.9986914097156738e+00,1.7710386268911749e-02,1.0000000000000002e+00,-9.9869140971567394e-01,9.8228961373108825e-01,1.0000000000000000e+00
21,22,2.2204460492503131e-16,1.9986914097156743e+00,1.7710386268911971e-02,1.0000000000000000e+00,-9.9869140971567394e-01,9.8228961373108825e-01,1.0000000000000002e+00
22,23,8.1129547524483314e-12,1.8960883077183768e+00,4.7557196641653476e-02,8.9713218770103320e-01,-9.9895612000923062e-01,8.4957499106749268e-01,8.9713218770914616e-01
23,24,8.1133988416581815e-12,1.8960883077183772e+00,4.7557196641653809e-02,8.9713218770103309e-01,-9.9895612000923062e-01,8.4957499106749268e-01,8.9713218770914649e-01
24,25,6.5415450833938849e-12,2.4345209463394468e-03,2.8886298331690430e-02,-9.9867232553423912e-01,-9.9623780459444122e-01,-9.6978602720909024e-01,-9.9867232554078067e-01
25,26,6.5413230387889598e-12,2.4345209463393358e-03,2.8886298331690319e-02,-9.9867232553423924e-01,-9.9623780459444122e-01,-9.6978602720909024e-01,-9.9867232554078056e-01
26,27,8.1139539531704941e-12,9.6859885413231761e-02,4.3461842522973249e-02,-8.9713218770103320e-01,-9.9399207312237892e-01,-8.5367034518617391e-01,-8.9713218770914716e-01
27,28,8.1132878193557190e-12,9.6859885413232427e-02,4.3461842522972582e-02,-8.9713218770103320e-01,-9.9399207312237892e-01,-8.5367034518617391e-01,-8.9713218770914649e-01
28,29,1.3166356893634656e-11,8.1204570906701079e-04,3.7817620028306242e-02,-9.9480411881827979e-01,-9.9399207312237914e-01,-9.5698649880313991e-01,-9.9480411883144615e-01
29,30,1.3166578938239581e-11,8.1204570906723283e-04,3.7817620028306465e-02,-9.9480411881827979e-01,-9.9399207312237914e-01,-9.5698649880313991e-01,-9.9480411883144637e-01
30,31,2.2204460492503131e-16,6.9022448777077416e-03,4.7303244354168883e-02,-1.0000000000000000e+00,-9.9309775512229248e-01,-9.5269675564583134e-01,-1.0000000000000002e+00
31,32,2.9676261448230434e-13,6.9022447991804459e-03,4.7303244275641587e-02,-9.9999999992117616e-01,-9.9309775512229248e-01,-9.5269675564583134e-01,-9.9999999992147293e-01
32,33,8.8817841970012523e-16,6.9022448777068535e-03,4.7303244354166218e-02,-1.0000000000000000e+00,-9.9309775512229226e-01,-9.5269675564583289e-01,-9.9999999999999911e-01
33,34,3.1685765122801968e-13,6.9022447937125975e-03,4.7303244270171962e-02,-9.9999999991568800e-01,-9.9309775512229226e-01,-9.5269675564583289e-01,-9.9999999991600486e-01
34,35,4.2190695381805199e-12,5.9711774794449779e-03,3.5072389500686030e-02,-9.9924453413114911e-01,-9.9327335665592320e-01,-9.6417214463468215e-01,-9.9924453413536818e-01
35,36,4.2187364712731323e-12,5.9711774794446448e-03,3.5072389500685697e-02,-9.9924453413114911e-01,-9.9327335665592320e-01,-9.6417214463468215e-01,-9.9924453413536785e-01
36,37,7.7715611723760958e-16,3.5827855365317074e-02,6.7266433440760220e-03,-1.0000000000000000e+00,-9.6417214463468215e-01,-9.9327335665592320e-01,-9.9999999999999922e-01
37,38,4.4408920985006262e-16,3.5827855365317407e-02,6.7266433440763551e-03,-1.0000000000000000e+00,-9.6417214463468215e-01,-9.9327335665592320e-01,-9.9999999999999956e-01
38,39,2.2204460492503131e-16,4.7303244354166885e-02,6.9022448777075196e-03,-1.0000000000000000e+00,-9.5269675564583289e-01,-9.9309775512229226e-01,-9.9999999999999978e-01
39,40,1.1102230246251565e-16,4.7303244354166996e-02,6.9022448777076306e-03,-1.0000000000000000e+00,-9.5269675564583289e-01,-9.9309775512229226e-01,-9.9999999999999989e-01
40,41,7.2446493248889965e-12,4.7296713484872188e-02,6.8957140084110469e-03,-9.9999346912345888e-01,-9.5269675564583134e-01,-9.9309775512229248e-01,-9.9999346913070353e-01
41,42,0.0000000000000000e+00,4.7303244354168661e-02,6.9022448777075196e-03,-1.0000000000000000e+00,-9.5269675564583134e-01,-9.9309775512229248e-01,-1.0000000000000000e+00
42,43,0.0000000000000000e+00,4.3013501196860093e-02,6.0079268776208616e-03,-1.0000000000000000e+00,-9.5698649880313991e-01,-9.9399207312237914e-01,-1.0000000000000000e+00
43,44,0.0000000000000000e+00,4.3013501196860093e-02,6.0079268776208616e-03,-1.0000000000000000e+00,-9.5698649880313991e-01,-9.9399207312237914e-01,-1.0000000000000000e+00
44,45,5.9736660062981173e-12,1.4608180703496765e-01,5.7600790987626382e-03,-9.9975215221516789e-01,-8.5367034518617391e-01,-9.9399207312237892e-01,-9.9975215222114155e-01
45,46,5.9737770286005798e-12,1.4608180703496776e-01,5.7600790987627493e-03,-9.9975215221516789e-01,-8.5367034518617391e-01,-9.9399207312237892e-01,-9.9975215222114167e-01
46,47,1.1102230246251565e-16,3.0213972790909649e-02,3.7621954055586659e-03,-1.0000000000000000e+00,-9.6978602720909024e-01,-9.9623780459444122e-01,-9.9999999999999989e-01
47,48,1.1102230246251565e-16,3.0213972790909649e-02,3.7621954055586659e-03,-1.0000000000000000e+00,-9.6978602720909024e-01,-9.9623780459444122e-01,-9.9999999999999989e-01
48,49,2.2204460492503131e-16,1.8495749910674926e+00,1.0438799907691587e-03,-1.0000000000000000e+00,8.4957499106749268e-01,-9.9895612000923062e-01,-9.9999999999999978e-01
49,50,1.1102230246251565e-16,1.8495749910674926e+00,1.0438799907692697e-03,-1.0000000000000000e+00,8.4957499106749268e-01,-9.9895612000923062e-01,-9.9999999999999989e-01
50,51,2.2204460492503131e-16,1.9822896137310879e+00,1.3085902843258390e-03,-1.0000000000000000e+00,9.8228961373108825e-01,-9.9869140971567394e-01,-9.9999999999999978e-01
51,52,1.1102230246251565e-16,1.9822896137310881e+00,1.3085902843259500e-03,-1.0000000000000000e+00,9.8228961373108825e-01,-9.9869140971567394e-01,-9.9999999999999989e-01
52,53,9.7161168000070575e-12,1.9822895917494798e+00,1.0536338988509364e-05,-9.9999997800867668e-01,9.8228961373108692e-01,-9.9998944167940429e-01,-9.9999997801839280e-01
53,54,9.7162278223095200e-12,1.9822895917494798e+00,1.0536338988731409e-05,-9.9999997800867679e-01,9.8228961373108692e-01,-9.9998944167940429e-01,-9.9999997801839302e-01
54,55,4.4408920985006262e-16,1.9483680709375313e+00,9.4587393274503384e-06,-1.0000000000000000e+00,9.4836807093753073e-01,-9.9999054126067299e-01,-1.0000000000000004e+00
55,56,4.4408920985006262e-16,1.9483680709375313e+00,9.4587393274503384e-06,-1.0000000000000000e+00,9.4836807093753073e-01,-9.9999054126067299e-01,-1.0000000000000004e+00
56,57,4.4408920985006262e-16,1.9747958817398947e+00,1.1565389303247464e-05,-1.0000000000000000e+00,9.7479588173989418e-01,-9.9998843461069720e-01,-1.0000000000000004e+00
57,58,4.4408920985006262e-16,1.9747958817398947e+00,1.1565389303247464e-05,-1.0000000000000000e+00,9.7479588173989418e-01,-9.9998843461069720e-01,-1.0000000000000004e+00
58,59,4.4408920985006262e-16,1.9747958817398978e+00,1.1565389303025420e-05,-1.0000000000000000e+00,9.7479588173989751e-01,-9.9998843461069742e-01,-1.0000000000000004e+00
59,60,4.4408920985006262e-16,1.9747958817398978e+00,1.1565389303025420e-05,-1.0000000000000000e+00,9.7479588173989751e-01,-9.9998843461069742e-01,-1.0000000000000004e+00
