step,Z_site1,Z_site4,Z_site5,Z_site6
0.0,1.0,-1.0,1.0,-1.0
1.0,0.960431161671703,-0.9604311616717034,0.9604311616717036,-0.960431161671703
2.0,0.8479105536294956,-0.847925092941809,0.8479105536294989,-0.8479250929418123
3.0,0.679614954832779,-0.6796902361344245,0.6796149548327869,-0.6796902361344322
4.0,0.47995119654925644,-0.4801549063466142,0.47995119654927054,-0.48015490634663244
5.0,0.2754412628674418,-0.27582935128555036,0.2754412628674375,-0.2758293512855599
6.0,0.08960418441241164,-0.09018559271396978,0.08960418441240192,-0.09018559271397122
7.0,-0.06089754809215997,0.060175350569637354,-0.06089754809218523,0.06017535056963837
8.0,-0.1680263115083771,0.16726253054049933,-0.16802631150839448,0.16726253054050322
9.0,-0.2318870631029829,0.23119543877243728,-0.23188706310300458,0.23119543877244242
10.0,-0.25848294342144607,0.2579655585672869,-0.2584829434214655,0.2579655585672961
11.0,-0.2566523363265426,0.25639621839276794,-0.25665233632656004,0.25639621839277493
12.0,-0.23525937756888132,0.23535254859641708,-0.23525937756888726,0.23535254859642246
13.0,-0.20148726397667463,0.2020318325947419,-0.2014872639766747,0.20203183259474877
14.0,-0.16059478038754527,0.16169227206850526,-0.1605947803875339,0.16169227206850545
15.0,-0.11691128648658536,0.11861441476981532,-0.11691128648656496,0.11861441476980861
16.0,-0.0753683122784408,0.07762295483652709,-0.07536831227843566,0.07762295483650472
17.0,-0.042667913314170657,0.04528855714706123,-0.042667913314179795,0.04528855714702301
18.0,-0.027343482422748408,0.030057841706189248,-0.027343482422758414,0.030057841706132182
19.0,-0.0384227068263794,0.04098567246537857,-0.03842270682641169,0.04098567246530066
20.0,-0.08298588480322536,0.08531757863342443,-0.08298588480325614,0.08531757863333955
