Time,Site,ExpVal
0.0,0,1.0
0.0,15,1.0
0.0,29,1.0
0.05,0,0.9987513014541736
0.05,15,0.9987544190845441
0.05,29,0.9987513014541862
0.1,0,0.9950207931330016
0.1,15,0.9950703231356833
0.1,29,0.9950207931014048
0.15000000000000002,0,0.9888550111847362
0.15000000000000002,15,0.9891028148254066
0.15000000000000002,29,0.9888550111348744
0.2,0,0.9803307673799203
0.2,15,0.9811011170985966
0.2,29,0.9803307672661935
0.25,0,0.9695540388398766
0.25,15,0.9713952596368949
0.25,29,0.9695540383240674
0.30000000000000004,0,0.9566584389744821
0.30000000000000004,15,0.9603786125945719
0.30000000000000004,29,0.9566584365025064
0.35000000000000003,0,0.94180329423812
0.35000000000000003,15,0.9484873397065795
0.35000000000000003,29,0.9418032845636507
0.4,0,0.9251713576877292
0.4,15,0.9361780149861431
0.4,29,0.9251713265286858
0.45,0,0.9069661916937864
0.45,15,0.9239047350202354
0.45,29,0.9069661101230083
0.5,0,0.8874092697932248
0.5,15,0.912097054908101
0.5,29,0.8874090823076222
0.55,0,0.8667369052148363
0.55,15,0.9011399890578033
0.55,29,0.8667364436847862
0.6000000000000001,0,0.8451967746721201
0.6000000000000001,15,0.8913571771421555
0.6000000000000001,29,0.8451958111588936
0.65,0,0.8230446967296685
0.65,15,0.8829979842324986
0.65,29,0.8230427410807873
0.7000000000000001,0,0.8005408713060073
0.7000000000000001,15,0.8762292735908356
0.7000000000000001,29,0.8005371668440276
0.75,0,0.7779465176887527
0.75,15,0.8711319400269572
0.75,29,0.777939806706483
0.8,0,0.7555203775412365
0.8,15,0.8677023680601509
0.8,29,0.7555085957528653
0.8500000000000001,0,0.7335128719996682
0.8500000000000001,15,0.8658582143474663
0.8500000000000001,29,0.733495198090438
0.9,0,0.7121669170541778
0.9,15,0.8654484259002345
0.9,29,0.7121416507901006
0.9500000000000001,0,0.6917123727427748
0.9500000000000001,15,0.8662660552485766
0.9500000000000001,29,0.6916771901448617
1.0,0,0.6723611271316393
1.0,15,0.8680634260547286
1.0,29,0.672315306880721
1.05,0,0.6543054343295388
1.05,15,0.8705694408139584
1.05,29,0.6542510727692049
1.1,0,0.6377186324040205
1.1,15,0.8735045793339008
1.1,29,0.6376587724804975
1.1500000000000001,0,0.622784549603902
1.1500000000000001,15,0.8766018432964168
1.1500000000000001,29,0.6226898940465645
1.2000000000000002,0,0.6095974241011163
1.2000000000000002,15,0.8796133891874397
1.2000000000000002,29,0.6094714213049481
1.25,0,0.5982883418679521
1.25,15,0.8823322940548327
1.25,29,0.598104659615944
1.3,0,0.5888752037265652
1.3,15,0.8845847256176916
1.3,29,0.5886641960434614
1.35,0,0.5813081894412139
1.35,15,0.886236182065544
1.35,29,0.5811979970123635
1.4000000000000001,0,0.5756667981347781
1.4000000000000001,15,0.8872355808236276
1.4000000000000001,29,0.5757262690737921
1.4500000000000002,0,0.5719003652952358
1.4500000000000002,15,0.8875618486096789
1.4500000000000002,29,0.572242672698422
1.5,0,0.569910773749547
1.5,15,0.8872307307779511
1.5,29,0.5707152435260865
1.55,0,0.5695693435893316
1.55,15,0.8863235173167959
1.55,29,0.5710859053662862
1.6,0,0.5709375824901357
1.6,15,0.8849394973714241
1.6,29,0.5732742713827826
1.6500000000000001,0,0.5738677448246027
1.6500000000000001,15,0.8831765327441503
1.6500000000000001,29,0.5771793282668707
1.7000000000000002,0,0.5781766850572131
1.7000000000000002,15,0.8811523691169636
1.7000000000000002,29,0.5826805451000389
1.75,0,0.5838698003796364
1.75,15,0.8790022290914321
1.75,29,0.5896401519651044
1.8,0,0.5910078187808712
1.8,15,0.8768383689711334
1.8,29,0.5979064603377805
1.85,0,0.599285183539958
1.85,15,0.8747381823610556
1.85,29,0.6073155963915412
1.9000000000000001,0,0.6087338424215439
1.9000000000000001,15,0.8727919938669718
1.9000000000000001,29,0.6176939694238625
1.9500000000000002,0,0.619423545646306
1.9500000000000002,15,0.8710285145376951
1.9500000000000002,29,0.6288634723863361
2.0,0,0.6309620827084134
2.0,15,0.8694645984378332
2.0,29,0.6406443958050813
