step,Z_site1,Z_site4,Z_site5,Z_site6
0,1.0,-1.0,1.0,-1.0
1,0.8467955130066294,-0.8467955130066305,0.8467955130066319,-0.8467955130066309
2,0.4770832453260019,-0.4777121728287326,0.4770832480811424,-0.4777121711802949
3,0.09092410281024509,-0.09254463781533406,0.09092411766376368,-0.09254463358465714
4,-0.14424262380728772,0.14324849721899025,-0.1442425830345933,0.1432485042525653
5,-0.18674212086892533,0.18771713415069802,-0.18674204433932323,0.18771714161061526
6,-0.10711881137607382,0.10831768349807869,-0.10711870101452675,0.10831768677551529
7,-0.008317572535816773,0.0072907271958784214,-0.008317442694588728,0.0072907238565448895
8,0.0433411712947423,-0.046087810254214934,0.04334130057975788,-0.04608781744423318
