step,Z_site1,Z_site4,Z_site5,Z_site6
0,1.0,-1.0,1.0,-1.0
1,0.8467955130066299,-0.8467955130066283,0.8467955130066329,-0.8467955130066334
2,0.4770832464386625,-0.4777121725538734,0.47708324643866684,-0.4777121725538803
3,0.09092410990812418,-0.09254463746558395,0.09092410990812166,-0.09254463746558789
4,-0.14424260178063109,0.14324849339388762,-0.1442426017806258,0.14324849339388812
5,-0.18674207301922108,0.18771711675494374,-0.18674207301920864,0.18771711675493996
6,-0.10711872645201133,0.10831764264476262,-0.10711872645200776,0.10831764264475496
7,-0.008317443323703608,0.00729065940713558,-0.00831744332370582,0.007290659407127531
8,0.04334133732961077,-0.04608789716879286,0.043341337329618645,-0.046087897168805514
