name,state_index,p_ref,p_pp,abs_err
marg2_1_1_2,0,9.8848048674207345e-01,3.0939983224008299e-01,6.7908065450199051e-01
marg2_1_1_2,1,5.4937507584536744e-03,1.9060016775991698e-01,1.8510641700146330e-01
marg2_1_1_2,2,5.4937507584536674e-03,3.0939983224008299e-01,3.0390608148162934e-01
marg2_1_1_2,3,5.3201174102265468e-04,1.9060016775991698e-01,1.9006815601889432e-01
marg2_2_9_10,0,9.8847753302166275e-01,3.7336491823576340e-01,6.1511261478589940e-01
marg2_2_9_10,1,4.7720108137452553e-03,2.7617402288726206e-01,2.7140201207351683e-01
marg2_2_9_10,2,4.7720108137452493e-03,2.0140458710738579e-01,1.9663257629364053e-01
marg2_2_9_10,3,1.9784453508515489e-03,1.4905647176958881e-01,1.4707802641873727e-01
marg2_3_11_12,0,9.9299208368392322e-01,4.2294372274026004e-01,5.7004836094366318e-01
marg2_3_11_12,1,2.9210576929652129e-03,5.7693235336732396e-01,5.7401129567435871e-01
marg2_3_11_12,2,2.9210576929652112e-03,7.1504564013960548e-05,2.8495531289512506e-03
marg2_3_11_12,3,1.1658009301541890e-03,5.2419328402095178e-05,1.1133816017520938e-03
marg2_4_17_18,0,9.5561379692968929e-01,2.1276046640199514e-01,7.4285333052769409e-01
marg2_4_17_18,1,1.8570238539077771e-02,2.8723953359800486e-01,2.6866929505892712e-01
marg2_4_17_18,2,1.8570238539077778e-02,2.1276046640199514e-01,1.9419022786291737e-01
marg2_4_17_18,3,7.2457259921601524e-03,2.8723953359800486e-01,2.7999380760584469e-01
marg3_a,0,4.0540074096928388e-06,1.4976133234009681e-01,1.4975727833268712e-01
marg3_a,1,9.5627995363703196e-07,9.2217381445223942e-02,9.2216425165270302e-02
marg3_a,2,1.5352554025884582e-07,1.4976133234009681e-01,1.4976117881455656e-01
marg3_a,3,1.1534739868193786e-07,9.2217381445223942e-02,9.2217266097825254e-02
marg3_a,4,9.8847643273466312e-01,1.5963849989998619e-01,8.2883793283467688e-01
marg3_a,5,5.4927944785000370e-03,9.8382786314693035e-02,9.2889991836192995e-02
marg3_a,6,5.4935972329134093e-03,1.5963849989998619e-01,1.5414490266707279e-01
marg3_a,7,5.3189639362397274e-04,9.8382786314693035e-02,9.7850889921069065e-02
marg3_b,0,1.7691735738862259e-08,1.7215646381772826e-01,1.7215644612599251e-01
marg3_b,1,1.1386289329798761e-08,1.0600745896176775e-01,1.0600744757547842e-01
marg3_b,2,4.1898412142128220e-06,1.2736620086246536e-01,1.2736201102125114e-01
marg3_b,3,1.0602410629891715e-06,7.8427303928680137e-02,7.8426243687617150e-02
marg3_b,4,1.4551399899478410e-02,1.8351065126402977e-01,1.6895925136455137e-01
marg3_b,5,5.5555741795526397e-04,1.1309483114117594e-01,1.1253927372322067e-01
marg3_b,6,9.7941863006810048e-01,1.3576634853594260e-01,8.4365228153215788e-01
marg3_b,7,5.4691334541687470e-03,8.3670741488210132e-02,7.8201608034041387e-02
marg4_a,0,1.7691735738862259e-08,8.6078231908864128e-02,8.6078214217128385e-02
marg4_a,1,1.1386289329798761e-08,5.3003729480883874e-02,5.3003718094594546e-02
marg4_a,2,0.0000000000000000e+00,8.6078231908864128e-02,8.6078231908864128e-02
marg4_a,3,0.0000000000000000e+00,5.3003729480883874e-02,5.3003729480883874e-02
marg4_a,4,4.0363156739539770e-06,6.3683100431232681e-02,6.3679064115558723e-02
marg4_a,5,9.4489366430723350e-07,3.9213651964340068e-02,3.9212707070675763e-02
marg4_a,6,1.5352554025884582e-07,6.3683100431232681e-02,6.3682946905692428e-02
marg4_a,7,1.1534739868193786e-07,3.9213651964340068e-02,3.9213536616941387e-02
marg4_a,8,1.4410865535179371e-02,9.1755325632014884e-02,7.7344460096835516e-02
marg4_a,9,4.9162419075914987e-04,5.6547415570587969e-02,5.6055791379828822e-02
marg4_a,10,1.4053436429904302e-04,9.1755325632014884e-02,9.1614791267715837e-02
marg4_a,11,6.3933227196113972e-05,5.6547415570587969e-02,5.6483482343391858e-02
marg4_a,12,9.7406556719948256e-01,6.7883174267971302e-02,9.0618239293151126e-01
marg4_a,13,5.0011702877408920e-03,4.1835370744105066e-02,3.6834200456364173e-02
marg4_a,14,5.3530628686143658e-03,6.7883174267971302e-02,6.2530111399356936e-02
marg4_a,15,4.6796316642785886e-04,4.1835370744105066e-02,4.1367407577677207e-02
