name,family,real_ref,imag_ref,real_pp,imag_pp,abs_err
X_1,1q,0.0000000000000000e+00,0.0000000000000000e+00,-2.6308896857991287e-02,0.0000000000000000e+00,2.6308896857991287e-02
Y_1,1q,0.0000000000000000e+00,0.0000000000000000e+00,1.2184130998586944e-01,0.0000000000000000e+00,1.2184130998586944e-01
Z_1,1q,9.8794776413636609e-01,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,9.8794776413636609e-01
X_2,1q,0.0000000000000000e+00,0.0000000000000000e+00,6.6709384441680408e-01,0.0000000000000000e+00,6.6709384441680408e-01
Y_2,1q,0.0000000000000000e+00,0.0000000000000000e+00,1.0480585318596594e-01,0.0000000000000000e+00,1.0480585318596594e-01
Z_2,1q,9.8794776413636609e-01,0.0000000000000000e+00,5.2089939279328346e-01,0.0000000000000000e+00,4.6704837134308264e-01
X_3,1q,0.0000000000000000e+00,0.0000000000000000e+00,8.8493705893090510e-02,0.0000000000000000e+00,8.8493705893090510e-02
Y_3,1q,0.0000000000000000e+00,0.0000000000000000e+00,1.7411711664986276e-01,0.0000000000000000e+00,1.7411711664986276e-01
Z_3,1q,9.7062733580621030e-01,0.0000000000000000e+00,-8.3052809931147928e-02,0.0000000000000000e+00,1.0536801457373581e+00
X_4,1q,0.0000000000000000e+00,0.0000000000000000e+00,-1.2080548442650245e-01,0.0000000000000000e+00,1.2080548442650245e-01
Y_4,1q,0.0000000000000000e+00,0.0000000000000000e+00,2.9520110324024385e-01,0.0000000000000000e+00,2.9520110324024385e-01
Z_4,1q,9.7062733580621030e-01,0.0000000000000000e+00,1.1272424376583302e-02,0.0000000000000000e+00,9.5935491142962703e-01
X_13,1q,0.0000000000000000e+00,0.0000000000000000e+00,-2.8372705547533066e-02,0.0000000000000000e+00,2.8372705547533066e-02
Y_13,1q,0.0000000000000000e+00,0.0000000000000000e+00,8.7201108441567643e-02,0.0000000000000000e+00,8.7201108441567643e-02
Z_13,1q,9.7479631956610979e-01,0.0000000000000000e+00,-1.2779979162510149e-01,0.0000000000000000e+00,1.1025961111912113e+00
X_15,1q,0.0000000000000000e+00,0.0000000000000000e+00,2.0396161604101154e-01,0.0000000000000000e+00,2.0396161604101154e-01
