name,state_index,p_ref,p_pp,abs_err
marg2_1_1_2,0,9.9999999806886852e-01,3.0939983224008299e-01,6.9060016582878547e-01
marg2_1_1_2,1,9.3353552933385595e-10,1.9060016775991698e-01,1.9060016682638145e-01
marg2_1_1_2,2,9.3353552933385595e-10,3.0939983224008299e-01,3.0939983130654747e-01
marg2_1_1_2,3,6.4066300406125830e-11,1.9060016775991698e-01,1.9060016769585067e-01
marg2_2_9_10,0,9.9998928352227701e-01,3.7336491823576340e-01,6.2662436528651355e-01
marg2_2_9_10,1,5.3227428976559346e-06,2.7617402288726206e-01,2.7616870014436440e-01
marg2_2_9_10,2,5.3227428976559550e-06,2.0140458710738579e-01,2.0139926436448813e-01
marg2_2_9_10,3,7.0991938420487436e-08,1.4905647176958881e-01,1.4905640077765039e-01
marg2_3_11_12,0,9.9998928352227701e-01,4.2294372274026004e-01,5.7704556078201696e-01
marg2_3_11_12,1,5.3227428976569274e-06,5.7693235336732396e-01,5.7692703062442630e-01
marg2_3_11_12,2,5.3227428976569316e-06,7.1504564013960548e-05,6.6181821116303622e-05
marg2_3_11_12,3,7.0991938421805935e-08,5.2419328402095178e-05,5.2348336463673371e-05
marg2_4_17_18,0,9.9999063585473724e-01,2.1276046640199514e-01,7.8723016945274216e-01
marg2_4_17_18,1,4.6347756045674190e-06,2.8723953359800486e-01,2.8723489882240028e-01
marg2_4_17_18,2,4.6347756045674080e-06,2.1276046640199514e-01,2.1275583162639058e-01
marg2_4_17_18,3,9.4594064371704316e-08,2.8723953359800486e-01,2.8723943900394050e-01
marg3_a,0,8.8551929583089214e-03,1.4976133234009681e-01,1.4090613938178789e-01
marg3_a,1,1.3598451947184508e-10,9.2217381445223942e-02,9.2217381309239427e-02
marg3_a,2,3.6843627346953139e-11,1.4976133234009681e-01,1.4976133230325317e-01
marg3_a,3,3.3224431156442455e-12,9.2217381445223942e-02,9.2217381441901503e-02
marg3_a,4,9.9114480511055836e-01,1.5963849989998619e-01,8.3150630521057223e-01
marg3_a,5,7.9755100986200999e-10,9.8382786314693035e-02,9.8382785517142024e-02
marg3_a,6,8.9669190198690264e-10,1.5963849989998619e-01,1.5963849900329427e-01
marg3_a,7,6.0743857290481583e-11,9.8382786314693035e-02,9.8382786253949181e-02
marg3_b,0,8.6824351703606948e-03,1.7215646381772826e-01,1.6347402864736757e-01
marg3_b,1,1.3887663619834094e-10,1.0600745896176775e-01,1.0600745882289112e-01
marg3_b,2,1.7275782479185463e-04,1.2736620086246536e-01,1.2719344303767352e-01
marg3_b,3,4.3032638914840918e-13,7.8427303928680137e-02,7.8427303928249814e-02
marg3_b,4,9.8943646614639325e-01,1.8351065126402977e-01,8.0592581488236348e-01
marg3_b,5,8.4159105037135706e-10,1.1309483114117594e-01,1.1309483029958489e-01
marg3_b,6,1.7083398608571223e-03,1.3576634853594260e-01,1.3405800867508549e-01
marg3_b,7,1.6703816781134444e-11,8.3670741488210132e-02,8.3670741471506313e-02
marg4_a,0,8.6824351340113477e-03,8.6078231908864128e-02,7.7395796774852782e-02
marg4_a,1,1.3555419308269668e-10,5.3003729480883874e-02,5.3003729345329681e-02
marg4_a,2,3.6349344156570050e-11,8.6078231908864128e-02,8.6078231872514788e-02
marg4_a,3,3.3224431156442455e-12,5.3003729480883874e-02,5.3003729477561427e-02
marg4_a,4,1.7275782429757144e-04,6.3683100431232681e-02,6.3510342606935111e-02
marg4_a,5,4.3032638914840918e-13,3.9213651964340068e-02,3.9213651963909739e-02
marg4_a,6,4.9428319038308089e-13,6.3683100431232681e-02,6.3683100430738396e-02
marg4_a,7,0.0000000000000000e+00,3.9213651964340068e-02,3.9213651964340068e-02
marg4_a,8,9.8943646526553874e-01,9.1755325632014884e-02,8.9768113963352381e-01
marg4_a,9,7.8084719308087601e-10,5.6547415570587969e-02,5.6547414789740777e-02
marg4_a,10,8.8085420558713903e-10,9.1755325632014884e-02,9.1755324751160675e-02
marg4_a,11,6.0743857290481583e-11,5.6547415570587969e-02,5.6547415509844115e-02
marg4_a,12,1.7083398450194267e-03,6.7883174267971302e-02,6.6174834422951870e-02
marg4_a,13,1.6703816781134444e-11,4.1835370744105066e-02,4.1835370727401247e-02
marg4_a,14,1.5837696399763635e-11,6.7883174267971302e-02,6.7883174252133610e-02
marg4_a,15,0.0000000000000000e+00,4.1835370744105066e-02,4.1835370744105066e-02
