t,z_ref_qutip,ADAPTIVE,DOUBLEADAPTIVE,DOUBLEFIXED,FIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,0,-2.237114317075738e-17,-2.237114317075738e-17,0,0,0,-2.237114317075738e-17
0.1,-1.387778780781446e-17,1.110223024625157e-16,-1.781582855131525e-07,-0.0001113313413463324,0.0005092623673625951,2.775557561562891e-16,-3.33066907387547e-16
0.2,-2.51534904016637e-17,5.418634073828255e-06,2.76752293015825e-06,-7.433499271108923e-05,-0.004433401254517078,-2.220446049250313e-16,-8.326672684688674e-16
0.3,-5.030698080332741e-17,6.723639809691484e-06,3.180633772859043e-06,7.159706766851276e-05,-0.006801266879741141,-4.440892098500626e-16,-2.775557561562891e-16
0.4,-1.387778780781446e-17,-1.571624553281525e-05,-4.345731564159294e-06,0.0003953892140914697,-0.00846119502018694,-6.661338147750939e-16,1.110223024625157e-16
0.5,-3.469446951953614e-17,1.942064340554328e-05,-3.411974867639778e-07,0.0008312921797018141,-0.009750257160386466,-1.554312234475219e-15,-9.992007221626409e-16
0.6,0,0.0001079897951446473,4.331852755723453e-06,0.001238747411773622,-0.01098984599907626,-2.442490654175344e-15,2.220446049250313e-16
0.7,-2.775557561562891e-17,0.0001304941244746893,7.30952624800052e-06,0.001533969444595786,-0.01199752297291812,-2.997602166487923e-15,8.881784197001252e-16
0.8,-1.387778780781446e-17,0.0001248270503834137,1.284001147927594e-05,0.001910018423787927,-0.01268223037767935,-3.441691376337985e-15,2.664535259100376e-15
0.9,-4.163336342344337e-17,0.0001106980673724056,1.736960744758154e-05,0.002494200372339362,-0.0130164684236545,-2.997602166487923e-15,2.442490654175344e-15
1,-4.163336342344337e-17,9.612573494111043e-05,1.939413738716311e-05,0.003310577907308777,-0.0130062875435768,-1.665334536937735e-15,3.996802888650564e-15
1.1,-2.081668171172169e-17,8.453896532761851e-05,2.005455118314625e-05,0.00391954920622134,-0.01268798185396508,-2.386979502944087e-15,4.052314039881821e-15
1.2,8.326672684688674e-17,7.68089956108553e-05,2.049258200365056e-05,0.004274341095857466,-0.01212393945961598,-1.498801083243961e-15,5.162537064506978e-15
1.3,2.983724378680108e-16,7.226089476020103e-05,2.121019817896697e-05,0.004225589883208487,-0.01139809213554299,-9.992007221626409e-16,3.83026943495679e-15
1.4,2.914335439641036e-16,6.909645100239281e-05,2.198719197243904e-05,0.004090666459962227,-0.01061617402031578,-5.551115123125783e-17,2.720046410331634e-15
1.5,3.95516952522712e-16,6.503787530148797e-05,2.262233707139849e-05,0.003981218776319763,-0.009904692034658102,4.440892098500626e-16,2.609024107869118e-15
1.6,4.302114220422482e-16,5.860482696018465e-05,2.297470515977285e-05,0.003819591198339074,-0.009390119531202112,0,2.331468351712829e-15
1.7,5.065392549852277e-16,4.97271737167071e-05,2.323456835728877e-05,0.003532681801072283,-0.009153288583728325,-2.220446049250313e-16,2.886579864025407e-15
1.8,7.91033905045424e-16,3.912417833906723e-05,2.35266231703446e-05,0.003096070804736903,-0.009177269341311356,-1.27675647831893e-15,1.77635683940025e-15
1.9,1.096345236817342e-15,2.809993272367972e-05,2.387632983158472e-05,0.002532712516082493,-0.009304796984494046,-1.387778780781446e-15,2.109423746787797e-15
2,9.159339953157541e-16,1.839508381079602e-05,2.426240417141567e-05,0.001903643633480276,-0.009206701395897854,-1.831867990631508e-15,1.110223024625157e-15
2.1,1.290634266126744e-15,1.178112088828787e-05,2.463231567562119e-05,0.001292713124754905,-0.008362598847970026,-1.887379141862766e-15,2.05391259555654e-15
2.2,2.046973701652632e-15,9.556879649208483e-06,2.490971280927345e-05,0.0007862861074837824,-0.006081898132814123,-1.998401444325282e-15,2.275957200481571e-15
2.3,2.407796184655808e-15,1.217184123492032e-05,2.500608602207244e-05,0.0004525046991102819,-0.001624674915648883,-1.110223024625157e-15,2.831068712794149e-15
2.4,4.329869796038111e-15,1.922486158323355e-05,2.483445704692944e-05,0.0003301494721634102,0.005574445732808353,-8.326672684688674e-16,2.220446049250313e-16
2.5,4.191091917959966e-15,2.96328804786361e-05,2.43236775014366e-05,0.0004280275671845278,0.01568859138976886,3.33066907387547e-16,2.775557561562891e-16
2.6,4.20496970576778e-15,4.181508238715326e-05,2.34326522138284e-05,0.0007222463012522661,0.02838267826676327,2.220446049250313e-16,1.110223024625157e-16
2.7,4.843347944927245e-15,5.401265209664663e-05,2.21598161663783e-05,0.001155510572837239,0.0428099694041697,1.221245327087672e-15,-8.326672684688674e-16
2.8,5.717648576819556e-15,6.463503740272714e-05,2.05452354426483e-05,0.001647521533856764,0.05772971571307511,1.387778780781446e-15,-9.992007221626409e-16
2.9,5.981326545168031e-15,7.25125817481187e-05,1.866672407080383e-05,0.002113367458098694,0.07176239422322006,2.664535259100376e-15,-1.77635683940025e-15
3,5.301314942585122e-15,7.69954831812969e-05,1.66313031809695e-05,0.002483608777540473,0.08368629569571429,2.942091015256665e-15,-1.443289932012704e-15
3.1,7.91033905045424e-15,7.810230326088519e-05,1.455019685747683e-05,0.002708177293247764,0.0925564481043632,3.885780586188048e-15,-1.887379141862766e-15
3.2,1.022099072045535e-14,7.633064797035738e-05,1.2525818462783e-05,0.002740407691375586,0.09774104331366895,4.329869796038111e-15,-2.109423746787797e-15
3.3,1.453004383478174e-14,7.230887311698853e-05,1.064019266355798e-05,0.002548114598519518,0.09913385991893819,4.662936703425657e-15,-2.275957200481571e-15
3.4,1.802724636235098e-14,6.673939413798236e-05,8.945797910331343e-06,0.002138655712078114,0.09722222075069642,4.440892098500626e-15,-3.164135620181696e-15
3.5,2.849109836944308e-14,6.030229257480979e-05,7.467190906496057e-06,0.001551783353696039,0.09291909465871456,5.162537064506978e-15,-3.941291737419306e-15
3.6,2.949029909160572e-14,5.360418987482296e-05,6.210033365761092e-06,0.0008393704817902546,0.08743513052064111,4.440892098500626e-15,-3.83026943495679e-15
3.7,3.576305918073786e-14,4.717554913236111e-05,5.173678251146896e-06,5.474162413766727e-05,0.08218645240666173,4.163336342344337e-15,-4.496403249731884e-15
3.8,4.016925680971895e-14,4.147864340176e-05,4.362903522792116e-06,-0.0007505125345181317,0.0786125005580266,4.218847493575595e-15,-4.662936703425657e-15
3.9,3.946148963152041e-14,3.690014033563838e-05,3.795062327005549e-06,-0.001534139635234283,0.07789465176438826,4.218847493575595e-15,-4.884981308350689e-15
4,3.824718319833664e-14,3.371935105095369e-05,3.500415521995315e-06,-0.00228131510606367,0.08068575890616708,4.884981308350689e-15,-3.663735981263017e-15
4.1,4.08909017757253e-14,3.205752568724574e-05,3.515248703955809e-06,-0.003019735790112414,0.08699561921224164,5.051514762044462e-15,-3.552713678800501e-15
4.2,3.896882816434299e-14,3.182986179334213e-05,3.869231161635067e-06,-0.003815449135473628,0.09629210867264532,6.439293542825908e-15,-2.442490654175344e-15
4.3,3.14817616420271e-14,3.272963092415537e-05,4.57029405437348e-06,-0.004751458980062499,0.1077275098748764,6.605826996519681e-15,-8.881784197001252e-16
4.4,2.738087534481792e-14,3.425010604496403e-05,5.591541375360443e-06,-0.005899424731492495,0.1203387567036047,5.440092820663267e-15,-2.164934898019055e-15
4.5,2.369979212879514e-14,3.571344675556976e-05,6.864237286796637e-06,-0.007300614535568672,0.1331600746753313,5.10702591327572e-15,-3.108624468950438e-15
4.6,1.335043187111751e-14,3.632545033427359e-05,8.279550402889857e-06,-0.008974015731932152,0.1452914779447111,5.440092820663267e-15,-1.942890293094024e-15
4.7,1.067548827116127e-14,3.533377988551578e-05,9.700352829156156e-06,-0.01090302695670956,0.1559689631682079,4.718447854656915e-15,-8.881784197001252e-16
4.8,-8.949438412564348e-15,3.224286124692277e-05,1.09810585924297e-05,-0.0129763398349325,0.1646290927120803,3.33066907387547e-15,-1.443289932012704e-15
4.9,-1.495331636292008e-15,2.697594570205686e-05,1.19903528433829e-05,-0.01498595098743158,0.1709366854773478,2.164934898019055e-15,-1.77635683940025e-15
5,-1.878532052135284e-14,1.993851095055676e-05,1.263136644114038e-05,-0.01669031741346818,0.1747746098205645,1.554312234475219e-15,-1.443289932012704e-15
5.1,-2.708597235390187e-14,1.196798674285571e-05,1.285535974304697e-05,-0.01789525355294175,0.1762289381713481,1.27675647831893e-15,-2.886579864025407e-15
5.2,-3.016684124723668e-14,4.167232804275223e-06,1.2666096349645e-05,-0.01852314805709957,0.175574680791344,4.440892098500626e-16,-3.441691376337985e-15
5.3,-3.126665593100597e-14,-2.354564444306817e-06,1.211408962420446e-05,-0.01863700339713843,0.1732156331893936,0,-3.83026943495679e-15
5.4,-5.037636974236648e-14,-6.760538952099715e-06,1.128328581789795e-05,-0.01840220481174019,0.1695422058236289,2.775557561562891e-16,-3.441691376337985e-15
5.5,-1.506607338885857e-13,-8.676001975627123e-06,1.027405302916895e-05,-0.01801002167901966,0.1647406562095263,-1.054711873393899e-15,-3.774758283725532e-15
5.6,-1.99628508168459e-13,-8.253339765174061e-06,9.185864919603048e-06,-0.01762307711657485,0.1586526258341398,-8.881784197001252e-16,-3.774758283725532e-15
5.7,-2.437945678668285e-13,-6.181829212359435e-06,8.101990346953691e-06,-0.01736879954289107,0.1507953354869837,-8.881784197001252e-16,-3.219646771412954e-15
5.8,-1.958953832481569e-13,-3.576442084873843e-06,7.080532761105651e-06,-0.01732321576471883,0.140585462977769,-7.216449660063518e-16,-1.942890293094024e-15
5.9,-2.00152394658204e-14,-1.676542605910658e-06,6.153183248758243e-06,-0.01747650874494175,0.1276814311848613,-5.551115123125783e-16,-1.77635683940025e-15
6,5.667688540711424e-14,-1.520263937515587e-06,5.329626868777471e-06,-0.01774477852102917,0.112256092856275,-6.661338147750939e-16,-2.997602166487923e-15
6.1,3.465179532202711e-13,-3.698618882941318e-06,4.605767661869375e-06,-0.01805136242206032,0.09503918655233545,-8.881784197001252e-16,-2.664535259100376e-15
6.2,-2.388367281724868e-13,-8.223942449592236e-06,3.972504512617103e-06,-0.01835960020450651,0.07713534544089196,-7.771561172376096e-16,-1.720845688168993e-15
6.3,-1.421640583032513e-13,-1.452735823814777e-05,3.421496237443478e-06,-0.01865267631953892,0.05977623834241891,-1.165734175856414e-15,7.771561172376096e-16
6.4,9.597878047884478e-14,-2.156889128734907e-05,2.946502897283043e-06,-0.01891008856045659,0.04412424043761748,5.551115123125783e-16,3.33066907387547e-16
6.5,8.028855358332976e-13,-2.803327405109801e-05,2.541373167075367e-06,-0.01910321725423665,0.03111445755589981,1.554312234475219e-15,4.440892098500626e-16
6.6,1.530373050506739e-12,-3.258812749334927e-05,2.196323070080552e-06,-0.01920419218366343,0.02131754218861592,2.275957200481571e-15,1.332267629550188e-15
6.7,1.531268167820343e-12,-3.415518170235554e-05,1.89418064056035e-06,-0.01919244859757936,0.01486546054017168,3.33066907387547e-15,1.332267629550188e-15
6.8,3.364197809219149e-12,-3.211329287755582e-05,1.608272802600119e-06,-0.0190573698317589,0.01146453356268939,3.441691376337985e-15,1.387778780781446e-15
6.9,5.280186010647725e-12,-2.638820210182358e-05,1.303489846560257e-06,-0.018804617426272,0.01043736273067186,3.441691376337985e-15,1.942890293094024e-15
7,5.460507046528562e-12,-1.742772018337169e-05,9.410799483577925e-07,-0.01846565195869659,0.01074962644928323,2.720046410331634e-15,1.110223024625157e-15
7.1,6.833811294626457e-12,-6.072250182065364e-06,4.85865845778477e-07,-0.01807588459811732,0.01110218461584417,2.664535259100376e-15,2.609024107869118e-15
7.2,1.12322859346925e-11,6.634670531247e-06,-8.663391765084683e-08,-0.01777435000511864,0.01015897021062462,1.110223024625157e-15,2.997602166487923e-15
