name,family,real_ref,imag_ref,real_pp,imag_pp,abs_err
X_60,X,0.0000000000000000e+00,0.0000000000000000e+00,-1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_60,Y,0.0000000000000000e+00,0.0000000000000000e+00,-1.4997597826618576e-32,0.0000000000000000e+00,1.4997597826618576e-32
Z_60,Z,-9.9998843461069742e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,1.1565389302581330e-05
X_61,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_61,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_61,Z,-9.9998921253033879e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,1.0787469661210913e-05
X_62,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_62,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_62,Z,-9.9998921253033879e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,1.0787469661210913e-05
X_63,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_63,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_63,Z,-9.9998921253033879e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,1.0787469661210913e-05
X_64,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
Y_64,Y,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00
Z_64,Z,-9.9998921253033879e-01,0.0000000000000000e+00,-1.0000000000000000e+00,0.0000000000000000e+00,1.0787469661210913e-05
X_65,X,0.0000000000000000e+00,0.0000000000000000e+00,1.2246467991473532e-16,0.0000000000000000e+00,1.2246467991473532e-16
