t,z_ref_qutip,DOUBLEADAPTIVE,DOUBLEFIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,1,1,1,1,1
0.01,0.9984008535192619,0.9995012595035606,0.9983508323112475,0.9983509334570709,0.9983509334218543
0.02,0.993613634323957,0.9960853053967185,0.9934158483198017,0.9934149212324799,0.9934149209112154
0.03,0.9856689270199041,0.9893985152270798,0.9852295908203446,0.9852254201973383,0.9852254190837823
0.04,0.9746174150556479,0.9794861956327953,0.9738457087062534,0.9738378419284932,0.9738378392730647
0.05,0.9605294179603716,0.9664153317892442,0.9593498557219563,0.9593290323401794,0.9593290271607288
0.06,0.9434942822644489,0.9502739688681658,0.9418330644769629,0.9417965519824166,0.9417965430780806
0.07000000000000001,0.9236196299464084,0.9311704162457402,0.9214083704382244,0.9213577656581482,0.9213577516289566
0.08,0.9010303826580398,0.9092322302086587,0.8982100237695648,0.8981487522675922,0.8981487315345871
0.09,0.8758677259430419,0.884605012970704,0.8723960451866313,0.8723230478547545,0.8723230186837208
0.1,0.8482878665250571,0.8574510685006621,0.8441364074181116,0.8440502367327908,0.8440501972603489
0.11,0.8184606784803587,0.8279479244858479,0.8136178549896551,0.8135144072286715,0.8135143554906801
0.12,0.7865683408057633,0.7962867280182894,0.7810264927351548,0.7809124900177555,0.7809124239780499
0.13,0.7528037621321936,0.7626705344886509,0.7465765027285093,0.7464524981802192,0.7464524157619027
0.14,0.7173690106773992,0.7273125021009426,0.7104876064788286,0.7103516890141804,0.7103515881313954
0.15,0.6804736384286936,0.6904340140841622,0.6729843189448529,0.6728346682478981,0.6728345468375087
0.16,0.642332990176291,0.6522627589939974,0.6342979015500857,0.6341314576225598,0.6341313136762223
0.17,0.6031664908158648,0.6130307914649502,0.5946617571536329,0.5944755468648453,0.5944753784608605
0.18,0.5631959285717972,0.572972588684392,0.554310498821223,0.5541019508365355,0.5541017561700431
0.19,0.5226437472950688,0.5323231218357343,0.5134782276975791,0.5132452921475151,0.5132450695588732
0.2,0.4817313676174874,0.4913159631680025,0.4723968687252412,0.4721379287676575,0.4721376767699403
0.21,0.4406775522853021,0.4501814475879233,0.4312935086402216,0.4310081451908706,0.431007862494705
0.22,0.3996968307629187,0.409144906156094,0.3903893164330376,0.3900784245006527,0.3900781100364684
0.23,0.3589979972440406,0.3684249878350043,0.3498980565174669,0.3495638172985229,0.3495634702367264
0.24,0.3187827032220217,0.3282320853750078,0.3100253353380353,0.3096704219048623,0.3096700416734473
0.25,0.2792440679143445,0.2887668804071522,0.2709673316292538,0.2705939885514974,0.2705935748494894
0.26,0.2405654894776318,0.2502190201888138,0.2329090473448535,0.2325186584839206,0.2325182112911953
0.27,0.2029199650108224,0.2127659350578767,0.1960222893538901,0.1956158470148776,0.1956153665990009
0.28,0.1664684204649332,0.1765718034920649,0.1604633470133405,0.1600432776434116,0.1600427645631157
0.29,0.131358990638203,0.1417866704722923,0.1263740636767294,0.125944172401058,0.125943627506181
0.3,0.09772661037460889,0.1085457233751034,0.09388217771259807,0.09344660164036719,0.09344602606810778
0.31,0.06569276232456883,0.07696872773738081,0.0631001183385578,0.06266299456481472,0.06266238973256968
0.32,0.03536358255784076,0.04715962342622632,0.03412427804865954,0.03368980993878752,0.03368917753379785
0.33,0.006831804180547732,0.01920627996632323,0.007034813475415748,0.00660736463254206,0.006606706598398569
0.34,-0.01982541981991034,-0.006819592112029137,-0.01810418121763216,-0.01852018402923512,-0.01852086550881016
0.35,-0.04454553602489417,-0.03086237883970017,-0.04124447788573263,-0.04164470771781879,-0.04164541023777318
0.36,-0.06728096307413182,-0.05288235582009866,-0.06235352752900936,-0.06273383539334443,-0.06273455634820489
0.37,-0.08799830648041246,-0.07285534460887087,-0.08141411593104268,-0.08177054878120231,-0.08177128538770062
0.38,-0.10667898323169,-0.09077224154141784,-0.09842384892242419,-0.09875265451768112,-0.09875340383862227
0.39,-0.1233179591964993,-0.1066384290269038,-0.113394507518993,-0.1136921434342836,-0.113692902403133
0.4,-0.1379231028455954,-0.1204730801424784,-0.126351299215682,-0.1266144482678793,-0.1266152137132465
0.41,-0.1505157906229753,-0.1323083680870387,-0.1373320213415684,-0.1375576117325901,-0.1375583804018942
0.42,-0.1611283697057099,-0.1421885926528016,-0.1463861493150481,-0.1465713773691567,-0.1465721459507608
0.43,-0.1698051685042614,-0.1501692363103246,-0.1535738621593116,-0.1537162159003524,-0.1537169810430029
0.44,-0.1766002874196279,-0.1563159627655292,-0.1589650177330184,-0.1590622999692741,-0.1590630582976096
0.45,-0.1815780564487152,-0.1607035709259428,-0.1626380902146428,-0.1626884401279715,-0.1626891882528675
0.46,-0.1848105102079479,-0.1634149171081405,-0.1646790823104584,-0.164680994783506,-0.1646817293056119
0.47,-0.1863781290143006,-0.1645398180501129,-0.1651804244171254,-0.1651327665061049,-0.1651334840106757
0.48,-0.1863676151897702,-0.1641739468910086,-0.1642398725734756,-0.1641418966691479,-0.1641425937104287
0.49,-0.1848711716768663,-0.1624177337663601,-0.1619594165007572,-0.1618107698355644,-0.1618114429078969
0.5,-0.1819862627607697,-0.159375282049679,-0.1584442083761903,-0.1582449386404126,-0.1582455841339879
0.51,-0.1778133575803502,-0.1551533105578027,-0.1538015222288642,-0.1535520791597686,-0.1535526932976915
0.52,-0.172456404045043,-0.1498601312362298,-0.1481397530075403,-0.1478409859131743,-0.1478415646667589
0.53,-0.1660204971928358,-0.1436046709626978,-0.1415674634627159,-0.1412206147363622,-0.1412211537152306
0.54,-0.158612603074374,-0.1364955451656819,-0.1341924860266388,-0.1337991807959762,-0.1337996751091109
0.55,-0.1503388238077068,-0.1286401899639456,-0.1261210858799441,-0.125683318012962,-0.1256837620968585
0.5600000000000001,-0.1413054354028,-0.1201440585100973,-0.117457190376057,-0.1169773051310193,-0.1169776925408224
0.5700000000000001,-0.1316167866304536,-0.1111098861831211,-0.1083016889686051,-0.1077823626238488,-0.1077826857834664
0.58,-0.1213751104140912,-0.1016370282399604,-0.09875180676474667,-0.09819602359442173,-0.09819627350154164
0.59,-0.1106802038208139,-0.09182087251524509,-0.08890055382015201,-0.08831158079326873,-0.08831174667567299
0.6,-0.09962806355214651,-0.08175232875398887,-0.07883625131008351,-0.07821761088389059,-0.07821767980366423
0.61,-0.0883112168845549,-0.07151739517527156,-0.06864213476492452,-0.06799757612227667,-0.06799753252531952
0.62,-0.07681770482727122,-0.06119680190919033,-0.05839603365689766,-0.05772950270571081,-0.05772932791465164
0.63,-0.06523100637112436,-0.05086573005019752,-0.04817012577541623,-0.04748573419214167,-0.04748540584190603
0.64,-0.0536295921415184,-0.04059360425077713,-0.03803076403973495,-0.0373327576039969,-0.03733224902063684
0.65,-0.04208672176367534,-0.03044395604807032,-0.02803837267605517,-0.02733109911678725,-0.02733037864167867
0.66,-0.03067024979797503,-0.02047435446724428,-0.01824740903909342,-0.01753528559834298,-0.01753431586156701
0.67,-0.01944250443919467,-0.0107363998726406,-0.008706386791200846,-0.007993867714009282,-0.007992604862944093
0.68,-0.008460222657394862,-0.00127577654165514,0.0005420443290597498,0.001250500150146156,0.001252107258973315
0.6900000000000001,0.002225458868718822,0.007867640977331024,0.009460967307916908,0.01016092826874023,0.0101629389041855
0.7000000000000001,0.01256896471343913,0.01665963298736419,0.01801902068367291,0.01870611367078151,0.0187085960752409
0.71,0.02253019412868065,0.02507143674592787,0.02619018105934116,0.02686012154992548,0.02686315378596063
0.72,0.03207438253503445,0.03307951119547528,0.03395351106681297,0.03460213170502043,0.03460580248313481
0.73,0.04117193849876431,0.04066527002860093,0.04129287856257324,0.04191615575100267,0.04192056521913985
0.74,0.04979824323670248,0.0478147887732087,0.04819665275952308,0.04879073078653889,0.04879599126007315
0.75,0.05793341973460497,0.05451849148454389,0.05465738284092594,0.05521859507718064,0.05522483168692621
0.76,0.065562078071095,0.06077082246230008,0.06067146436930444,0.06119635111648374,0.06120370235117097
0.77,0.07267304153918913,0.06656990817882601,0.06623879850531325,0.06672412116944897,0.06673273928921036
0.78,0.07925905817755713,0.07191721431561492,0.0713624487007405,0.07180520009035177,0.07181525138791396
0.79,0.08531650218511345,0.07681720246721983,0.07604829913826887,0.07644570984763879,0.07645737473533996
0.8,0.09084506998160434,0.08127699069207406,0.0803047187707816,0.08065425979089363,0.08066773269357456
0.8100000000000001,0.09584747215462365,0.08530602167646162,0.08414223437704703,0.08444161626646784,0.08445710530326415
0.8200000000000001,0.1003291298173191,0.08891574183960928,0.08757321560893615,0.08782038473833695,0.0878381111799902
0.8300000000000001,0.1042978761899369,0.09211929425240606,0.0906115745675104,0.09080470710656544,0.09082490459938014
0.84,0.1077636653811735,0.09493122777814397,0.09327248201819094,0.09340997644632083,0.09343288999887263
0.85,0.110738292187499,0.09736722437847169,0.09557210194414695,0.09565257092269981,0.09567845565715274
0.86,0.1132351252330804,0.09944384606894781,0.09752734574528704,0.09754960817878272,0.09757872785444532
0.87,0.1152688553892078,0.1011783025631868,0.09915564701949744,0.09911872105269336,0.0991513463755067
0.88,0.1168552610271816,0.1025882402188967,0.1004747575136391,0.1003778550603426,0.1004142617977693
0.89,0.1180109909462583,0.1036915524990065,0.1015025645040266,0.1013450876898583,0.1013855546160145
0.9,0.1187533661201967,0.104506211791531,0.1022569295590789,0.1020384691957421,0.1020832758961837
0.91,0.1191002028387841,0.1050501220971916,0.1027555483499899,0.1024758842600889,0.1025253088290886
0.92,0.1190696524668008,0.1053409917977191,0.1030158309082332,0.1026749336076015,0.1027292502727828
0.93,0.1186800610853848,0.1053962254627381,0.1030548014813965,0.1026528344230311,0.102712311132555
0.9400000000000001,0.1179498478929644,0.1052328334411909,0.1028890169120448,0.1024263382255834,0.1024912342314644
0.9500000000000001,0.1168974015341553,0.1048673578153015,0.1025345022589124,0.1020116647053336,0.1020822281726182
0.96,0.1155409933695263,0.1043158131712615,0.1020067021976806,0.1014244499213367,0.1015009155868804
0.97,0.1138987065059935,0.1035936405605349,0.1013204465821144,0.1006797071991323,0.100762294095284
0.98,0.1119883791657611,0.1027156729873617,0.1004899284178555,0.09979179904452934,0.0998807082925277
0.99,0.1098275601975239,0.1016961107596285,0.09952869240354265,0.09877441840869707,0.09886983107387678
1,0.1074334791654357,0.1005485050788031,0.09844963212918027,0.09764057769314265,0.09774265267984106
1.01,0.1048230231310952,0.0992857483167722,0.09726499399166889,0.09640260396870891,0.09651147591714079
1.02,0.1020127220134269,0.09792006952915863,0.09598638589303093,0.0950721389958482,0.09518791612697113
1.03,0.09901874108285168,0.09646303388177307,0.09462478882889756,0.09366014276962152,0.09378290460775039
1.04,0.09585687855007191,0.09492554481455884,0.09319056955447162,0.09217689946746109,0.0923066943548453
1.05,0.09254256677670429,0.09331784793094192,0.09169349263607149,0.09063202484548463,0.09076886714927557
1.06,0.08909087573635333,0.09164953577497187,0.09014273036622525,0.08903447430542312,0.08917834120598568
1.07,0.08551651747766678,0.08992955283901485,0.08854686925216555,0.08739255103385596,0.08754337877551886
1.08,0.08183385013772056,0.08816620032641444,0.0869139121001658,0.08571391379387985,0.08587159327553878
1.09,0.07805688174405788,0.08636714037167899,0.08525127513000438,0.0840055841220264,0.0841699557064531
1.1,0.07419927200390278,0.08453939959115862,0.08356578007445446,0.08227395284624466,0.08244480027421143
