step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site9,Z_site10,Z_site11,Z_site12
0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1,0.9728325895046892,-0.9603842808927983,0.9604311616717025,-0.9604311616717025,0.9604311616717015,-0.9604315661885033,0.960432589044689,-0.9604323667285891,0.9604240230337134,-0.9604019745942443,0.960361251627231,-0.9728324900901977
2,0.8743553527839265,-0.8474552968209776,0.8479255531975317,-0.847932938749796,0.8479186617695468,-0.8479340350415823,0.8479229586074624,-0.8479365783000989,0.8479143947521146,-0.8479086332570904,0.8474135970215944,-0.8743690161219907
3,0.7169933820160258,-0.67817067309811,0.679788737763011,-0.6797962576776939,0.6797251006111193,-0.6797980733430227,0.6797316958991386,-0.679802092932042,0.6797245363617899,-0.6798254324261637,0.6780636305677031,-0.7170633054997742
4,0.5243053823626185,-0.47714585953100835,0.4808493961449257,-0.48076076944904783,0.48058159134507783,-0.480766093074675,0.48058959450212824,-0.48077106467395003,0.480582067380151,-0.48098630409398535,0.4769067757867365,-0.5244856828751713
5,0.32310742051074326,-0.27173677923073514,0.27851393404736086,-0.27805653155307347,0.27775867536608434,-0.2780783609315418,0.27776670053392905,-0.27808388752695373,0.2777464164435932,-0.2787621475313951,0.2713198445936278,-0.3234214168608124
6,0.13847041303231164,-0.0869852499216377,0.09769118040034297,-0.09637332812358107,0.09603790189026584,-0.09644823637381367,0.09604316221212528,-0.0964552441591468,0.09597451793713907,-0.09799309264071454,0.08640608604145489,-0.1388711636563361
7,-0.010389192612833551,0.05842324165561963,-0.043259858554196784,0.04610413910392297,-0.04628228501847137,0.04589867027092143,-0.04628626470228547,0.045885342057169376,-0.04647823548142915,0.043027066877948106,-0.05907883810349235,0.010023795648969068
8,-0.11254719670425069,0.1544401981884771,-0.134791679048392,0.13986939729908066,-0.13960349280659512,0.1393988469188484,-0.13963102710219588,0.1393660508273501,-0.14007594273734703,0.13476784089207888,-0.15505151278698054,0.11237292527177377
9,-0.1658651417610364,0.1999562642027719,-0.17640311207158654,0.1842852093566254,-0.18324961652263072,0.1833503420311321,-0.18332890427612547,0.18327045697239996,-0.18421891004061536,0.1766738961554738,-0.20042960349044248,0.16600184707524565
10,-0.17575512851910105,0.2013963052622354,-0.17511749629255696,0.18608618365663698,-0.18397014831821124,0.18443111820305724,-0.1841506594802207,0.18425471028449147,-0.1857337978831436,0.17566025403384206,-0.2017166383375502,0.1762276532507647
