step,Z_site1,Z_site4,Z_site5,Z_site6
0,1.0,-1.0,1.0,-1.0
1,0.921855389960222,-0.8467955130066309,0.8467955130066339,-0.8467955130066348
2,0.659503455502875,-0.4777171324478814,0.4770832991288933,-0.47771206904649477
3,0.29380340939665817,-0.09239011374090478,0.09093277538616484,-0.09255048109289554
4,0.00260934908040236,0.14482272084372566,-0.14410950362495822,0.14312487855507972
5,-0.12530088178631194,0.19415765008307467,-0.18594006724882062,0.1869418930859036
6,-0.11312465410870615,0.12473374900131717,-0.1042013116799424,0.10555033569999839
7,-0.042801226135360824,0.03745646953880849,-0.0007777658391584508,0.0003323410974420127
8,0.012717105742508615,-0.0035963534988829315,0.05803633314921253,-0.05943057036874816
