1.0,0.9,0.84,0.7,0.7,0.56
1.0,0.84,0.76,0.72,0.62,0.5199999999999999
1.0,0.94,0.84,0.76,0.62,0.54
1.0,0.82,0.78,0.72,0.62,0.49999999999999994
1.0,0.8,0.62,0.54,0.46,0.3
1.0,0.9,0.68,0.54,0.52,0.42
1.0,0.74,0.56,0.46,0.3399999999999999,0.15999999999999992
1.0,0.86,0.74,0.58,0.4799999999999999,0.34000000000000014
1.0,0.84,0.76,0.66,0.52,0.4799999999999999
1.0,0.84,0.7,0.58,0.44,0.44
1.0,0.86,0.78,0.64,0.56,0.54
1.0,0.86,0.7,0.6000000000000001,0.5,0.44
1.0,0.8199999999999998,0.7400000000000001,0.5800000000000002,0.5,0.44
1.0,0.9599999999999999,0.9,0.7400000000000001,0.66,0.54
1.0,0.92,0.94,0.82,0.76,0.68
1.0,0.9,0.7999999999999998,0.72,0.64,0.64
1.0,0.94,0.86,0.7800000000000001,0.74,0.66
1.0,0.98,0.9200000000000002,0.88,0.7799999999999998,0.7800000000000001
1.0,0.94,0.88,0.7,0.56,0.44
1.0,0.9599999999999999,0.94,0.74,0.58,0.5000000000000001
1.0,0.7999999999999998,0.68,0.4200000000000001,0.4200000000000001,0.3999999999999999
1.0,0.9199999999999998,0.86,0.7000000000000002,0.64,0.5000000000000001
1.0,0.8,0.6599999999999998,0.52,0.35999999999999993,0.22000000000000014
1.0,0.8599999999999999,0.78,0.6599999999999998,0.6,0.4800000000000001
1.0,0.88,0.72,0.66,0.5,0.44
1.0,0.9,0.7599999999999999,0.66,0.54,0.5000000000000001
1.0,0.74,0.6,0.54,0.4799999999999999,0.46
1.0,0.9,0.78,0.74,0.6199999999999999,0.5200000000000002
1.0,0.8999999999999999,0.76,0.68,0.5400000000000001,0.4400000000000003
1.0,0.92,0.82,0.7,0.5800000000000001,0.6000000000000001
1.0,0.76,0.6,0.49999999999999994,0.34,0.26
1.0,0.88,0.74,0.5200000000000001,0.4799999999999999,0.42000000000000015
1.0,0.8999999999999999,0.88,0.74,0.68,0.5400000000000001
1.0,0.9399999999999998,0.82,0.72,0.68,0.6400000000000002
1.0,0.92,0.82,0.84,0.82,0.7200000000000002
1.0,0.94,0.88,0.8400000000000002,0.76,0.7600000000000001
1.0,0.9399999999999998,0.88,0.74,0.7400000000000001,0.7000000000000002
1.0,0.9,0.82,0.6999999999999998,0.62,0.5200000000000005
1.0,0.8,0.78,0.6000000000000001,0.5400000000000001,0.46000000000000013
1.0,0.86,0.72,0.5199999999999999,0.36,0.30000000000000004
1.0,0.9399999999999998,0.8,0.74,0.72,0.6400000000000001
1.0,0.74,0.6399999999999999,0.52,0.33999999999999986,0.3400000000000002
1.0,0.9,0.78,0.7,0.68,0.6200000000000003
1.0,0.8399999999999999,0.7400000000000001,0.5599999999999999,0.52,0.38000000000000056
1.0,0.86,0.68,0.5600000000000003,0.43999999999999995,0.3600000000000002
1.0,0.78,0.4599999999999999,0.46,0.42000000000000015,0.3800000000000002
1.0,0.8,0.72,0.7800000000000001,0.6400000000000001,0.6200000000000004
1.0,0.8599999999999999,0.74,0.56,0.46,0.4
1.0,0.9199999999999998,0.82,0.6200000000000003,0.52,0.38
1.0,0.6999999999999998,0.58,0.3600000000000001,0.34,0.25999999999999984
1.0,0.84,0.74,0.58,0.5200000000000001,0.3800000000000002
1.0,0.86,0.8,0.7400000000000003,0.6800000000000003,0.6600000000000006
1.0,0.94,0.78,0.78,0.7400000000000003,0.7200000000000004
1.0,0.9599999999999999,0.92,0.8000000000000004,0.7800000000000002,0.7400000000000005
1.0,0.96,0.9199999999999998,0.8400000000000003,0.8200000000000002,0.7800000000000005
1.0,0.86,0.7999999999999998,0.7400000000000003,0.6400000000000001,0.6000000000000003
1.0,0.8199999999999998,0.72,0.6800000000000004,0.46,0.48000000000000015
1.0,0.8199999999999998,0.7,0.6600000000000001,0.6000000000000001,0.5400000000000005
1.0,0.84,0.8,0.6600000000000003,0.4399999999999997,0.36000000000000026
1.0,0.86,0.7,0.6200000000000004,0.6199999999999999,0.6000000000000004
1.0,0.76,0.56,0.5000000000000001,0.4800000000000001,0.4000000000000003
1.0,0.7799999999999998,0.6200000000000001,0.5800000000000002,0.5800000000000003,0.5200000000000002
1.0,0.74,0.64,0.6000000000000003,0.40000000000000013,0.40000000000000013
1.0,0.7599999999999999,0.66,0.5200000000000004,0.47999999999999987,0.4200000000000006
1.0,0.8,0.7,0.5800000000000003,0.52,0.36
1.0,0.8799999999999999,0.8,0.7000000000000003,0.6000000000000001,0.5400000000000003
1.0,0.86,0.6400000000000001,0.5400000000000004,0.4400000000000002,0.3600000000000009
1.0,0.8999999999999999,0.7600000000000001,0.6800000000000003,0.6,0.5400000000000006
1.0,0.8,0.74,0.6200000000000003,0.5,0.4400000000000002
1.0,0.8199999999999998,0.74,0.6200000000000002,0.6000000000000001,0.5200000000000007
1.0,0.8799999999999999,0.82,0.7200000000000003,0.6200000000000001,0.4800000000000005
1.0,0.8599999999999999,0.8,0.7000000000000004,0.6600000000000003,0.6200000000000009
1.0,0.86,0.7800000000000001,0.7000000000000004,0.6199999999999999,0.5800000000000005
1.0,0.9199999999999998,0.86,0.8400000000000005,0.7800000000000001,0.7600000000000007
1.0,0.94,0.9,0.8200000000000004,0.7000000000000004,0.6000000000000006
1.0,0.9199999999999998,0.84,0.7000000000000004,0.54,0.5000000000000007
1.0,0.8,0.64,0.5400000000000005,0.48000000000000026,0.3400000000000005
1.0,0.8199999999999998,0.7,0.6400000000000005,0.5600000000000002,0.4200000000000005
1.0,0.68,0.6800000000000002,0.5600000000000003,0.48,0.40000000000000036
1.0,0.8399999999999999,0.74,0.5800000000000004,0.46000000000000013,0.32000000000000023
1.0,0.84,0.74,0.5600000000000004,0.4600000000000005,0.38000000000000084
1.0,0.8,0.68,0.5800000000000003,0.5000000000000007,0.3600000000000005
1.0,0.86,0.7200000000000002,0.6800000000000002,0.6200000000000002,0.5000000000000007
1.0,0.78,0.5200000000000001,0.4600000000000007,0.3800000000000001,0.3600000000000001
1.0,0.86,0.7200000000000002,0.7400000000000004,0.5200000000000005,0.44000000000000045
1.0,0.8599999999999999,0.7400000000000001,0.5400000000000006,0.30000000000000004,0.28000000000000036
1.0,0.76,0.6600000000000001,0.5600000000000006,0.5400000000000003,0.4400000000000002
1.0,0.7,0.5000000000000002,0.4000000000000005,0.24000000000000046,0.2000000000000003
1.0,0.8599999999999999,0.76,0.6800000000000006,0.6800000000000004,0.5600000000000006
1.0,0.92,0.82,0.8200000000000007,0.7400000000000003,0.6800000000000006
1.0,0.9799999999999999,0.92,0.9000000000000006,0.8200000000000004,0.7600000000000006
1.0,0.92,0.84,0.7600000000000002,0.6800000000000006,0.6600000000000013
1.0,0.9599999999999999,0.88,0.8400000000000004,0.7800000000000001,0.7400000000000007
1.0,0.92,0.82,0.7600000000000006,0.7600000000000002,0.7200000000000008
1.0,0.8399999999999999,0.76,0.6800000000000004,0.6200000000000003,0.5400000000000003
1.0,0.8799999999999999,0.8000000000000002,0.6200000000000004,0.4600000000000003,0.3800000000000002
1.0,0.9399999999999998,0.8,0.6800000000000007,0.4800000000000002,0.28000000000000047
1.0,0.9399999999999998,0.88,0.7000000000000007,0.6200000000000003,0.42000000000000076
1.0,0.82,0.7800000000000001,0.5600000000000002,0.44000000000000056,0.32000000000000045
1.0,0.8599999999999999,0.74,0.6200000000000003,0.5800000000000005,0.4200000000000009
1.0,0.7799999999999998,0.6,0.5000000000000006,0.4600000000000008,0.36000000000000076
1.0,0.9599999999999999,0.82,0.6800000000000007,0.6000000000000005,0.5400000000000008
1.0,0.8199999999999998,0.6599999999999998,0.5600000000000002,0.5000000000000006,0.38000000000000045
1.0,0.9,0.7,0.6200000000000006,0.5400000000000001,0.5400000000000003
1.0,0.8,0.6199999999999999,0.5000000000000003,0.4000000000000005,0.3800000000000007
1.0,0.82,0.72,0.5400000000000006,0.5600000000000005,0.540000000000001
1.0,0.8599999999999999,0.64,0.6400000000000006,0.5800000000000007,0.4600000000000013
1.0,0.9199999999999998,0.84,0.6800000000000004,0.6200000000000008,0.5400000000000017
1.0,0.94,0.8600000000000001,0.8000000000000004,0.7600000000000005,0.740000000000001
1.0,0.9599999999999999,0.86,0.8200000000000006,0.7600000000000002,0.7000000000000014
1.0,0.9599999999999999,0.9,0.8600000000000004,0.8000000000000003,0.6000000000000013
1.0,0.96,0.8800000000000003,0.7600000000000007,0.7000000000000002,0.6400000000000015
1.0,0.9399999999999998,0.86,0.8000000000000008,0.7400000000000007,0.6800000000000013
1.0,0.9399999999999998,0.82,0.7600000000000009,0.6400000000000002,0.6200000000000012
1.0,0.8799999999999999,0.68,0.5600000000000004,0.46000000000000035,0.4200000000000009
