t,DOUBLEADAPTIVE,DOUBLEFIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,1,1,1,1
0.05,0.9987549418342776,0.9987516011201604,0.998754419084629,0.9987544190845357
0.1,0.9950722406788833,0.9950563512943017,0.9950703231373209,0.9950703231356723
0.15,0.9891068042501472,0.9890595354433689,0.9891028148269438,0.9891028148244997
0.2,0.9811076539981696,0.9810098139263406,0.9811011170881087,0.9811011170849187
0.25,0.9714046395813115,0.9712308502389508,0.9713952595441269,0.9713952595402449
