step,Z_site1,Z_site4,Z_site8
0.0,1.0,-1.0,-1.0
1.0,0.9800665778412415,-0.9999999999999996,-0.9999999999999998
2.0,0.921847756268551,-1.0000000000000007,-1.0000000000000002
3.0,0.8299624039305531,-0.9999999999999999,-1.0000000000000002
4.0,0.7117003690535936,-0.9999999999999998,-1.0
5.0,0.5764441295109762,-1.0000000000000002,-1.0000000000000004
6.0,0.43492442129972547,-1.0000000000000004,-1.000000000000001
7.0,0.29836890114255044,-0.9999999999999998,-0.9999999999999999
8.0,0.17761138521457184,-1.0,-0.9999999999999999
9.0,0.0822323337404805,-0.9999999999999996,-0.9999999999999994
10.0,0.019798772274698506,-1.0000000000000002,-1.0000000000000002
