t,z_ref_qutip,DOUBLEADAPTIVE,DOUBLEFIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,1,1,1,1,1
0.01,0.9984006933840138,0.9984009865221857,0.9984007966141156,0.9984006931877373,0.9984006931875753
0.02,0.9936110832685626,0.7295149228032065,0.9936123743823393,0.9936110840089302,0.9936110840086049
0.03,0.985656050669703,0.6705504261714335,0.985659733603181,0.9856560538578285,0.9856560538573441
0.04,0.9745768881774651,0.709886759399555,0.9745837560226817,0.9745768975192111,0.9745768975185684
0.05,0.9604310522445151,0.72033613776216,0.9604413354566573,0.9604310632439321,0.9604310632431328
0.06,0.9432917617210584,0.6429290226621476,0.9433076116427362,0.9432917916090008,0.9432917916080469
0.07000000000000001,0.9232476084826188,0.6892856626252799,0.9232708693135341,0.9232476558844748,0.9232476558833662
0.08,0.9004019471464393,0.6714389443049787,0.9004353533837138,0.9004020073621026,0.9004020073608396
0.09,0.8748722534089773,0.4043435167682995,0.87491878358756,0.8748723298001768,0.8748723297987582
0.1,0.8467894101891876,0.4085775418897293,0.8468518196757141,0.8467895077992015,0.84678950779763
0.11,0.8162968923143772,0.205147042379243,0.8163777238373823,0.8162970145376975,0.8162970145359641
0.12,0.783549874568342,0.1958346450432036,0.783651662754187,0.7835500248615163,0.7835500248596036
0.13,0.7487142814879659,0.1566123688721166,0.748839370983811,0.7487144602288804,0.7487144602267113
0.14,0.7119657642183019,0.1866861743400284,0.7121161220859598,0.7119659724628027,0.7119659724601727
0.15,0.6734886272683283,0.08142647869090475,0.6736639774912376,0.6734888736497103,0.6734888736460939
0.16,0.6334746529988294,0.2047590376360366,0.63367439691737,0.6334750198452133,0.6334750198392576
0.17,0.5921220931336404,0.1537422367212941,0.592345429917173,0.5921226565033392,0.5921226564920083
0.18,0.5496344925969521,0.07462180004076591,0.5498803786717295,0.5496352337331365,0.5496352337108122
0.19,0.5062193490918449,0.1205496125330912,0.5064865438767653,0.5062201996078102,0.5062201995652371
0.2,0.4620867089456548,0.2034246350601979,0.4623738004519791,0.4620877798066387,0.4620877797267964
0.21,0.4174484735889194,0.06077490435516752,0.4177534903996922,0.4174497518506056,0.4174497517025131
0.22,0.3725168152201987,-0.1025340269858017,0.3728374383336978,0.3725182221218989,0.3725182218501705
0.23,0.327502857222641,-0.09666843928345203,0.3278370809492042,0.3275044137160927,0.3275044132238327
0.24,0.2826156291089837,-0.08283935067105214,0.2829620720832293,0.2826174729776574,0.2826174720996104
0.25,0.2380613618106396,-0.111926001782744,0.238418518500519,0.2380633023172289,0.2380633007784517
0.26,0.194041435593628,-0.02994900962504804,0.1944078751324046,0.1940434266039677,0.1940434239570066
0.27,0.1507518885566534,0.2517640842073086,0.1511260525895078,0.1507539000732129,0.1507538956044017
0.28,0.1083822344479328,0.188028631838206,0.1087624200005199,0.1083842602937641,0.108384252885801
0.29,0.06711443575946323,0.05874698626578601,0.06749885969493075,0.06711653530418582,0.06711652323783179
0.3,0.02712193645811511,-0.0348215840177955,0.02750890496386138,0.02712430955833006,0.02712429023045942
0.31,-0.01143059846684925,0.3933398128076012,-0.01104313212132596,-0.0114281461786141,-0.01142817665019508
0.32,-0.04838901447183003,0.4162611403305854,-0.04800301008714597,-0.0483866763659011,-0.04838672368938907
0.33,-0.08361025197428132,0.4227937415601907,-0.08322731602927463,-0.08360796958126265,-0.083608042038396
0.34,-0.1169625099699371,0.5259288385486383,-0.1165841212535123,-0.1169602112591435,-0.1169603207150873
0.35,-0.1483259339937152,0.158007230663924,-0.1479535486311228,-0.148323657329971,-0.1483238205825512
0.36,-0.1775934954558782,0.3477444442049501,-0.177228272854036,-0.1775911263948877,-0.1775913669585421
0.37,-0.2046708975888346,0.02948029058681401,-0.2043139783780393,-0.2046684086508243,-0.2046687590918143
0.38,-0.2294769052255624,0.1992183427412245,-0.2291297450803941,-0.2294745903596923,-0.229475095323922
0.39,-0.2519444933155744,0.04842871811603899,-0.2516082630567921,-0.251942293229481,-0.2519430133327282
0.4,-0.2720200717596449,0.09149430176098472,-0.2716958914097725,-0.2720178286400103,-0.2720188454230686
0.41,-0.2896634982080339,-0.1493765667373231,-0.2893526768098599,-0.2896612671993178,-0.2896626893870146
0.42,-0.3048485336861909,-0.0480748908725438,-0.3045523487031082,-0.3048464246540749,-0.3048483959983723
0.43,-0.3175628056806126,-0.02496499483171555,-0.3172822474740102,-0.3175607656971132,-0.3175634747299874
0.44,-0.327807220188187,0.09272537063882913,-0.3275431654840485,-0.3278052277134777,-0.3278089197847605
0.45,-0.3355958880107395,0.03666824666499069,-0.3353491025787482,-0.3355939669810344,-0.3355989590107414
0.46,-0.3409558630837751,0.1017933183718805,-0.3407269426046103,-0.340954030290363,-0.3409607287229935
0.47,-0.3439267070975952,0.1450836327778555,-0.3437160568259943,-0.343924955369192,-0.3439338778792815
0.48,-0.3445599369929111,0.1912076274066243,-0.3443678391578639,-0.344558303886855,-0.3445701054501606
0.49,-0.3429186415493657,0.1784192205307709,-0.3427451777387678,-0.3429171311728906,-0.342932635185022
0.5,-0.3390767815421409,-0.00128538347104068,-0.3389218673938864,-0.3390753971086612,-0.3390956323022905
0.51,-0.3331185755962355,0.1072255673376472,-0.332981967748609,-0.3331173229411694,-0.3331435669229932
0.52,-0.3251378084576063,0.07354489601283309,-0.3250191120096095,-0.3251366990222635,-0.325170529320565
0.53,-0.3152370919435296,0.1697092933382037,-0.3151357716665807,-0.3152361486937587,-0.3152795022755381
0.54,-0.3035271983471951,0.5609954025835975,-0.3034424825602527,-0.3035263537184847,-0.3035815960001489
0.55,-0.2901259315831418,0.3495102576363258,-0.2900570379059392,-0.2901252467988941,-0.2901952512348253
0.5600000000000001,-0.2751577483870183,0.2430987898511622,-0.2751036539600448,-0.2751571768278049,-0.275245416215225
0.57,-0.2587525167789984,0.341319030800072,-0.2587121140731369,-0.2587520525806834,-0.2588627032650499
0.58,-0.2410448209704473,0.1299276403899124,-0.241016896890983,-0.2410444705853465,-0.2411825307862481
0.59,-0.2221730918142342,0.1865658885903589,-0.2221562944464768,-0.2221728328937468,-0.2223442563950024
0.6,-0.2022786144585008,0.3832749246627216,-0.2022715258318331,-0.2022784604323412,-0.202490306889503
0.61,-0.1815047841315001,0.3757624126298484,-0.1815058520528363,-0.1815047075231949,-0.1817653106351589
0.62,-0.1599960685814625,0.3543259876682214,-0.1600036975460514,-0.1599960830488337,-0.1603152378155071
0.63,-0.1378973075494622,0.01364781062534071,-0.1379097836864469,-0.1378973835811711,-0.138286553824347
0.64,-0.1153527268080271,-0.08081598421818942,-0.115368279427879,-0.1153528436102503,-0.1158253908681783
0.65,-0.09250515233619162,0.2236643908090084,-0.09252197400352302,-0.09250530779404087,-0.09307674260981097
0.66,-0.06949528931178932,0.0530069537192871,-0.06951147636905669,-0.06949542990786822,-0.0701836864163452
0.67,-0.04646078662262555,-0.01941292512940174,-0.04647444579993865,-0.04646090290372962,-0.04728663747990791
0.68,-0.02353568111261975,0.0658700494686546,-0.02354485775755083,-0.02353572419780081,-0.0245226387602438
0.6899999999999999,-0.0008495737381631721,-0.02541457700729,-0.000852308819533687,-0.0008494999915957813,-0.002024690357352477
0.7,0.02147296053823379,0.05059155534657572,0.02147863586979182,0.02147320789899948,0.02007887843742329
