t,norm_ref,norm_tdvp,err_state,max_abs_err_z,max_bond_dim,z_ref_1,z_ref_2,z_ref_3,z_ref_4,z_ref_5,z_ref_6,z_ref_7,z_ref_8,z_ref_9,z_ref_10,z_tdvp_1,z_tdvp_2,z_tdvp_3,z_tdvp_4,z_tdvp_5,z_tdvp_6,z_tdvp_7,z_tdvp_8,z_tdvp_9,z_tdvp_10,znorm_ref_1,znorm_ref_2,znorm_ref_3,znorm_ref_4,znorm_ref_5,znorm_ref_6,znorm_ref_7,znorm_ref_8,znorm_ref_9,znorm_ref_10,znorm_tdvp_1,znorm_tdvp_2,znorm_tdvp_3,znorm_tdvp_4,znorm_tdvp_5,znorm_tdvp_6,znorm_tdvp_7,znorm_tdvp_8,znorm_tdvp_9,znorm_tdvp_10
0.0000000000,1.0000000000000000e+00,9.9999999999999922e-01,7.7715611723760958e-16,2.2371143170757382e-17,1,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,-2.2371143170757382e-17,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,0.0000000000000000e+00,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17,-2.2371143170757385e-17
0.0500000000,9.5146893474019312e-01,9.5146875418925980e-01,1.1816870007382808e-03,1.0373223938601323e-05,4,9.1295676506937262e-03,9.1713941604493823e-03,9.1921003946712557e-03,9.2019900044111921e-03,9.2059545498779059e-03,9.2059545498778851e-03,9.2019900044111487e-03,9.1921003946713910e-03,9.1713941604494049e-03,9.1295676506938945e-03,9.1272923971566326e-03,9.1650320411084119e-03,9.1854114113216756e-03,9.1934451347337465e-03,9.1960268746124618e-03,9.1955813259392838e-03,9.1920446833075320e-03,9.1831758975037259e-03,9.1638017064283317e-03,9.1218365318425833e-03,1.0084653589073083e-02,1.0130855761822603e-02,1.0153728170161231e-02,1.0164652377327908e-02,1.0169031672076539e-02,1.0169031672076514e-02,1.0164652377327861e-02,1.0153728170161381e-02,1.0130855761822627e-02,1.0084653589073268e-02,1.0082144137208602e-02,1.0123831914202280e-02,1.0146343272332941e-02,1.0155217443760188e-02,1.0158069272369305e-02,1.0157577112619441e-02,1.0153670484100973e-02,1.0143873890225679e-02,1.0122472868053452e-02,1.0076117506517272e-02
0.1000000000,9.0576808663213515e-01,9.0576731569526081e-01,1.1257968075683018e-03,1.9298618719278127e-05,6,1.6963885424585046e-02,1.7261533502530638e-02,1.7409703208455092e-02,1.7481084153482845e-02,1.7509880920088036e-02,1.7509880920087907e-02,1.7481084153482720e-02,1.7409703208455266e-02,1.7261533502530537e-02,1.6963885424585209e-02,1.6960359816497995e-02,1.7251527816195877e-02,1.7399440294236845e-02,1.7466649879899099e-02,1.7492085775965727e-02,1.7490582301368629e-02,1.7461911936840380e-02,1.7391521253075137e-02,1.7244226072394175e-02,1.6946447811021000e-02,2.0677179634080764e-02,2.1039981116251848e-02,2.1220584294653934e-02,2.1307590106462250e-02,2.1342690314997807e-02,2.1342690314997650e-02,2.1307590106462097e-02,2.1220584294654146e-02,2.1039981116251726e-02,2.0677179634080965e-02,2.0672917482374945e-02,2.1027821039633632e-02,2.1208110991393980e-02,2.1290032497391087e-02,2.1321036213477595e-02,2.1319203634061888e-02,2.1284257436782184e-02,2.1198458502517163e-02,2.1018920972139594e-02,2.0655960192296669e-02
0.1500000000,8.6276823467663599e-01,8.6276651134488680e-01,1.0738452875185879e-03,2.7391594348970955e-05,6,2.4031196205158811e-02,2.4913782831142407e-02,2.5357049149783477e-02,2.5573458524881802e-02,2.5661617492793071e-02,2.5661617492793012e-02,2.5573458524881656e-02,2.5357049149783761e-02,2.4913782831142386e-02,2.4031196205158908e-02,2.4026127571585124e-02,2.4900280742565006e-02,2.5343188135915073e-02,2.5553626514537298e-02,2.5636801192562342e-02,2.5634383250079329e-02,2.5546066930532685e-02,2.5330609373510449e-02,2.4887834905985506e-02,2.4005389872252390e-02,3.2283981924303914e-02,3.3469666167261825e-02,3.4065158863359452e-02,3.4355887476878261e-02,3.4474321969369386e-02,3.4474321969369309e-02,3.4355887476878059e-02,3.4065158863359833e-02,3.3469666167261797e-02,3.2283981924304046e-02,3.2277301566323052e-02,3.3451660831286104e-02,3.4046673717092198e-02,3.4329381905820480e-02,3.4441120851570160e-02,3.4437872527075850e-02,3.4319226171322451e-02,3.4029775092615337e-02,3.3434940782692137e-02,3.2249442021618641e-02
0.2000000000,8.2237418228952719e-01,8.2237116417534295e-01,1.0255653171817542e-03,3.4561413229119986e-05,8,3.0705994911248369e-02,3.2518567385302372e-02,3.3439621609464142e-02,3.3896886093639111e-02,3.4085446880485842e-02,3.4085446880485856e-02,3.3896886093638959e-02,3.3439621609464426e-02,3.2518567385302490e-02,3.0705994911248598e-02,3.0699084874133673e-02,3.2501757563240696e-02,3.3422282770265821e-02,3.3872293731486924e-02,3.4054580255307332e-02,3.4051358927924713e-02,3.3862324680409839e-02,3.3405877164985665e-02,3.2484889807089745e-02,3.0672899493638033e-02,4.5402967453383423e-02,4.8083101065215204e-02,4.9445004337956878e-02,5.0121131737593062e-02,5.0399944369879740e-02,5.0399944369879761e-02,5.0121131737592833e-02,4.9445004337957295e-02,4.8083101065215385e-02,4.5402967453383757e-02,4.5393083213426305e-02,4.8058598218798772e-02,4.9419729258823854e-02,5.0085136227579305e-02,5.0354673491585435e-02,5.0349910288299854e-02,5.0070395528729279e-02,4.9395471173975330e-02,4.8033656776351116e-02,4.5354364301749064e-02
0.2500000000,7.8451351628800625e-01,7.8450889303483307e-01,9.8070597817660993e-04,4.0415963312667724e-05,8,3.7239197133607571e-02,4.0257081217166396e-02,4.1812190924455886e-02,4.2598890832241144e-02,4.2927766283632013e-02,4.2927766283632041e-02,4.2598890832241040e-02,4.1812190924456011e-02,4.0257081217166368e-02,3.7239197133607724e-02,3.7230253114875475e-02,4.0237360133787425e-02,4.1791881319046487e-02,4.2570586198766747e-02,4.2892237023026136e-02,4.2888315778923658e-02,4.2558573387370902e-02,4.1772343500872500e-02,4.0216665253853701e-02,3.7199775421434197e-02,6.0506140060647973e-02,6.5409589412455227e-02,6.7936327178077294e-02,6.9214554918470644e-02,6.9748910803023437e-02,6.9748910803023478e-02,6.9214554918470464e-02,6.7936327178077488e-02,6.5409589412455185e-02,6.0506140060648222e-02,6.0492320822947906e-02,6.5378317218827323e-02,6.7904128525417329e-02,6.9169380879869138e-02,6.9692004370878677e-02,6.9685633069680689e-02,6.9149862268520976e-02,6.7872383160659425e-02,6.5344691841302205e-02,6.0442800170915148e-02
0.3000000000,7.4912517975345894e-01,7.4911869898889005e-01,9.3905714036839028e-04,4.5922505841289318e-05,8,4.3777608665969026e-02,4.8138030948121732e-02,5.0420548913438140e-02,5.1598266821208480e-02,5.2097738563153938e-02,5.2097738563153959e-02,5.1598266821208369e-02,5.0420548913438355e-02,4.8138030948121857e-02,4.3777608665969081e-02,4.3766618451916109e-02,4.8116099435991100e-02,5.0398277468656050e-02,5.1567817297667351e-02,5.2059469558910887e-02,5.2054959994973338e-02,5.1554120623991617e-02,5.0376207071822998e-02,4.8092108442280568e-02,4.3732813476063892e-02,7.8008736708419554e-02,8.5778714194887348e-02,8.9846006776974394e-02,9.1944620405805727e-02,9.2834645256363799e-02,9.2834645256363826e-02,9.1944620405805519e-02,8.9846006776974768e-02,8.5778714194887570e-02,7.8008736708419665e-02,7.7990502293600911e-02,8.5741117229437308e-02,8.9807874438164945e-02,9.1891951342967945e-02,9.2768057566488385e-02,9.2760021689624814e-02,9.1867544374883453e-02,8.9768545803792149e-02,8.5698366162158424e-02,7.7930263071563824e-02
0.3500000000,7.1614793520739528e-01,7.1613943510090616e-01,9.0052596755404719e-04,4.9899326799732191e-05,8,5.0376383148831472e-02,5.6031415959054628e-02,5.9042779454308872e-02,6.0628143104641180e-02,6.1310417829426575e-02,6.1310417829426617e-02,6.0628143104640923e-02,5.9042779454308983e-02,5.6031415959054739e-02,5.0376383148831687e-02,5.0363556922851167e-02,5.6008289974046832e-02,5.9020015795864827e-02,6.0597555514574464e-02,6.1271776731139510e-02,6.1266806602431167e-02,6.0582550855518058e-02,5.8995948711816293e-02,5.5981516632255007e-02,5.0327224228301638e-02,9.8224877354775572e-02,1.0925117320019864e-01,1.1512278984878008e-01,1.1821396353738227e-01,1.1954427641368218e-01,1.1954427641368226e-01,1.1821396353738177e-01,1.1512278984878030e-01,1.0925117320019886e-01,9.8224877354775988e-02,9.8202199673552551e-02,1.0920867411789242e-01,1.1508113664013284e-01,1.1815712808940622e-01,1.1947176928193932e-01,1.1946207819573254e-01,1.1812787101117904e-01,1.1503420904530638e-01,1.0915646968243929e-01,9.8131355778823329e-02
0.4000000000,6.8550928144655454e-01,6.8549872041286197e-01,8.6548532819809157e-04,5.2428249611741196e-05,8,5.7008256452351025e-02,6.3703435508941447e-02,6.7335816703305018e-02,6.9288162917759979e-02,7.0140966095321264e-02,7.0140966095321222e-02,6.9288162917759910e-02,6.7335816703305157e-02,6.3703435508941531e-02,5.7008256452351427e-02,5.6994034052228269e-02,6.3680370794938129e-02,6.7314306121839057e-02,6.9259635113110452e-02,7.0104488234081663e-02,7.0099201784936754e-02,6.9243718402649701e-02,6.7288733274117274e-02,6.3651339860369416e-02,5.6955828202739686e-02,1.2131404398453391e-01,1.3556144071441661e-01,1.4329117811394454e-01,1.4744578709994974e-01,1.4926055935630339e-01,1.4926055935630331e-01,1.4744578709994960e-01,1.4329117811394482e-01,1.3556144071441681e-01,1.2131404398453477e-01,1.2128751570839851e-01,1.3551653434515454e-01,1.4324981722948071e-01,1.4738962106176637e-01,1.4918753092873915e-01,1.4917628097434715e-01,1.4735574912583241e-01,1.4319539631997075e-01,1.3545475437131893e-01,1.2120621083768603e-01
0.4500000000,6.5711590836874856e-01,6.5710338202279195e-01,8.3576155159886757e-04,5.4530849776482371e-05,8,6.3573062130403535e-02,7.0855281938407150e-02,7.4890561978331355e-02,7.7109472334404114e-02,7.8093981965254369e-02,7.8093981965254508e-02,7.7109472334404072e-02,7.4890561978331424e-02,7.0855281938407344e-02,6.3573062130403840e-02,6.3558083491532941e-02,7.0833633034095705e-02,7.4872042613687073e-02,7.7085041527053394e-02,7.8061982616322412e-02,7.8056534391432147e-02,7.7068617879201329e-02,7.4845418772057748e-02,7.0802890356221337e-02,6.3518531280627358e-02,1.4722757810809911e-01,1.6409232474219984e-01,1.7343754876251435e-01,1.7857627870277529e-01,1.8085628478895155e-01,1.8085628478895185e-01,1.7857627870277518e-01,1.7343754876251452e-01,1.6409232474220029e-01,1.4722757810809983e-01,1.4719850130159851e-01,1.6404844280358605e-01,1.7340127103726083e-01,1.7852650618493460e-01,1.8078907069759029e-01,1.8077645278190521e-01,1.7848846953850153e-01,1.7333961106623211e-01,1.6397724373872269e-01,1.4710689963822798e-01
