step,Z_site1,Z_site4,Z_site5,Z_site6
0,1.0,-1.0,1.0,-1.0
1,0.8467955130066289,-0.8467955130066296,0.8467955130066334,-0.8467955130066332
2,0.4770832465186264,-0.4777121725518827,0.4770832464140493,-0.4777121725260783
3,0.0909241110918461,-0.09254463742768143,0.09092410968356246,-0.09254463718689065
4,-0.14424259597582187,0.1432484935549439,-0.14424260263134603,0.14324849450022786
5,-0.18674205801632948,0.18771711715863926,-0.18674207518096553,0.18771711950241632
6,-0.10711870239901092,0.10831764332048449,-0.10711873100386171,0.10831764788186343
7,-0.00831741872770592,0.007290660165574447,-0.008317451853150026,0.007290668103714704
8,0.04334135087797099,-0.04608789656144602,0.043341323545397714,-0.046087884125213974
