step,Z_site1,Z_site2,Z_site3,Z_site4,Z_site5,Z_site6,Z_site10
0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
1.0,0.8467955130066331,-0.8467955130066332,0.8467955130066334,-0.8467955130066332,0.8467955130066334,-0.8467955130066332,-0.8467955130066331
2.0,0.47708324643866507,-0.47771217255387866,0.4770832464386646,-0.4777121725538784,0.4770832464386646,-0.4777121725538784,-0.47771217255387866
3.0,0.09092410990811886,-0.09254463746558415,0.09092410990811867,-0.09254463746558404,0.0909241099081185,-0.09254463746558403,-0.09254463746558422
4.0,-0.14424260178063414,0.1432484933938924,-0.14424260178063414,0.14324849339389234,-0.14424260178063425,0.14324849339389242,0.14324849339389223
5.0,-0.18674207301922463,0.18771711675494718,-0.18674207301922469,0.18771711675494707,-0.18674207301922463,0.18771711675494698,0.18771711675494712
6.0,-0.10711872645201868,0.10831764264476314,-0.10711872645201848,0.10831764264476294,-0.1071187264520184,0.10831764264476287,0.10831764264476312
7.0,-0.008317443323710011,0.007290659407133075,-0.008317443323709858,0.007290659407132902,-0.008317443323709983,0.007290659407132825,0.007290659407133027
8.0,0.04334133732961479,-0.046087897168802835,0.043341337329614926,-0.04608789716880293,0.04334133732961479,-0.046087897168802995,-0.046087897168803016
9.0,0.03679043830352646,-0.03902889738907324,0.03679043830352671,-0.039028897389073364,0.036790438303526546,-0.03902889738907324,-0.039028897389073336
10.0,-0.0028567225545526043,0.0018347589709380163,-0.0028567225545523267,0.0018347589709379053,-0.00285672255455241,0.0018347589709380996,0.0018347589709378775
11.0,-0.04198026701035934,0.041300600837909845,-0.04198026701035909,0.04130060083790968,-0.04198026701035912,0.041300600837909957,0.04130060083790971
12.0,-0.058408237268111285,0.05728693165898263,-0.05840823726811106,0.05728693165898252,-0.05840823726811098,0.05728693165898277,0.05728693165898269
13.0,-0.05052978851442949,0.04893701857561662,-0.050529788514429186,0.04893701857561665,-0.05052978851442916,0.04893701857561686,0.04893701857561683
14.0,-0.035852099870790494,0.03475777856415248,-0.03585209987079037,0.03475777856415256,-0.03585209987079016,0.03475777856415263,0.03475777856415285
