step,Z_site1,Z_site4,Z_site8,Z_site15,Z_site16
0,1.0,-1.0,-1.0,1.0,-1.0
1,0.9604311616718556,-0.960431161671705,-0.9604311616693824,0.9604311495329702,-0.9604311619620021
2,0.8479248941438352,-0.8479248984743143,-0.8479254466393854,0.8479246536283367,-0.8479249112567767
3,0.6797563548635809,-0.6797563688590117,-0.6797571569951246,0.6797560788473075,-0.6797563924896322
4,0.4806617039292127,-0.4806617308365172,-0.4806626562920144,0.48066142506402265,-0.4806617863802883
5,0.2778980893670184,-0.277898128737203,-0.2778990957818357,0.27789791407284603,-0.2778982436066689
6,0.09621654120204157,-0.0962165914207267,-0.0962174625344879,0.09621642532301361,-0.09621680033483707
7,-0.04611748773568327,0.04611742556165355,0.0461167848129546,-0.04611766582506449,0.046117107740654965
8,-0.13952206552098173,0.13952195706039072,0.13952176544892528,-0.13952390551321364,0.1395215971823758
9,-0.1833110281026609,0.18331081153132206,0.18331146287734595,-0.18332056666494623,0.18330961301519888
10,-0.18420471377627595,0.18420429351107676,0.1842051866118389,-0.18418972150451057,0.18420553438505002
11,-0.15375228337429545,0.15374885571446661,0.15375260877002284,-0.15373051507340196,0.15375925870249618
12,-0.10540746176190458,0.10538413626665522,0.10539625191985813,-0.105219014783005,0.10545968628761751
13,-0.051869374375507996,0.05182225483950936,0.0518527705910017,-0.051481228261362755,0.0519402789128101
14,-0.0032195577579593,0.003168217027563147,0.0031074364422599217,-0.0033293590401498596,0.003377533588063672
15,0.03412888606778778,-0.033936982110346015,-0.03415429027649438,0.03441663628745861,-0.033870939276028036
16,0.057167748334008575,-0.0567952449771148,-0.05719838970957294,0.05714362885509772,-0.05620185877196636
17,0.06621057576593373,-0.0655564312785124,-0.06568111928953753,0.06645124087733112,-0.06545897750243988
18,0.06384160085568698,-0.06228703557009485,-0.0625650710918898,0.06460461060286016,-0.06329012770191432
19,0.05197461882763901,-0.05086218479922816,-0.05125373648531209,0.0512360611378504,-0.05029268340310622
20,0.035090717972617765,-0.0349172752282042,-0.035172480559208616,0.034286847349904725,-0.03387046432899493
21,0.016463454419314093,-0.01788396157616401,-0.01749924530056786,0.015555505922194013,-0.0160125111000645
22,-0.0010529785073073554,-0.0023290613291812035,0.00022689885846944232,-0.0011097824101874432,0.00015481817030203797
23,-0.015833358454628663,0.009886488702434248,0.014440781724848523,-0.014557724186880838,0.013351902912099176
24,-0.026059804380674213,0.01867229386449376,0.023085524319401193,-0.022521887596154366,0.022380970644865255
25,-0.031161496858580443,0.02230381880297444,0.027289307507105395,-0.02444614343496454,0.026001524587441014
26,-0.03198453610958717,0.02171893741766895,0.025850517743259988,-0.022706954137993174,0.02581808423288406
27,-0.028924709484477187,0.018202129741474615,0.02128190882975726,-0.015298967479684789,0.02308761909387995
28,-0.022292506471906382,0.012039014667821202,0.01374638495721392,-0.008919525222004787,0.018704844906652838
29,-0.013354392881596311,0.005102482577508116,0.004079004447196859,-0.0002923059362671121,0.009893280762666917
30,-0.0041357040379352865,-0.0015466299439248488,-0.005610087185602398,0.007081051720381704,0.0007634096602878053
