step,Z_site1,Z_site4,Z_site5,Z_site6
0,1.0,-1.0,1.0,-1.0
1,0.921847756268552,-0.846795513006628,0.8467955130066336,-0.846795513006633
2,0.6594047241880951,-0.47771895934129377,0.47708320032055146,-0.4777121843076744
3,0.2934347260400379,-0.0924063852251823,0.09093186655116436,-0.09254768942581415
4,0.001916085966820341,0.14475649508162974,-0.1440886096196382,0.14319993390759683
5,-0.12568441420818607,0.1938793401769805,-0.18567979855552907,0.1874081473649175
6,-0.11125315190642292,0.12358578835747264,-0.10277912396348221,0.10702533173943807
7,-0.03530945918617455,0.03357577024448344,0.004245474154987439,0.003188177438701867
8,0.029393151503150246,-0.013360300455539376,0.07075706671318038,-0.05581491269335048
