gamma,method,t,meanZ1,meanZ2,varZ1,varZ2,theory_mean,theory_var
0.1,standard,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.1,standard,0.1,0.6,0.6,0.6400000000000002,0.6400000000000002,0.9607894391523232,0.07688365361336424
0.1,standard,0.2,0.6,0.6,0.6400000000000002,0.6400000000000002,0.9231163463866358,0.14785621103378865
0.1,standard,0.3,0.4,0.4,0.8399999999999999,0.8399999999999999,0.8869204367171575,0.21337213893344653
0.1,standard,0.4,0.2,0.4,0.9600000000000002,0.8399999999999999,0.8521437889662113,0.27385096292630917
0.1,standard,0.5,-0.2,0.2,0.96,0.9600000000000002,0.8187307530779818,0.3296799539643607
0.1,standard,0.6,0.0,0.2,1.0,0.9600000000000002,0.7866278610665535,0.38121660819385916
0.1,standard,0.7,0.2,0.2,0.9600000000000002,0.9600000000000002,0.7557837414557255,0.42879093615118513
0.1,standard,0.8,0.2,0.0,0.9600000000000002,1.0,0.7261490370736908,0.47270757595695156
0.1,standard,0.9,0.2,0.0,0.9600000000000002,1.0,0.697676326071031,0.5132477440400284
0.1,standard,1.0,0.0,0.0,1.0,1.0,0.6703200460356393,0.5506710358827784
0.1,standard,1.1,0.0,0.2,1.0,0.9600000000000002,0.6440364210831413,0.5852170883184187
0.1,standard,1.2,0.0,0.0,1.0,1.0,0.6187833918061408,0.6171071140248879
0.1,standard,1.3,0.0,0.0,1.0,1.0,0.5945205479701944,0.6465453180412198
0.1,standard,1.4,0.0,-0.2,1.0,0.96,0.5712090638488149,0.6737202053769604
0.1,standard,1.5,0.2,0.2,0.96,0.9600000000000002,0.5488116360940264,0.698805788087798
0.1,standard,1.6,-0.2,-0.2,0.9600000000000002,0.96,0.5272924240430484,0.7219626995468059
0.1,standard,1.7,-0.2,-0.2,0.9600000000000002,0.96,0.5066169923655895,0.7433392230464442
0.1,standard,1.8,-0.2,0.2,0.9600000000000002,0.9600000000000002,0.4867522559599716,0.7630722413178783
0.1,standard,1.9,-0.4,0.2,0.8399999999999999,0.96,0.46766642700990924,0.7812881130477852
0.1,standard,2.0,-0.4,-0.2,0.8399999999999999,0.9600000000000002,0.44932896411722156,0.7981034820053446
0.1,standard,2.1,0.0,0.0,1.0,1.0,0.4317105234290797,0.81362602396059
0.1,standard,2.2,-0.4,0.4,0.8399999999999999,0.8399999999999999,0.4147829116815813,0.8279551361769495
0.1,standard,2.3,-0.4,0.2,0.8399999999999999,0.9600000000000002,0.3985190410845142,0.8411825738930793
0.1,standard,2.4,0.0,-0.2,1.0,0.9600000000000002,0.38289288597511206,0.8533930378696498
0.1,standard,2.5,0.0,0.0,1.0,1.0,0.36787944117144233,0.8646647167633873
0.1,standard,2.6,0.0,0.0,1.0,1.0,0.35345468195878016,0.8750697878014175
0.1,standard,2.7,-0.6,0.4,0.6400000000000002,0.8399999999999999,0.3395955256449391,0.8846748789619375
0.1,standard,2.8,0.0,0.2,1.0,0.96,0.3262797946230395,0.8935414956207471
0.1,standard,2.9,-0.2,-0.2,0.9600000000000002,0.9600000000000002,0.3134861808826053,0.9017264143956385
0.1,standard,3.0,-0.4,-0.2,0.8399999999999999,0.96,0.301194211912202,0.9092820467105875
0.1,standard,3.1,-0.6,-0.2,0.6400000000000002,0.96,0.28938421793905056,0.9162567744078041
0.1,standard,3.2,-0.8,0.0,0.3600000000000001,1.0,0.2780373004531941,0.9226952595567003
0.1,standard,3.3,-0.4,0.2,0.8399999999999999,0.9600000000000002,0.26713530196585034,0.9286387304436139
0.1,standard,3.4,-0.2,0.2,0.9600000000000002,0.9600000000000002,0.2566607769535559,0.9341252455735971
0.1,standard,3.5,-0.2,0.2,0.9600000000000002,0.9600000000000002,0.24659696394160643,0.9391899373747821
0.1,standard,3.6,0.0,0.0,1.0,1.0,0.2369277586821217,0.9438652371658663
0.1,standard,3.7,-0.2,-0.2,0.9600000000000002,0.96,0.22763768838381268,0.9481810828272742
0.1,standard,3.8,-0.2,0.2,0.96,0.9600000000000002,0.21871188695221475,0.9521651105058017
0.1,standard,3.9,0.2,0.4,0.9600000000000002,0.8399999999999999,0.21013607120076472,0.9558428315803071
0.1,standard,4.0,-0.2,0.2,0.96,0.9600000000000002,0.20189651799465538,0.9592377960216338
0.1,standard,4.1,-0.4,-0.2,0.8400000000000001,0.96,0.1939800422908919,0.9623717431928238
0.1,standard,4.2,-0.4,-0.4,0.8400000000000001,0.8400000000000001,0.18637397603940994,0.9652647410552615
