gamma,method,t,meanZ1,meanZ2,varZ1,varZ2,theory_mean,theory_var
0.1,standard,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.1,standard,1.0,0.681,0.642,0.536239000000001,0.5878359999999994,0.6703200460356393,0.5506710358827784
0.1,standard,2.0,0.436,0.409,0.809903999999998,0.8327190000000011,0.44932896411722156,0.7981034820053446
0.1,standard,3.0,0.323,0.264,0.8956710000000008,0.9303040000000008,0.301194211912202,0.9092820467105875
0.1,standard,4.0,0.21,0.178,0.9558999999999999,0.9683159999999996,0.20189651799465538,0.9592377960216338
0.1,standard,5.0,0.146,0.122,0.9786839999999992,0.985115999999998,0.1353352832366127,0.9816843611112658
0.1,standard,6.0,0.125,0.086,0.984375,0.9926039999999999,0.09071795328941247,0.99177025295098
0.1,standard,7.0,0.09,0.031,0.9919000000000021,0.9990390000000018,0.06081006262521795,0.996302136283517
0.1,standard,8.0,0.077,0.003,0.9940710000000004,0.9999910000000022,0.04076220397836621,0.998338442726826
0.1,standard,9.0,0.048,0.022,0.9976960000000007,0.9995160000000003,0.02732372244729256,0.9992534141916233
0.1,standard,10.0,0.019,0.005,0.9996389999999995,0.9999750000000006,0.01831563888873418,0.9996645373720975
0.1,standard,11.0,0.004,0.046,0.999984000000001,0.9978840000000005,0.012277339903068436,0.9998492669249045
0.1,standard,12.0,-0.02,0.038,0.999600000000003,0.9985559999999993,0.008229747049020023,0.9999322712635091
0.1,standard,13.0,0.024,0.009,0.9994239999999978,0.9999189999999979,0.0055165644207607716,0.9999695675169916
0.1,standard,14.0,0.033,-0.006,0.9989110000000001,0.9999639999999973,0.003697863716482929,0.9999863258039343
0.1,standard,15.0,0.029,-0.032,0.9991590000000012,0.9989759999999972,0.0024787521766663585,0.9999938557876467
0.1,standard,16.0,0.02,-0.031,0.999600000000003,0.9990390000000016,0.001661557273173934,0.999997239227428
0.1,standard,17.0,0.035,0.005,0.9987749999999987,0.9999750000000006,0.0011137751478448024,0.99999875950492
0.1,standard,18.0,0.027,0.014,0.9992709999999998,0.9998039999999978,0.0007465858083766792,0.9999994426096307
0.1,standard,19.0,0.025,0.007,0.9993749999999993,0.9999509999999987,0.0005004514334406104,0.9999997495483628
0.1,standard,20.0,0.012,-0.003,0.9998560000000025,0.9999910000000021,0.00033546262790251185,0.9999998874648253
0.1,standard,21.0,-0.004,-0.007,0.9999840000000009,0.9999509999999988,0.0002248673241788482,0.9999999494346865
0.1,standard,22.0,-0.01,0.003,0.9998999999999978,0.9999910000000023,0.0001507330750954765,0.99999997727954
0.1,standard,23.0,0.029,0.006,0.9991590000000012,0.9999639999999973,0.00010103940183709324,0.9999999897910393
0.1,standard,24.0,0.016,-0.005,0.9997439999999993,0.9999750000000006,6.772873649085378e-5,0.9999999954128183
0.1,standard,25.0,0.013,-0.029,0.9998310000000004,0.9991590000000012,4.5399929762484854e-5,0.9999999979388464
0.1,standard,26.0,0.018,-0.024,0.9996759999999997,0.9994239999999976,3.0432483008403625e-5,0.9999999990738639
0.1,standard,27.0,0.018,-0.023,0.9996759999999997,0.9994709999999999,2.0399503411171922e-5,0.9999999995838602
0.1,standard,28.0,0.015,-0.024,0.9997750000000003,0.9994239999999978,1.3674196065680938e-5,0.9999999998130163
0.1,standard,29.0,-0.004,-0.036,0.999984000000001,0.9987039999999984,9.166087736247602e-6,0.9999999999159829
0.1,standard,30.0,0.008,-0.015,0.9999360000000004,0.9997750000000003,6.14421235332821e-6,0.9999999999622486
0.1,standard,31.0,-0.014,-0.004,0.9998039999999977,0.999984000000001,4.118588707535708e-6,0.9999999999830372
0.1,standard,32.0,-0.01,0.001,0.999899999999998,0.9999989999999989,2.7607725720371986e-6,0.9999999999923781
0.1,standard,33.0,-0.018,-0.006,0.9996759999999997,0.9999639999999973,1.8506011975819048e-6,0.9999999999965753
0.1,standard,34.0,0.016,0.023,0.9997439999999993,0.9994709999999999,1.2404950799567113e-6,0.9999999999984611
0.1,standard,35.0,0.013,-0.011,0.9998310000000004,0.999879,8.315287191035679e-7,0.9999999999993086
0.1,standard,36.0,0.01,-0.008,0.9998999999999979,0.9999360000000006,5.573903692694596e-7,0.9999999999996894
0.1,standard,37.0,0.007,-0.028,0.9999509999999988,0.9992159999999979,3.73629937988526e-7,0.9999999999998604
0.1,standard,38.0,0.011,-0.016,0.999879,0.9997439999999992,2.504516372327617e-7,0.9999999999999373
0.1,standard,39.0,0.022,-0.016,0.9995160000000003,0.9997439999999992,1.6788275299956603e-7,0.9999999999999718
0.1,standard,40.0,-0.003,-0.019,0.9999910000000021,0.9996389999999995,1.1253517471925912e-7,0.9999999999999873
0.1,standard,41.0,0.001,0.001,0.9999989999999987,0.9999989999999989,7.543458349844232e-8,0.9999999999999943
0.1,standard,42.0,-0.011,-0.002,0.999879,0.9999959999999986,5.05653134833552e-8,0.9999999999999974
0.1,standard,43.0,-0.015,-0.008,0.9997750000000003,0.9999360000000005,3.389494326196924e-8,0.9999999999999989
0.1,standard,44.0,-0.021,0.001,0.9995589999999976,0.9999989999999989,2.2720459927738556e-8,0.9999999999999994
0.1,standard,45.0,-0.007,-0.028,0.9999509999999987,0.999215999999998,1.522997974471263e-8,0.9999999999999998
0.1,standard,46.0,-0.016,-0.033,0.9997439999999992,0.9989110000000003,1.0208960723597601e-8,0.9999999999999999
0.1,standard,47.0,0.0,-0.036,1.0,0.9987039999999985,6.843271022217988e-9,1.0
0.1,standard,48.0,-0.016,-0.004,0.9997439999999993,0.9999840000000009,4.587181746647508e-9,1.0
0.1,standard,49.0,-0.018,0.006,0.9996759999999996,0.9999639999999974,3.074879879586606e-9,1.0
0.1,standard,50.0,-0.015,0.007,0.9997750000000002,0.9999509999999987,2.061153622438558e-9,1.0
0.1,standard,51.0,-0.028,0.023,0.9992159999999979,0.9994709999999998,1.381632591079536e-9,1.0
0.1,standard,52.0,0.002,0.031,0.9999959999999986,0.9990390000000018,9.261360220567754e-10,1.0
0.1,standard,53.0,-0.01,0.024,0.999899999999998,0.9994239999999976,6.208075409403602e-10,1.0
0.1,standard,54.0,-0.011,-0.017,0.999879,0.9997110000000013,4.161397394224149e-10,1.0
0.1,standard,55.0,0.016,0.001,0.9997439999999993,0.9999989999999991,2.7894680928689246e-10,1.0
0.1,standard,56.0,0.025,-0.032,0.9993749999999992,0.9989759999999974,1.8698363804268407e-10,1.0
