step,Z_site1,Z_site4,Z_site8
0.0,1.0,-1.0,-1.0
1.0,0.9604311616717025,-0.960431161671703,-0.9604311616717035
2.0,0.8479248868091839,-0.84792488680919,-0.8479248868091873
3.0,0.6797557473146992,-0.67975574731445,-0.6797557473147101
4.0,0.4806544084839522,-0.4806544084820852,-0.4806544084839714
5.0,0.27785283902125824,-0.27785283901457714,-0.277852839021279
6.0,0.09602514764016686,-0.09602514762311587,-0.09602514764021433
7.0,-0.04674229141595882,0.046742291451306484,0.04674229141587312
8.0,-0.14120543126037996,0.14120543132367513,0.14120543126025925
9.0,-0.187207099997239,0.18720710009856467,0.1872070999971125
10.0,-0.19215029628642358,0.1921502964341288,0.19215029628629787
11.0,-0.16827303913689298,0.16827303933493232,0.16827303913677397
12.0,-0.1294564847983494,0.12945648504387658,0.12945648479823382
13.0,-0.08828884544171473,0.08828884572407647,0.08828884544161371
14.0,-0.053956766930144895,0.05395676723218473,0.05395676693006212
15.0,-0.03128311506507347,0.031283115366634306,0.03128311506499301
16.0,-0.02093310540239797,0.020933105684735276,0.020933105402320677
17.0,-0.020540795574089776,0.020540795823285884,0.02054079557400823
18.0,-0.026330804557899573,0.026330804765844595,0.026330804557820178
19.0,-0.034760607009185415,0.03476060717211171,0.03476060700909873
20.0,-0.04377885235138362,0.04377885246757751,0.043778852351300995
21.0,-0.05344375205995472,0.053443752128689626,0.053443752059880584
22.0,-0.06582206734574296,0.06582206736865481,0.06582206734567785
23.0,-0.08425397931410958,0.08425397929826722,0.08425397931402442
24.0,-0.11219944354604128,0.11219944350663308,0.11219944354593611
25.0,-0.15196547347089415,0.15196547343114225,0.15196547347077563
26.0,-0.20364181144679375,0.20364181143425963,0.203641811446697
27.0,-0.2645366021249894,0.2645366021654892,0.2645366021249275
28.0,-0.32930232537058013,0.32930232548221927,0.32930232537053855
29.0,-0.3907861484070531,0.390786148596731,0.3907861484070565
30.0,-0.44145406736818094,0.44145406763136813,0.4414540673682119
31.0,-0.4750650998840943,0.47506510020695647,0.4750650998841633
32.0,-0.4881601385011934,0.48816013886310083,0.4881601385013125
33.0,-0.4809276799485372,0.480927680323501,0.4809276799487052
34.0,-0.45714182935069236,0.4571418297073972,0.45714182935090764
35.0,-0.4231197535523546,0.42311975385412626,0.4231197535525969
36.0,-0.38594636777750696,0.385946367984092,0.38594636777776903
37.0,-0.3514582585848612,0.3514582586576656,0.35145825858509006
38.0,-0.322569730860546,0.3225697307717221,0.3225697308607478
39.0,-0.29842186646108215,0.29842186620455724,0.2984218664612452
40.0,-0.2745819989331342,0.2745819985340763,0.2745819989332564
41.0,-0.24421808370233195,0.244218083220564,0.2442180837024356
42.0,-0.19992894704372582,0.19992894656731042,0.19992894704378153
43.0,-0.13578987682881305,0.13578987645715768,0.13578987682883506
44.0,-0.049170917694658006,0.04917091751417507,0.04917091769461153
45.0,0.05804127824718987,-0.0580412781877967,-0.05804127824728632
46.0,0.17907968918028708,-0.17907968888710912,-0.17907968918042308
47.0,0.3029228134643736,-0.302922813001404,-0.30292281346461825
48.0,0.41587807505966534,-0.41587807453633024,-0.41587807505988406
49.0,0.5038924938348867,-0.503892493381769,-0.5038924938350741
50.0,0.5551642302852937,-0.5551642300254758,-0.5551642302854398
51.0,0.5625034598662814,-0.5625034598905754,-0.5625034598663875
52.0,0.5249024198932524,-0.5249024202452209,-0.5249024198933218
53.0,0.447942000548524,-0.44794200122151084,-0.447942000548549
54.0,0.34294101949266553,-0.3429410204374418,-0.342941019492637
55.0,0.22505342451290938,-0.22505342565237452,-0.22505342451284666
56.0,0.11074430537900075,-0.11074430662552082,-0.11074430537898973
57.0,0.015171524458951181,-0.015171525730482527,-0.01517152445894171
58.0,-0.05003709578661421,0.050037094554502726,0.050037095786637655
59.0,-0.07825360664096506,0.07825360548897714,0.07825360664100252
60.0,-0.06838737534655397,0.068387374291217,0.06838737534661285
61.0,-0.024493244606431524,0.02449324364427874,0.024493244606522406
62.0,0.04538522919541919,-0.045385230081899264,-0.04538522919532883
63.0,0.13085093633342207,-0.1308509371703384,-0.13085093633332956
64.0,0.2209154541312892,-0.22091545494979425,-0.22091545413122174
65.0,0.3055470679027437,-0.30554706873695936,-0.3055470679026982
66.0,0.37675266113201245,-0.3767526620168497,-0.37675266113197675
67.0,0.42908884953227094,-0.4290888504992816,-0.4290888495322417
68.0,0.4596546919284564,-0.4596546929987626,-0.4596546919284328
69.0,0.46772810206811244,-0.4677281032434443,-0.4677281020680774
70.0,0.45423480824991974,-0.4542348095042038,-0.4542348082498844
71.0,0.42118974271025544,-0.4211897439850655,-0.421189742710228
72.0,0.3711742723115736,-0.3711742735183557,-0.3711742723115814
73.0,0.3068677139568421,-0.3068677149873446,-0.3068677139568997
74.0,0.2306677272182939,-0.2306677279628443,-0.2306677272184176
75.0,0.144488714610212,-0.14448871498093802,-0.14448871461040408
76.0,0.049858087165062695,-0.049858087119533545,-0.04985808716530619
77.0,-0.05162124665222003,0.05162124709270344,0.05162124665195042
78.0,-0.15751650116532773,0.15751650190813926,0.15751650116501018
79.0,-0.263770336610169,0.26377033749797935,0.2637703366098355
80.0,-0.36423372571488405,0.3642337265467088,0.364233725714569
81.0,-0.4508688463995984,0.4508688469632125,0.45086884639933095
82.0,-0.5147797616243092,0.5147797617340615,0.5147797616240902
83.0,-0.5479428050588595,0.5479428045917308,0.5479428050586995
84.0,-0.5452289102973564,0.5452289092203478,0.5452289102972482
85.0,-0.50614417073632,0.5061441691198443,0.506144170736259
86.0,-0.43572713365454485,0.43572713166853677,0.4357271336545043
87.0,-0.34423317092951106,0.3442331688215456,0.3442331709295044
88.0,-0.2455518338636658,0.2455518319212886,0.24555183386368565
89.0,-0.15465100998651257,0.15465100848931834,0.15465100998651848
90.0,-0.08462266709950095,0.08462266626934217,0.08462266709950135
91.0,-0.04403849384266757,0.044038493802315115,0.04403849384263906
92.0,-0.035269722878246444,0.0352697236276428,0.035269722878186326
93.0,-0.05419576861770352,0.05419577003343867,0.054195768617623305
94.0,-0.09138190344398603,0.09138190530193502,0.0913819034438791
95.0,-0.13443892173444283,0.13443892374990296,0.134438921734318
96.0,-0.1709840950067899,0.17098409688293192,0.1709840950066498
97.0,-0.1914785177050147,0.19147851917985986,0.19147851770485755
98.0,-0.19125862063548116,0.19125862151960715,0.19125862063530547
99.0,-0.17129922448086218,0.17129922468155379,0.1712992244806741
100.0,-0.137583833248871,0.13758383277923558,0.13758383324867085
