t,z_ref_qutip,DOUBLEADAPTIVE,DOUBLEFIXED,SINGLE_SITE_TDVP,TWO_SITE_TDVP
0,-1,-1,-1,-1,-1
0.01,-0.9983509338575253,-0.9995053021102321,-0.9985928954754687,-0.9983509850275362,-0.9983509334215785
0.02,-0.9934149181036013,-0.9960942635852508,-0.9939765973425218,-0.9934150252892668,-0.9934149209021552
0.03,-0.9852254090535904,-0.989438969189401,-0.986103514093382,-0.9852255746523013,-0.9852254189855525
0.04,-0.9738378252983397,-0.9795217216694966,-0.975024374354557,-0.973838043279892,-0.9738378387262918
0.05,-0.9593290065026276,-0.9665338155917458,-0.9608159097843518,-0.9593292751917933,-0.9593290250825859
0.06,-0.9417965013486612,-0.9505040417408779,-0.9435749439996963,-0.9417968282536409,-0.9417965368885203
0.07000000000000001,-0.9213576864690143,-0.9315353971508289,-0.9234187674650625,-0.9213580634006762,-0.9213577360583758
0.08,-0.8981486222683809,-0.9098245486470002,-0.9004830287202984,-0.8981490539993801,-0.8981486969271392
0.09,-0.8723228558723221,-0.885232674553398,-0.8749192537005551,-0.8723233283335154,-0.8723229487143475
0.1,-0.8440499430550996,-0.8582545587100835,-0.8468951322033426,-0.8440504600912678,-0.844050065987843
0.11,-0.813513982808943,-0.8287760446663142,-0.816592905966905,-0.8135145233984155,-0.8135141236734714
0.12,-0.780911881815576,-0.7971323470702114,-0.7842083803818704,-0.780912430370479,-0.780912034583806
0.13,-0.7464515892646991,-0.7636464260682848,-0.7499496277525316,-0.7464521703237343,-0.7464517886061744
0.14,-0.7103503554683824,-0.7286707847973037,-0.7140334436656776,-0.7103509706786768,-0.710350613584379
0.15,-0.6728327347485894,-0.6923018290969452,-0.6766820957135503,-0.6728334002026637,-0.6728330785411699
0.16,-0.6341287320958992,-0.6548715969643398,-0.6381241372514118,-0.6341294355663613,-0.6341291602165526
0.17,-0.5944717812368183,-0.6184903806023186,-0.598591612970383,-0.5944725122333063,-0.5944722939417406
0.18,-0.5540968385786565,-0.5786280441608973,-0.5583188272005286,-0.5540975804691487,-0.5540974296357182
0.19,-0.5132384516407449,-0.5369069825230905,-0.5175408387969178,-0.5132391867574488,-0.5132391132118684
0.2,-0.4721288939881815,-0.4950430746372939,-0.4764934255903815,-0.4721296001575083,-0.4721296129296734
0.21,-0.4309963535392879,-0.4534212433790687,-0.4354100846014018,-0.4309970021515949,-0.4309971092397378
0.22,-0.3900632037829418,-0.4122572189515767,-0.3945107856738071,-0.3900637573290513,-0.3900639654698988
0.23,-0.3495443718546701,-0.375802297282678,-0.3540071817174601,-0.3495447808653271,-0.3495450953101198
0.24,-0.3096458177735069,-0.3366945709936923,-0.3141045077861688,-0.3096460171992148,-0.3096464414998759
0.25,-0.2705631381967641,-0.295904005894412,-0.2749985264705969,-0.2705630426217101,-0.2705635784313664
0.26,-0.2324803146341893,-0.2522314447165785,-0.2368736100567083,-0.2324798026916416,-0.2324804495834485
0.27,-0.1955685724295862,-0.2090857248120682,-0.199901503571638,-0.1955674935155688,-0.1955682488235141
0.28,-0.1599854211578157,-0.1747168050908667,-0.1642405771305252,-0.1599835940014546,-0.1599844526866716
0.29,-0.1258738490731351,-0.1388416324364689,-0.1300353441643933,-0.1258710542456347,-0.125872008791553
