step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site10
0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
1.0,0.9604311685684386,-0.9604311682408351,0.9604311685657455,-0.9604311675467193,0.9604311672767577,-0.9604311655757232,-0.960431166233833
2.0,0.8479247158074119,-0.8479245602048398,0.8479246072128677,-0.8479246815259684,0.847924727611918,-0.8479248068931758,-0.8479246717572487
3.0,0.6797553731947694,-0.679756176285597,0.6797577556148292,-0.6797573453957606,0.6797553864880141,-0.6797558469670877,-0.6797553758871995
4.0,0.48065913021729356,-0.48066029047469927,0.48066200825930094,-0.4806608710063418,0.4806589051489428,-0.4806601765920645,-0.48065923896077256
5.0,0.27789284960952043,-0.27789288032206033,0.2778947593807806,-0.277893549984977,0.2778918753424346,-0.2778944309656368,-0.277893120600165
6.0,0.09620567629255591,-0.0962037907489651,0.09620568092680856,-0.09620447876000093,0.0962032850855139,-0.09620758499166898,-0.09620613273942741
7.0,-0.046144000855116225,0.04614855853929975,-0.04614662336896122,0.04614781047358493,-0.04614849508313318,0.04614210068143057,0.04614335948163989
8.0,-0.13959416332723368,0.13960188348965885,-0.13959973781658305,0.13960092974171623,-0.13960122322392982,0.1395925785941792,0.13959338556644857
9.0,-0.18350420246215804,0.18351518964531122,-0.18351254340832523,0.183513764104026,-0.1835138920418274,0.1835030865073552,0.1835033946972388
10.0,-0.1846826298620916,0.1846965875328725,-0.18469305624315865,0.18469430472046247,-0.18469454761687165,0.18468191191956798,0.1846819562596954
11.0,-0.15482448829715345,0.15484081491331167,-0.15483598715882135,0.15483721328779543,-0.15483783659423497,0.15482387415166343,0.15482415292900392
12.0,-0.1075807860489759,0.10759872945463647,-0.10759228912292962,0.10759338487927979,-0.10759453863020768,0.10757980751083147,0.10758099316574504
13.0,-0.05590669753893371,0.05592547969072775,-0.05591738271246868,0.0559181954143419,-0.055919780571948574,0.05590476592691185,0.05590759504168171
14.0,-0.010130709454898301,0.010149546394915332,-0.010140214159971045,0.010140580446332842,-0.010142110636764179,0.010127133934335175,0.010132331165946307
15.0,0.023066458529583833,-0.023048454361733056,0.02305800301659197,-0.023058212228653896,0.023057688664089193,-0.023072493400030814,-0.023064230409132025
16.0,0.04080416573330958,-0.040788133159193746,0.04079630396599149,-0.04079714277446811,0.040798982637179904,-0.04081362449672554,-0.04080160030088503
17.0,0.043486643259772535,-0.04347405115432118,0.043478909718754316,-0.04348033568616691,0.04348605698921787,-0.04350059839509807,-0.04348411789797646
18.0,0.0338960419714462,-0.033888593822819835,0.033888295327594686,-0.03389017564600719,0.03390105759677853,-0.033915507250888766,-0.03389396787724919
19.0,0.01616455416935137,-0.016163889723339264,0.01615719392359599,-0.01615933799786129,0.016175974210365096,-0.016190180957039307,-0.016163292720912464
20.0,-0.0051680559761017025,0.005160789407482103,-0.005174082019252624,0.005171874234350532,-0.005149915904395286,0.005136360701067988,0.005168262944098806
21.0,-0.025899631219190068,0.02588419215839552,-0.025903033657131813,0.0259009236014984,-0.025875204259600715,0.025863046148728627,0.025898702676457983
22.0,-0.04269107361165335,0.042668370394938815,-0.04269055958247654,0.04268863812883848,-0.042661666783951974,0.04265202578213739,0.042689099141438605
23.0,-0.05340398686231078,0.053376055516273974,-0.053398597910087914,0.053396879913684275,-0.05337170302383626,0.053366034216962926,0.05340120988868306
24.0,-0.05728973900047679,0.05725945137411487,-0.057279067967061975,0.05727751491102401,-0.05725720296055792,0.05725715236600665,0.0572865198925494
25.0,-0.05504135642294264,0.05501194095651318,-0.05502558508099059,0.05502414760382393,-0.055011316870490795,0.055018474639461565,0.05503811995590475
26.0,-0.04868478455831108,0.04865928862443519,-0.048664563836006675,0.048663228273332276,-0.048659693555979516,0.048675286988452485,0.04868195548034388
27.0,-0.04127269058628925,0.041253511179216024,-0.041248942782517145,0.04124776362608243,-0.041254353772283175,0.04127895342947424,0.041270624082144616
28.0,-0.03636787916324913,0.0363564507795215,-0.03634161182868051,0.036340717115727506,-0.036357236211705724,0.036390553996611896,0.036366798079691745
29.0,-0.03736192729260353,0.0373586055409775,-0.03733411495281902,0.03733368267878154,-0.03735898433823295,0.03739981986832755,0.037361880837224096
30.0,-0.046747994018219136,0.0467521305520191,-0.04671953336664267,0.04671974904123885,-0.0467519025048406,0.04679825333901361,0.046748850038727134
31.0,-0.06552354640296701,0.06553372293109755,-0.06549525423040953,0.06549626642144477,-0.06553280831132866,0.06558211695700009,0.06552502147846384
32.0,-0.09290636799063284,0.09292074111144646,-0.09287898521838323,0.09288087389998126,-0.09291913790922926,0.09296861840895604,0.0929080896321633
33.0,-0.12648629163946343,0.12650298909748486,-0.1264604753397771,0.1264632390176028,-0.1265007334062432,0.12654770919254948,0.12648787884871585
