step,Z_site1,Z_site4,Z_site5,Z_site6,Z_site7,Z_site8,Z_site10
0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0
1.0,0.9801163710911821,-0.9604311664946049,0.9604311664822822,-0.9604311664821605,0.9604311664943608,-0.9604311652855693,-0.9801163710910596
2.0,0.9228152818065274,-0.8479247998748396,0.8479247648239822,-0.8479247648236409,0.8479247998740649,-0.8479359977423887,-0.9228152818061949
3.0,0.8174331635733547,-0.6797556405709875,0.6797556110320742,-0.6797556110310319,0.6797556405687893,-0.6799113455618604,-0.8174331635730969
4.0,0.662167338826353,-0.48065139511922084,0.48065971936677,-0.48065971936446744,0.4806513951142243,-0.48149144594412574,-0.6621673388257854
5.0,0.48052545208796915,-0.277833792718778,0.2778953218858934,-0.2778953218818736,0.2778337927095995,-0.28054477873836053,-0.4805254520867228
6.0,0.29708572086303603,-0.09596107439472307,0.09621812937471422,-0.09621812936866322,0.09596107438018966,-0.10247657181832717,-0.2970857208608095
7.0,0.1332950883372826,0.04687955202808747,-0.046094706495241555,0.04609470650347429,-0.04687955204888089,0.034026749783682184,-0.1332950883341935
8.0,0.004355843443499791,0.1413817210034374,-0.1394408438986975,0.13944084390922915,-0.14138172103132873,0.11943787906410591,-0.004355843440542295
9.0,-0.08224752538916014,0.18721587365987444,-0.1831092206741591,0.18310922068729243,-0.1872158736959703,0.15371535652803325,0.08224752538961366
10.0,-0.12657413801356107,0.19149031272112133,-0.18380417644567365,0.1838041764620602,-0.1914903127671534,0.14475878987618787,0.1265741380074767
11.0,-0.13474945078165065,0.16609317803326443,-0.15308879868131683,0.15308879870209,-0.1660931780916744,0.10562577500620808,0.13474945076339456
12.0,-0.11672623044327407,0.12466049718167695,-0.10447361841532282,0.10447361844202341,-0.12466049725532011,0.05130701558306591,0.11672623040623686
13.0,-0.08385986416856892,0.0798498101296933,-0.05079879612770036,0.050798796162067006,-0.07984981022111276,-0.004204882898261347,0.08385986410624702
14.0,-0.04677890898173949,0.041393735636796714,-0.002348594501312723,0.0023485945449386314,-0.04139373574730307,-0.050039401453805726,0.04677890888911912
15.0,-0.013861847987123976,0.01514033470688289,0.034122658986531634,-0.03412265893257668,-0.015140334835618274,-0.07954129655213682,0.01386184786192185
16.0,0.009556122960293238,0.003033355143865407,0.05550852611514412,-0.055508526050606646,-0.003033355287268613,-0.09037838764349199,-0.009556123116855109
17.0,0.02128376053791106,0.0038012527771025817,0.06182822746500259,-0.06182822739061061,-0.0038012529288693475,-0.0838975039388189,-0.02128376072105248
18.0,0.021832259224325412,0.01403555277557772,0.055349681058071365,-0.05534968097551718,-0.014035552927241873,-0.06404733890736389,-0.021832259426377565
19.0,0.013639518241054027,0.029345264404237598,0.03963005502841013,-0.03963005494013827,-0.02934526454622005,-0.036177713960002966,-0.013639518452634947
20.0,0.0001726278551802407,0.04535262565236045,0.018672547641705534,-0.018672547550557972,-0.04535262577531626,-0.005948129291786924,-0.00017262806649890466
21.0,-0.014917749413288606,0.05841034225494983,-0.003704949161239035,0.003704949252463313,-0.05841034235118396,0.021529066618396736,0.014917749211308062
22.0,-0.028480475232298817,0.06602965617235085,-0.024290551529002252,0.024290551617973055,-0.06602965623709361,0.04228534890102045,0.02848047504725698
23.0,-0.0383367936163183,0.06707692798676408,-0.040748209993903495,0.040748210079140465,-0.06707692801911086,0.05386820361120878,0.038336793453935536
24.0,-0.0435382022068138,0.061809805345932695,-0.05180086539729162,0.05180086547845064,-0.06180980534924635,0.0555355943348278,0.043538202070777576
25.0,-0.04442164084797146,0.051794606746365046,-0.05735094331892848,0.05735094339690801,-0.05179460672801062,0.048292576534589626,0.04442164073994237
26.0,-0.042474127630747927,0.039704015862702655,-0.05850739446019876,0.05850739453692297,-0.03970401583294525,0.03475311925078056,0.042474127550509444
27.0,-0.04001766773420208,0.028969176404780708,-0.057454290710960476,0.057454290788823775,-0.02896917637496338,0.01879238590884097,0.040017667679978886
28.0,-0.03973714899026898,0.023270600950222167,-0.057106161648426274,0.057106161729294724,-0.023270600930488355,0.004972991316397973,0.03973714895931574
29.0,-0.04410498527982585,0.02589798880516729,-0.0605524086731227,0.060552408757155674,-0.02589798880221386,-0.002216874581726258,0.04410498526913664
30.0,-0.054800485612558264,0.039074044350885406,-0.07037769721074641,0.0703776972954129,-0.039074044366397526,0.0007985096019499094,0.054800485619524386
31.0,-0.0722608429040896,0.0633943491565448,-0.0880218697813191,0.08802186986108351,-0.06339434918681117,0.01594493549024084,0.07226084292685792
32.0,-0.09550818612632717,0.09755346546216119,-0.11337323338562069,0.11337323345256645,-0.09755346549912428,0.04306009931529953,0.095508186163693
33.0,-0.12235148423400076,0.1384845513881256,-0.14474812320080283,0.14474812324615904,-0.1384845514215649,0.0799080280663299,0.12235148428492121
34.0,-0.14996056217030457,0.18193548820855743,-0.17930020216646583,0.17930020218267326,-0.18193548822882552,0.12268602428771314,0.14996056223319365
35.0,-0.175677824403637,0.22336693283630016,-0.2137592071488857,0.2137592071314986,-0.22336693283679737,0.16691355490901433,0.17567782447586486
36.0,-0.19782102794065415,0.25893660954580094,-0.24527517341069824,0.24527517335961463,-0.2589366095244372,0.20845923984887837,0.19782102801846244
37.0,-0.21619150657388922,0.2862814022027094,-0.272092562546112,0.27209256246572305,-0.28628140216205533,0.24440177337461638,0.2161915066528401
38.0,-0.2320687281580524,0.3048544820440668,-0.2938254647065774,0.29382546460496484,-0.30485448199027276,0.27346433991242836,0.23206872823378
39.0,-0.2476349498713457,0.3157113778998638,-0.3112382357835648,0.3112382356710371,-0.31571137784082304,0.2959006213469383,0.24763494994031207
40.0,-0.26498128470785054,0.32082222134124194,-0.32560971203825195,0.3256097119257584,-0.3208222212845929,0.3128968926937125,0.26498128476771954
41.0,-0.2850220168220146,0.32215231310505765,-0.3379114958740743,0.3379114957718488,-0.3221523130566356,0.3257227362012598,0.2850220168715184
42.0,-0.3067151020725598,0.32083775862851205,-0.3481058979741047,0.3481058978907589,-0.3208377585915724,0.3349512785871139,0.3067151021109889
43.0,-0.32691434187360996,0.3167510896221388,-0.3548362029916889,0.35483620293370033,-0.3167510895974621,0.34004318561629043,0.32691434190027135
44.0,-0.34097560255706455,0.3086083666125261,-0.3556467961036559,0.35564679607511895,-0.30860836659926283,0.33945090611557155,0.34097560257113935
45.0,-0.34397181090618056,0.29456304604700045,-0.3476773377586665,0.34767733776121246,-0.294563046043876,0.3311973177694244,0.3439718109070898
46.0,-0.3321384488749423,0.2730418476599217,-0.32859417303663835,0.3285941730694789,-0.2730418476663967,0.3136930703965392,0.3321384488630623
47.0,-0.30406664820783946,0.24348257522825514,-0.2974250986716853,0.2974250987317886,-0.24348257524520128,0.2864584238213906,0.304066648185194
48.0,-0.26123155461578884,0.2066756065594878,-0.25499211504639907,0.25499211512888725,-0.2066756065891429,0.25045267116557224,0.26123155458617203
49.0,-0.20766642079938502,0.1645736824637125,-0.2037823731393202,0.20378237323802978,-0.16457368250896626,0.207873627252765,0.2076664207678381
50.0,-0.14888471481779497,0.11965100462728659,-0.14730447789448675,0.14730447800262855,-0.11965100469055073,0.1615042590529543,0.14888471478958853
